,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,נשר,24.11.2024,18:11:55,2024-11-24T18:12:00,1,ירי רקטות וטילים,1,52365,נשר,Nesher,نيشر,Нешер
1,נשר,24.11.2024,13:04:56,2024-11-24T13:05:00,1,ירי רקטות וטילים,1,52215,נשר,Nesher,نيشر,Нешер
2,נשר,23.11.2024,04:18:59,2024-11-23T04:19:00,1,ירי רקטות וטילים,1,51872,נשר,Nesher,نيشر,Нешер
3,נשר,22.11.2024,02:09:05,2024-11-22T02:09:00,1,ירי רקטות וטילים,1,51703,נשר,Nesher,نيشر,Нешер
4,נשר,18.11.2024,20:56:24,2024-11-18T20:56:00,1,ירי רקטות וטילים,1,51328,נשר,Nesher,نيشر,Нешер
5,נשר,16.11.2024,19:44:29,2024-11-16T19:44:00,1,ירי רקטות וטילים,1,51047,נשר,Nesher,نيشر,Нешер
6,נשר,14.11.2024,18:55:50,2024-11-14T18:56:00,2,חדירת כלי טיס עוין,6,50804,נשר,Nesher,نيشر,Нешер
7,נשר,14.11.2024,15:53:31,2024-11-14T15:54:00,1,ירי רקטות וטילים,1,50754,נשר,Nesher,نيشر,Нешер
8,נשר,07.11.2024,15:03:53,2024-11-07T15:04:00,1,ירי רקטות וטילים,1,49500,נשר,Nesher,نيشر,Нешер
9,נשר,05.11.2024,06:38:26,2024-11-05T06:38:00,1,ירי רקטות וטילים,1,49032,נשר,Nesher,نيشر,Нешер
10,נשר,02.11.2024,16:30:23,2024-11-02T16:30:00,2,חדירת כלי טיס עוין,6,48778,נשר,Nesher,نيشر,Нешер
11,נשר,30.10.2024,17:36:03,2024-10-30T17:36:00,2,חדירת כלי טיס עוין,6,48200,נשר,Nesher,نيشر,Нешер
12,נשר,30.10.2024,06:20:07,2024-10-30T06:20:00,1,ירי רקטות וטילים,1,48043,נשר,Nesher,نيشر,Нешер
13,נשר,25.10.2024,09:02:26,2024-10-25T09:02:00,1,ירי רקטות וטילים,1,47101,נשר,Nesher,نيشر,Нешер
14,נשר,22.10.2024,04:51:29,2024-10-22T04:51:00,1,ירי רקטות וטילים,1,46216,נשר,Nesher,نيشر,Нешер
15,נשר,21.10.2024,12:27:35,2024-10-21T12:28:00,1,ירי רקטות וטילים,1,45898,נשר,Nesher,نيشر,Нешер
16,נשר,20.10.2024,15:41:01,2024-10-20T15:41:00,1,ירי רקטות וטילים,1,45703,נשר,Nesher,نيشر,Нешер
17,נשר,20.10.2024,09:37:54,2024-10-20T09:38:00,1,ירי רקטות וטילים,1,45572,נשר,Nesher,نيشر,Нешер
18,נשר,19.10.2024,10:23:02,2024-10-19T10:23:00,1,ירי רקטות וטילים,1,45396,נשר,Nesher,نيشر,Нешер
19,נשר,17.10.2024,07:31:13,2024-10-17T07:31:00,1,ירי רקטות וטילים,1,45126,נשר,Nesher,نيشر,Нешер
20,נשר,15.10.2024,07:27:51,2024-10-15T07:28:00,1,ירי רקטות וטילים,1,44699,נשר,Nesher,نيشر,Нешер
21,נשר,14.10.2024,09:32:10,2024-10-14T09:32:00,1,ירי רקטות וטילים,1,44181,נשר,Nesher,نيشر,Нешер
22,נשר,13.10.2024,08:59:58,2024-10-13T09:00:00,1,ירי רקטות וטילים,1,43927,נשר,Nesher,نيشر,Нешер
23,נשר,12.10.2024,13:07:41,2024-10-12T13:08:00,1,ירי רקטות וטילים,1,43776,נשר,Nesher,نيشر,Нешер
24,נשר,08.10.2024,12:45:09,2024-10-08T12:45:00,1,ירי רקטות וטילים,1,43083,נשר,Nesher,نيشر,Нешер
25,נשר,08.10.2024,12:12:05,2024-10-08T12:12:00,1,ירי רקטות וטילים,1,43034,נשר,Nesher,نيشر,Нешер
26,נשר,05.10.2024,13:26:43,2024-10-05T13:27:00,1,ירי רקטות וטילים,1,42156,נשר,Nesher,نيشر,Нешер
27,נשר,04.10.2024,10:52:15,2024-10-04T10:52:00,1,ירי רקטות וטילים,1,41944,נשר,Nesher,نيشر,Нешер
28,נשר,27.09.2024,08:33:41,2024-09-27T08:34:00,1,ירי רקטות וטילים,1,38110,נשר,Nesher,نيشر,Нешер
29,נשר,23.09.2024,19:42:46,2024-09-23T19:43:00,1,ירי רקטות וטילים,1,37313,נשר,Nesher,نيشر,Нешер
30,נשר,23.09.2024,17:41:37,2024-09-23T17:42:00,1,ירי רקטות וטילים,1,37184,נשר,Nesher,نيشر,Нешер
