,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,סאסא,24.11.2024,14:58:42,2024-11-24T14:59:00,1,ירי רקטות וטילים,1,52275,סאסא,Sassa,سعسع,Саса
1,סאסא,19.11.2024,16:53:58,2024-11-19T16:54:00,1,ירי רקטות וטילים,1,51499,סאסא,Sassa,سعسع,Саса
2,סאסא,19.11.2024,10:58:34,2024-11-19T10:59:00,2,חדירת כלי טיס עוין,6,51466,סאסא,Sassa,سعسع,Саса
3,סאסא,19.11.2024,09:03:08,2024-11-19T09:03:00,1,ירי רקטות וטילים,1,51390,סאסא,Sassa,سعسع,Саса
4,סאסא,19.11.2024,09:02:28,2024-11-19T09:02:00,1,ירי רקטות וטילים,1,51387,סאסא,Sassa,سعسع,Саса
5,סאסא,15.11.2024,11:41:58,2024-11-15T11:42:00,1,ירי רקטות וטילים,1,50913,סאסא,Sassa,سعسع,Саса
6,סאסא,14.11.2024,06:58:43,2024-11-14T06:59:00,1,ירי רקטות וטילים,1,50724,סאסא,Sassa,سعسع,Саса
7,סאסא,11.11.2024,11:58:27,2024-11-11T11:58:00,1,ירי רקטות וטילים,1,50004,סאסא,Sassa,سعسع,Саса
8,סאסא,06.11.2024,10:10:23,2024-11-06T10:10:00,1,ירי רקטות וטילים,1,49139,סאסא,Sassa,سعسع,Саса
9,סאסא,06.11.2024,10:09:48,2024-11-06T10:10:00,1,ירי רקטות וטילים,1,49137,סאסא,Sassa,سعسع,Саса
10,סאסא,05.11.2024,09:10:24,2024-11-05T09:10:00,1,ירי רקטות וטילים,1,49077,סאסא,Sassa,سعسع,Саса
11,סאסא,05.11.2024,09:09:32,2024-11-05T09:10:00,1,ירי רקטות וטילים,1,49074,סאסא,Sassa,سعسع,Саса
12,סאסא,05.11.2024,09:08:56,2024-11-05T09:09:00,1,ירי רקטות וטילים,1,49072,סאסא,Sassa,سعسع,Саса
13,סאסא,04.11.2024,00:00:28,2024-11-04T00:00:00,1,ירי רקטות וטילים,1,48942,סאסא,Sassa,سعسع,Саса
14,סאסא,03.11.2024,07:27:21,2024-11-03T07:27:00,1,ירי רקטות וטילים,1,48807,סאסא,Sassa,سعسع,Саса
15,סאסא,31.10.2024,02:07:29,2024-10-31T02:07:00,1,ירי רקטות וטילים,1,48251,סאסא,Sassa,سعسع,Саса
16,סאסא,28.10.2024,17:04:07,2024-10-28T17:04:00,1,ירי רקטות וטילים,1,47540,סאסא,Sassa,سعسع,Саса
17,סאסא,17.10.2024,03:28:33,2024-10-17T03:29:00,1,ירי רקטות וטילים,1,45073,סאסא,Sassa,سعسع,Саса
18,סאסא,14.10.2024,10:12:47,2024-10-14T10:13:00,1,ירי רקטות וטילים,1,44193,סאסא,Sassa,سعسع,Саса
19,סאסא,14.10.2024,10:11:59,2024-10-14T10:12:00,1,ירי רקטות וטילים,1,44191,סאסא,Sassa,سعسع,Саса
20,סאסא,14.10.2024,10:11:24,2024-10-14T10:11:00,1,ירי רקטות וטילים,1,44188,סאסא,Sassa,سعسع,Саса
21,סאסא,13.10.2024,07:05:40,2024-10-13T07:06:00,1,ירי רקטות וטילים,1,43913,סאסא,Sassa,سعسع,Саса
22,סאסא,12.10.2024,20:01:29,2024-10-12T20:01:00,1,ירי רקטות וטילים,1,43844,סאסא,Sassa,سعسع,Саса
23,סאסא,11.10.2024,16:31:59,2024-10-11T16:32:00,1,ירי רקטות וטילים,1,43591,סאסא,Sassa,سعسع,Саса
24,סאסא,09.10.2024,21:17:40,2024-10-09T21:18:00,2,חדירת כלי טיס עוין,6,43355,סאסא,Sassa,سعسع,Саса
25,סאסא,06.10.2024,15:39:30,2024-10-06T15:40:00,1,ירי רקטות וטילים,1,42369,סאסא,Sassa,سعسع,Саса
26,סאסא,04.10.2024,18:29:12,2024-10-04T18:29:00,1,ירי רקטות וטילים,1,42081,סאסא,Sassa,سعسع,Саса
27,סאסא,04.10.2024,18:28:37,2024-10-04T18:29:00,1,ירי רקטות וטילים,1,42080,סאסא,Sassa,سعسع,Саса
28,סאסא,04.10.2024,13:42:14,2024-10-04T13:42:00,1,ירי רקטות וטילים,1,42025,סאסא,Sassa,سعسع,Саса
29,סאסא,04.10.2024,11:47:11,2024-10-04T11:47:00,1,ירי רקטות וטילים,1,41990,סאסא,Sassa,سعسع,Саса
30,סאסא,04.10.2024,11:18:11,2024-10-04T11:18:00,1,ירי רקטות וטילים,1,41987,סאסא,Sassa,سعسع,Саса
31,סאסא,04.10.2024,08:33:14,2024-10-04T08:33:00,1,ירי רקטות וטילים,1,41899,סאסא,Sassa,سعسع,Саса
32,סאסא,03.10.2024,12:46:01,2024-10-03T12:46:00,1,ירי רקטות וטילים,1,41760,סאסא,Sassa,سعسع,Саса
33,סאסא,03.10.2024,12:24:28,2024-10-03T12:24:00,1,ירי רקטות וטילים,1,41754,סאסא,Sassa,سعسع,Саса
34,סאסא,03.10.2024,12:01:29,2024-10-03T12:01:00,1,ירי רקטות וטילים,1,41749,סאסא,Sassa,سعسع,Саса
35,סאסא,01.10.2024,01:48:03,2024-10-01T01:48:00,1,ירי רקטות וטילים,1,39383,סאסא,Sassa,سعسع,Саса
36,סאסא,28.09.2024,10:42:57,2024-09-28T10:43:00,1,ירי רקטות וטילים,1,38787,סאסא,Sassa,سعسع,Саса
37,סאסא,28.09.2024,09:36:21,2024-09-28T09:36:00,1,ירי רקטות וטילים,1,38688,סאסא,Sassa,سعسع,Саса
38,סאסא,28.09.2024,08:01:08,2024-09-28T08:01:00,1,ירי רקטות וטילים,1,38291,סאסא,Sassa,سعسع,Саса
39,סאסא,25.09.2024,10:33:46,2024-09-25T10:34:00,1,ירי רקטות וטילים,1,37818,סאסא,Sassa,سعسع,Саса
40,סאסא,23.09.2024,12:25:28,2024-09-23T12:25:00,2,חדירת כלי טיס עוין,6,37002,סאסא,Sassa,سعسع,Саса
41,סאסא,23.09.2024,06:32:21,2024-09-23T06:32:00,1,ירי רקטות וטילים,1,36955,סאסא,Sassa,سعسع,Саса
42,סאסא,20.09.2024,16:02:27,2024-09-20T16:02:00,1,ירי רקטות וטילים,1,36463,סאסא,Sassa,سعسع,Саса
43,סאסא,20.09.2024,13:57:55,2024-09-20T13:58:00,1,ירי רקטות וטילים,1,36460,סאסא,Sassa,سعسع,Саса
44,סאסא,20.09.2024,13:57:16,2024-09-20T13:57:00,1,ירי רקטות וטילים,1,36458,סאסא,Sassa,سعسع,Саса
45,סאסא,20.09.2024,13:56:41,2024-09-20T13:57:00,1,ירי רקטות וטילים,1,36453,סאסא,Sassa,سعسع,Саса
46,סאסא,10.09.2024,16:31:33,2024-09-10T16:32:00,1,ירי רקטות וטילים,1,35982,סאסא,Sassa,سعسع,Саса
47,סאסא,10.09.2024,16:30:55,2024-09-10T16:31:00,1,ירי רקטות וטילים,1,35980,סאסא,Sassa,سعسع,Саса
48,סאסא,10.09.2024,16:30:11,2024-09-10T16:30:00,1,ירי רקטות וטילים,1,35978,סאסא,Sassa,سعسع,Саса
49,סאסא,10.09.2024,16:29:36,2024-09-10T16:30:00,1,ירי רקטות וטילים,1,35977,סאסא,Sassa,سعسع,Саса
50,סאסא,01.09.2024,20:12:27,2024-09-01T20:12:00,1,ירי רקטות וטילים,1,35700,סאסא,Sassa,سعسع,Саса
51,סאסא,30.08.2024,23:02:06,2024-08-30T23:02:00,1,ירי רקטות וטילים,1,35652,סאסא,Sassa,سعسع,Саса
52,סאסא,25.08.2024,07:36:14,2024-08-25T07:36:00,1,ירי רקטות וטילים,1,35549,סאסא,Sassa,سعسع,Саса
53,סאסא,25.08.2024,07:33:59,2024-08-25T07:34:00,1,ירי רקטות וטילים,1,35547,סאסא,Sassa,سعسع,Саса
54,סאסא,25.08.2024,06:14:43,2024-08-25T06:15:00,1,ירי רקטות וטילים,1,35508,סאסא,Sassa,سعسع,Саса
55,סאסא,25.08.2024,06:07:38,2024-08-25T06:08:00,1,ירי רקטות וטילים,1,35491,סאסא,Sassa,سعسع,Саса
56,סאסא,25.08.2024,05:54:37,2024-08-25T05:55:00,1,ירי רקטות וטילים,1,35460,סאסא,Sassa,سعسع,Саса
57,סאסא,25.08.2024,05:36:07,2024-08-25T05:36:00,1,ירי רקטות וטילים,1,35408,סאסא,Sassa,سعسع,Саса
58,סאסא,23.08.2024,06:54:59,2024-08-23T06:55:00,1,ירי רקטות וטילים,1,35320,סאסא,Sassa,سعسع,Саса
59,סאסא,23.08.2024,06:53:50,2024-08-23T06:54:00,1,ירי רקטות וטילים,1,35313,סאסא,Sassa,سعسع,Саса
60,סאסא,23.08.2024,06:52:45,2024-08-23T06:53:00,1,ירי רקטות וטילים,1,35309,סאסא,Sassa,سعسع,Саса
61,סאסא,20.08.2024,20:12:33,2024-08-20T20:13:00,1,ירי רקטות וטילים,1,35215,סאסא,Sassa,سعسع,Саса
62,סאסא,25.07.2024,16:08:06,2024-07-25T16:08:00,1,ירי רקטות וטילים,1,34397,סאסא,Sassa,سعسع,Саса
63,סאסא,23.07.2024,14:31:31,2024-07-23T14:32:00,2,חדירת כלי טיס עוין,6,34348,סאסא,Sassa,سعسع,Саса
64,סאסא,19.07.2024,10:55:34,2024-07-19T10:56:00,1,ירי רקטות וטילים,1,34167,סאסא,Sassa,سعسع,Саса
65,סאסא,16.07.2024,22:45:16,2024-07-16T22:45:00,1,ירי רקטות וטילים,1,34126,סאסא,Sassa,سعسع,Саса
66,סאסא,16.07.2024,22:44:38,2024-07-16T22:45:00,1,ירי רקטות וטילים,1,34121,סאסא,Sassa,سعسع,Саса
67,סאסא,07.07.2024,13:02:52,2024-07-07T13:03:00,1,ירי רקטות וטילים,1,33858,סאסא,Sassa,سعسع,Саса
68,סאסא,07.07.2024,13:02:08,2024-07-07T13:02:00,1,ירי רקטות וטילים,1,33855,סאסא,Sassa,سعسع,Саса
69,סאסא,18.06.2024,22:00:20,2024-06-18T22:00:00,1,ירי רקטות וטילים,1,33208,סאסא,Sassa,سعسع,Саса
70,סאסא,13.06.2024,12:26:06,2024-06-13T12:26:00,1,ירי רקטות וטילים,1,32880,סאסא,Sassa,سعسع,Саса
71,סאסא,12.06.2024,12:55:06,2024-06-12T12:55:00,1,ירי רקטות וטילים,1,32788,סאסא,Sassa,سعسع,Саса
72,סאסא,12.06.2024,10:01:30,2024-06-12T10:02:00,1,ירי רקטות וטילים,1,32737,סאסא,Sassa,سعسع,Саса
73,סאסא,12.06.2024,10:00:53,2024-06-12T10:01:00,1,ירי רקטות וטילים,1,32723,סאסא,Sassa,سعسع,Саса
74,סאסא,12.06.2024,10:00:06,2024-06-12T10:00:00,1,ירי רקטות וטילים,1,32720,סאסא,Sassa,سعسع,Саса
75,סאסא,12.06.2024,09:00:41,2024-06-12T09:01:00,1,ירי רקטות וטילים,1,32688,סאסא,Sassa,سعسع,Саса
76,סאסא,03.06.2024,20:56:28,2024-06-03T20:56:00,1,ירי רקטות וטילים,1,32226,סאסא,Sassa,سعسع,Саса
77,סאסא,23.05.2024,23:35:55,2024-05-23T23:36:00,1,ירי רקטות וטילים,1,31577,סאסא,Sassa,سعسع,Саса
78,סאסא,18.05.2024,17:13:41,2024-05-18T17:14:00,2,חדירת כלי טיס עוין,6,31236,סאסא,Sassa,سعسع,Саса
79,סאסא,16.05.2024,08:30:51,2024-05-16T08:31:00,2,חדירת כלי טיס עוין,6,30888,סאסא,Sassa,سعسع,Саса
80,סאסא,16.05.2024,08:27:57,2024-05-16T08:28:00,2,חדירת כלי טיס עוין,6,30885,סאסא,Sassa,سعسع,Саса
81,סאסא,15.05.2024,12:02:05,2024-05-15T12:02:00,1,ירי רקטות וטילים,1,30859,סאסא,Sassa,سعسع,Саса
82,סאסא,15.05.2024,11:50:27,2024-05-15T11:50:00,1,ירי רקטות וטילים,1,30849,סאסא,Sassa,سعسع,Саса
83,סאסא,20.04.2024,09:52:03,2024-04-20T09:52:00,1,ירי רקטות וטילים,1,30150,סאסא,Sassa,سعسع,Саса
84,סאסא,13.04.2024,16:58:41,2024-04-13T16:59:00,1,ירי רקטות וטילים,1,29339,סאסא,Sassa,سعسع,Саса
85,סאסא,12.04.2024,17:00:17,2024-04-12T17:00:00,2,חדירת כלי טיס עוין,6,29283,סאסא,Sassa,سعسع,Саса
86,סאסא,27.02.2024,07:48:39,2024-02-27T07:49:00,1,ירי רקטות וטילים,1,28359,סאסא,Sassa,سعسع,Саса
