,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,סער,24.11.2024,16:32:05,2024-11-24T16:32:00,1,ירי רקטות וטילים,1,52319,סער,Sa'ar,ساعر,Саар
1,סער,24.11.2024,16:28:12,2024-11-24T16:28:00,1,ירי רקטות וטילים,1,52310,סער,Sa'ar,ساعر,Саар
2,סער,24.11.2024,13:04:10,2024-11-24T13:04:00,1,ירי רקטות וטילים,1,52201,סער,Sa'ar,ساعر,Саар
3,סער,24.11.2024,13:03:16,2024-11-24T13:03:00,1,ירי רקטות וטילים,1,52178,סער,Sa'ar,ساعر,Саар
4,סער,24.11.2024,13:00:26,2024-11-24T13:00:00,1,ירי רקטות וטילים,1,52162,סער,Sa'ar,ساعر,Саар
5,סער,23.11.2024,18:40:26,2024-11-23T18:40:00,2,חדירת כלי טיס עוין,6,51916,סער,Sa'ar,ساعر,Саар
6,סער,22.11.2024,21:07:24,2024-11-22T21:07:00,2,חדירת כלי טיס עוין,6,51812,סער,Sa'ar,ساعر,Саар
7,סער,22.11.2024,21:06:24,2024-11-22T21:06:00,2,חדירת כלי טיס עוין,6,51809,סער,Sa'ar,ساعر,Саар
8,סער,22.11.2024,16:30:55,2024-11-22T16:31:00,1,ירי רקטות וטילים,1,51753,סער,Sa'ar,ساعر,Саар
9,סער,21.11.2024,13:49:32,2024-11-21T13:50:00,1,ירי רקטות וטילים,1,51677,סער,Sa'ar,ساعر,Саар
10,סער,21.11.2024,13:48:52,2024-11-21T13:49:00,1,ירי רקטות וטילים,1,51672,סער,Sa'ar,ساعر,Саар
11,סער,21.11.2024,11:47:25,2024-11-21T11:47:00,1,ירי רקטות וטילים,1,51665,סער,Sa'ar,ساعر,Саар
12,סער,21.11.2024,11:46:43,2024-11-21T11:47:00,1,ירי רקטות וטילים,1,51660,סער,Sa'ar,ساعر,Саар
13,סער,21.11.2024,06:31:43,2024-11-21T06:32:00,2,חדירת כלי טיס עוין,6,51638,סער,Sa'ar,ساعر,Саар
14,סער,21.11.2024,06:28:50,2024-11-21T06:29:00,2,חדירת כלי טיס עוין,6,51635,סער,Sa'ar,ساعر,Саар
15,סער,20.11.2024,16:50:35,2024-11-20T16:51:00,1,ירי רקטות וטילים,1,51617,סער,Sa'ar,ساعر,Саар
16,סער,20.11.2024,16:43:17,2024-11-20T16:43:00,1,ירי רקטות וטילים,1,51611,סער,Sa'ar,ساعر,Саар
17,סער,20.11.2024,06:29:19,2024-11-20T06:29:00,2,חדירת כלי טיס עוין,6,51536,סער,Sa'ar,ساعر,Саар
18,סער,18.11.2024,16:56:28,2024-11-18T16:56:00,2,חדירת כלי טיס עוין,6,51186,סער,Sa'ar,ساعر,Саар
19,סער,18.11.2024,11:05:35,2024-11-18T11:06:00,1,ירי רקטות וטילים,1,51145,סער,Sa'ar,ساعر,Саар
20,סער,18.11.2024,11:04:54,2024-11-18T11:05:00,1,ירי רקטות וטילים,1,51134,סער,Sa'ar,ساعر,Саар
21,סער,16.11.2024,10:00:40,2024-11-16T10:01:00,1,ירי רקטות וטילים,1,50978,סער,Sa'ar,ساعر,Саар
22,סער,16.11.2024,08:19:38,2024-11-16T08:20:00,2,חדירת כלי טיס עוין,6,50962,סער,Sa'ar,ساعر,Саар
23,סער,16.11.2024,07:05:48,2024-11-16T07:06:00,2,חדירת כלי טיס עוין,6,50944,סער,Sa'ar,ساعر,Саар
24,סער,15.11.2024,00:18:27,2024-11-15T00:18:00,1,ירי רקטות וטילים,1,50857,סער,Sa'ar,ساعر,Саар
25,סער,14.11.2024,18:42:40,2024-11-14T18:43:00,2,חדירת כלי טיס עוין,6,50774,סער,Sa'ar,ساعر,Саар
26,סער,13.11.2024,15:02:32,2024-11-13T15:03:00,2,חדירת כלי טיס עוין,6,50543,סער,Sa'ar,ساعر,Саар
27,סער,13.11.2024,14:48:49,2024-11-13T14:49:00,2,חדירת כלי טיס עוין,6,50507,סער,Sa'ar,ساعر,Саар
28,סער,12.11.2024,23:35:31,2024-11-12T23:36:00,2,חדירת כלי טיס עוין,6,50446,סער,Sa'ar,ساعر,Саар
29,סער,12.11.2024,16:30:26,2024-11-12T16:30:00,1,ירי רקטות וטילים,1,50350,סער,Sa'ar,ساعر,Саар
30,סער,12.11.2024,16:29:37,2024-11-12T16:30:00,1,ירי רקטות וטילים,1,50337,סער,Sa'ar,ساعر,Саар
31,סער,12.11.2024,14:20:13,2024-11-12T14:20:00,2,חדירת כלי טיס עוין,6,50317,סער,Sa'ar,ساعر,Саар
32,סער,12.11.2024,13:54:51,2024-11-12T13:55:00,2,חדירת כלי טיס עוין,6,50310,סער,Sa'ar,ساعر,Саар
33,סער,12.11.2024,09:21:53,2024-11-12T09:22:00,2,חדירת כלי טיס עוין,6,50258,סער,Sa'ar,ساعر,Саар
34,סער,11.11.2024,15:41:07,2024-11-11T15:41:00,1,ירי רקטות וטילים,1,50126,סער,Sa'ar,ساعر,Саар
35,סער,10.11.2024,11:07:44,2024-11-10T11:08:00,1,ירי רקטות וטילים,1,49900,סער,Sa'ar,ساعر,Саар
36,סער,08.11.2024,14:56:01,2024-11-08T14:56:00,1,ירי רקטות וטילים,1,49690,סער,Sa'ar,ساعر,Саар
37,סער,08.11.2024,06:45:45,2024-11-08T06:46:00,1,ירי רקטות וטילים,1,49617,סער,Sa'ar,ساعر,Саар
38,סער,08.11.2024,06:44:00,2024-11-08T06:44:00,1,ירי רקטות וטילים,1,49587,סער,Sa'ar,ساعر,Саар
39,סער,07.11.2024,13:46:49,2024-11-07T13:47:00,1,ירי רקטות וטילים,1,49461,סער,Sa'ar,ساعر,Саар
40,סער,06.11.2024,18:20:39,2024-11-06T18:21:00,2,חדירת כלי טיס עוין,6,49436,סער,Sa'ar,ساعر,Саар
41,סער,05.11.2024,17:19:40,2024-11-05T17:20:00,1,ירי רקטות וטילים,1,49120,סער,Sa'ar,ساعر,Саар
42,סער,05.11.2024,17:18:59,2024-11-05T17:19:00,1,ירי רקטות וטילים,1,49107,סער,Sa'ar,ساعر,Саар
43,סער,04.11.2024,11:00:10,2024-11-04T11:00:00,1,ירי רקטות וטילים,1,48979,סער,Sa'ar,ساعر,Саар
