,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,ספסופה - כפר חושן,24.11.2024,15:35:23,2024-11-24T15:35:00,1,ירי רקטות וטילים,1,52301,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
1,ספסופה - כפר חושן,24.11.2024,14:24:04,2024-11-24T14:24:00,1,ירי רקטות וטילים,1,52235,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
2,ספסופה - כפר חושן,24.11.2024,11:46:08,2024-11-24T11:46:00,1,ירי רקטות וטילים,1,52088,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
3,ספסופה - כפר חושן,21.11.2024,14:52:27,2024-11-21T14:52:00,1,ירי רקטות וטילים,1,51684,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
4,ספסופה - כפר חושן,19.11.2024,16:54:02,2024-11-19T16:54:00,1,ירי רקטות וטילים,1,51501,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
5,ספסופה - כפר חושן,19.11.2024,10:58:34,2024-11-19T10:59:00,2,חדירת כלי טיס עוין,6,51467,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
6,ספסופה - כפר חושן,14.11.2024,06:58:38,2024-11-14T06:59:00,1,ירי רקטות וטילים,1,50723,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
7,ספסופה - כפר חושן,02.11.2024,12:37:35,2024-11-02T12:38:00,1,ירי רקטות וטילים,1,48642,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
8,ספסופה - כפר חושן,30.10.2024,15:01:00,2024-10-30T15:01:00,1,ירי רקטות וטילים,1,48110,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
9,ספסופה - כפר חושן,30.10.2024,15:00:13,2024-10-30T15:00:00,1,ירי רקטות וטילים,1,48100,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
10,ספסופה - כפר חושן,30.10.2024,06:20:07,2024-10-30T06:20:00,1,ירי רקטות וטילים,1,48048,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
11,ספסופה - כפר חושן,28.10.2024,20:05:58,2024-10-28T20:06:00,1,ירי רקטות וטילים,1,47556,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
12,ספסופה - כפר חושן,20.10.2024,16:25:57,2024-10-20T16:26:00,1,ירי רקטות וטילים,1,45785,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
13,ספסופה - כפר חושן,17.10.2024,03:28:33,2024-10-17T03:29:00,1,ירי רקטות וטילים,1,45007,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
14,ספסופה - כפר חושן,16.10.2024,21:15:38,2024-10-16T21:16:00,1,ירי רקטות וטילים,1,44899,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
15,ספסופה - כפר חושן,16.10.2024,02:32:07,2024-10-16T02:32:00,1,ירי רקטות וטילים,1,44811,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
16,ספסופה - כפר חושן,11.10.2024,16:31:54,2024-10-11T16:32:00,1,ירי רקטות וטילים,1,43582,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
17,ספסופה - כפר חושן,09.10.2024,16:45:33,2024-10-09T16:46:00,1,ירי רקטות וטילים,1,43325,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
18,ספסופה - כפר חושן,09.10.2024,16:44:39,2024-10-09T16:45:00,1,ירי רקטות וטילים,1,43296,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
19,ספסופה - כפר חושן,08.10.2024,07:57:50,2024-10-08T07:58:00,1,ירי רקטות וטילים,1,43010,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
20,ספסופה - כפר חושן,08.10.2024,04:50:45,2024-10-08T04:51:00,1,ירי רקטות וטילים,1,42996,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
21,ספסופה - כפר חושן,06.10.2024,15:39:03,2024-10-06T15:39:00,1,ירי רקטות וטילים,1,42358,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
22,ספסופה - כפר חושן,05.10.2024,18:48:23,2024-10-05T18:48:00,1,ירי רקטות וטילים,1,42261,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
23,ספסופה - כפר חושן,04.10.2024,07:23:45,2024-10-04T07:24:00,1,ירי רקטות וטילים,1,41895,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
24,ספסופה - כפר חושן,28.09.2024,12:11:41,2024-09-28T12:12:00,1,ירי רקטות וטילים,1,38854,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
25,ספסופה - כפר חושן,28.09.2024,10:42:57,2024-09-28T10:43:00,1,ירי רקטות וטילים,1,38810,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
26,ספסופה - כפר חושן,28.09.2024,09:36:21,2024-09-28T09:36:00,1,ירי רקטות וטילים,1,38660,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
27,ספסופה - כפר חושן,28.09.2024,08:01:08,2024-09-28T08:01:00,1,ירי רקטות וטילים,1,38340,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
28,ספסופה - כפר חושן,26.09.2024,16:07:22,2024-09-26T16:07:00,1,ירי רקטות וטילים,1,37932,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
29,ספסופה - כפר חושן,25.09.2024,11:01:23,2024-09-25T11:01:00,1,ירי רקטות וטילים,1,37835,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
30,ספסופה - כפר חושן,24.09.2024,17:37:55,2024-09-24T17:38:00,1,ירי רקטות וטילים,1,37664,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
31,ספסופה - כפר חושן,23.09.2024,17:14:20,2024-09-23T17:14:00,1,ירי רקטות וטילים,1,37123,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
32,ספסופה - כפר חושן,21.09.2024,20:46:27,2024-09-21T20:46:00,2,חדירת כלי טיס עוין,6,36552,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
33,ספסופה - כפר חושן,21.09.2024,14:00:41,2024-09-21T14:01:00,1,ירי רקטות וטילים,1,36519,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
34,ספסופה - כפר חושן,20.09.2024,17:07:50,2024-09-20T17:08:00,1,ירי רקטות וטילים,1,36477,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
35,ספסופה - כפר חושן,25.08.2024,06:20:18,2024-08-25T06:20:00,1,ירי רקטות וטילים,1,35533,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
36,ספסופה - כפר חושן,25.08.2024,06:14:44,2024-08-25T06:15:00,1,ירי רקטות וטילים,1,35513,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
37,ספסופה - כפר חושן,25.08.2024,06:06:40,2024-08-25T06:07:00,1,ירי רקטות וטילים,1,35490,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
38,ספסופה - כפר חושן,23.08.2024,06:54:59,2024-08-23T06:55:00,1,ירי רקטות וטילים,1,35323,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
39,ספסופה - כפר חושן,10.08.2024,19:43:53,2024-08-10T19:44:00,2,חדירת כלי טיס עוין,6,34937,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
40,ספסופה - כפר חושן,23.07.2024,14:32:14,2024-07-23T14:32:00,2,חדירת כלי טיס עוין,6,34354,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
41,ספסופה - כפר חושן,16.07.2024,22:45:00,2024-07-16T22:45:00,1,ירי רקטות וטילים,1,34124,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
42,ספסופה - כפר חושן,16.07.2024,22:44:17,2024-07-16T22:44:00,1,ירי רקטות וטילים,1,34118,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
43,ספסופה - כפר חושן,07.07.2024,13:02:57,2024-07-07T13:03:00,1,ירי רקטות וטילים,1,33862,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
44,ספסופה - כפר חושן,13.06.2024,14:58:11,2024-06-13T14:58:00,2,חדירת כלי טיס עוין,6,33037,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
45,ספסופה - כפר חושן,12.06.2024,10:02:04,2024-06-12T10:02:00,1,ירי רקטות וטילים,1,32743,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
46,ספסופה - כפר חושן,12.06.2024,10:01:15,2024-06-12T10:01:00,1,ירי רקטות וטילים,1,32732,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
47,ספסופה - כפר חושן,12.06.2024,09:00:27,2024-06-12T09:00:00,1,ירי רקטות וטילים,1,32682,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
48,ספסופה - כפר חושן,27.05.2024,16:58:41,2024-05-27T16:59:00,1,ירי רקטות וטילים,1,31786,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
49,ספסופה - כפר חושן,15.05.2024,12:02:05,2024-05-15T12:02:00,1,ירי רקטות וטילים,1,30862,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
50,ספסופה - כפר חושן,27.04.2024,23:52:03,2024-04-27T23:52:00,1,ירי רקטות וטילים,1,30354,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
51,ספסופה - כפר חושן,27.04.2024,23:51:23,2024-04-27T23:51:00,1,ירי רקטות וטילים,1,30349,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
52,ספסופה - כפר חושן,16.04.2024,19:27:12,2024-04-16T19:27:00,1,ירי רקטות וטילים,1,30076,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
53,ספסופה - כפר חושן,07.04.2024,20:31:46,2024-04-07T20:32:00,1,ירי רקטות וטילים,1,29211,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
54,ספסופה - כפר חושן,10.03.2024,09:25:12,2024-03-10T09:25:00,1,ירי רקטות וטילים,1,28593,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
55,ספסופה - כפר חושן,10.03.2024,09:13:29,2024-03-10T09:13:00,1,ירי רקטות וטילים,1,28584,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
56,ספסופה - כפר חושן,10.03.2024,09:12:34,2024-03-10T09:13:00,1,ירי רקטות וטילים,1,28575,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
57,ספסופה - כפר חושן,27.02.2024,07:48:57,2024-02-27T07:49:00,1,ירי רקטות וטילים,1,28360,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
58,ספסופה - כפר חושן,14.02.2024,09:17:31,2024-02-14T09:18:00,1,ירי רקטות וטילים,1,28125,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
59,ספסופה - כפר חושן,14.02.2024,09:12:42,2024-02-14T09:13:00,1,ירי רקטות וטילים,1,28114,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
60,ספסופה - כפר חושן,23.01.2024,10:49:24,2024-01-23T10:49:00,1,ירי רקטות וטילים,1,27827,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
61,ספסופה - כפר חושן,17.01.2024,18:44:17,2024-01-17T18:44:00,2,חדירת כלי טיס עוין,6,27777,ספסופה - כפר חושן,Safsufa (Kfar Hoshen),صفصوفة - كفار حوشن,Сафсуфа (кфар Хошен)
