,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,ע'ג'ר,24.11.2024,13:27:53,2024-11-24T13:28:00,1,ירי רקטות וטילים,1,52219,ע'ג'ר,Ghajar,الغجر,Раджар
1,ע'ג'ר,23.11.2024,11:09:54,2024-11-23T11:10:00,1,ירי רקטות וטילים,1,51891,ע'ג'ר,Ghajar,الغجر,Раджар
2,ע'ג'ר,21.11.2024,08:38:57,2024-11-21T08:39:00,1,ירי רקטות וטילים,1,51651,ע'ג'ר,Ghajar,الغجر,Раджар
3,ע'ג'ר,19.11.2024,11:12:27,2024-11-19T11:12:00,1,ירי רקטות וטילים,1,51477,ע'ג'ר,Ghajar,الغجر,Раджар
4,ע'ג'ר,17.11.2024,14:03:26,2024-11-17T14:03:00,2,חדירת כלי טיס עוין,6,51091,ע'ג'ר,Ghajar,الغجر,Раджар
5,ע'ג'ר,15.11.2024,17:10:28,2024-11-15T17:10:00,2,חדירת כלי טיס עוין,6,50926,ע'ג'ר,Ghajar,الغجر,Раджар
6,ע'ג'ר,13.11.2024,17:19:33,2024-11-13T17:20:00,2,חדירת כלי טיס עוין,6,50564,ע'ג'ר,Ghajar,الغجر,Раджар
7,ע'ג'ר,10.11.2024,23:33:14,2024-11-10T23:33:00,2,חדירת כלי טיס עוין,6,49927,ע'ג'ר,Ghajar,الغجر,Раджар
8,ע'ג'ר,09.11.2024,15:15:12,2024-11-09T15:15:00,1,ירי רקטות וטילים,1,49872,ע'ג'ר,Ghajar,الغجر,Раджар
9,ע'ג'ר,06.11.2024,06:28:49,2024-11-06T06:29:00,2,חדירת כלי טיס עוין,6,49126,ע'ג'ר,Ghajar,الغجر,Раджар
10,ע'ג'ר,01.11.2024,08:16:05,2024-11-01T08:16:00,2,חדירת כלי טיס עוין,6,48398,ע'ג'ר,Ghajar,الغجر,Раджар
11,ע'ג'ר,29.10.2024,20:23:41,2024-10-29T20:24:00,1,ירי רקטות וטילים,1,47954,ע'ג'ר,Ghajar,الغجر,Раджар
12,ע'ג'ר,29.10.2024,20:23:01,2024-10-29T20:23:00,1,ירי רקטות וטילים,1,47950,ע'ג'ר,Ghajar,الغجر,Раджар
13,ע'ג'ר,29.10.2024,14:05:17,2024-10-29T14:05:00,1,ירי רקטות וטילים,1,47926,ע'ג'ר,Ghajar,الغجر,Раджар
14,ע'ג'ר,26.10.2024,16:04:39,2024-10-26T16:05:00,1,ירי רקטות וטילים,1,47270,ע'ג'ר,Ghajar,الغجر,Раджар
15,ע'ג'ר,26.10.2024,16:04:02,2024-10-26T16:04:00,1,ירי רקטות וטילים,1,47266,ע'ג'ר,Ghajar,الغجر,Раджар
16,ע'ג'ר,25.10.2024,19:20:12,2024-10-25T19:20:00,1,ירי רקטות וטילים,1,47168,ע'ג'ר,Ghajar,الغجر,Раджар
17,ע'ג'ר,22.10.2024,16:17:00,2024-10-22T16:17:00,1,ירי רקטות וטילים,1,46377,ע'ג'ר,Ghajar,الغجر,Раджар
18,ע'ג'ר,17.10.2024,18:34:31,2024-10-17T18:35:00,1,ירי רקטות וטילים,1,45223,ע'ג'ר,Ghajar,الغجر,Раджар
