,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,עברון,24.11.2024,13:00:51,2024-11-24T13:01:00,1,ירי רקטות וטילים,1,52171,עברון,Evron,عبرون,Эврон
1,עברון,22.11.2024,21:09:52,2024-11-22T21:10:00,2,חדירת כלי טיס עוין,6,51824,עברון,Evron,عبرون,Эврон
2,עברון,22.11.2024,16:31:36,2024-11-22T16:32:00,1,ירי רקטות וטילים,1,51757,עברון,Evron,عبرون,Эврон
3,עברון,20.11.2024,16:19:34,2024-11-20T16:20:00,1,ירי רקטות וטילים,1,51604,עברון,Evron,عبرون,Эврон
4,עברון,20.11.2024,06:33:45,2024-11-20T06:34:00,2,חדירת כלי טיס עוין,6,51547,עברון,Evron,عبرون,Эврон
5,עברון,18.11.2024,11:05:56,2024-11-18T11:06:00,1,ירי רקטות וטילים,1,51148,עברון,Evron,عبرون,Эврон
6,עברון,18.11.2024,11:04:54,2024-11-18T11:05:00,1,ירי רקטות וטילים,1,51135,עברון,Evron,عبرون,Эврон
7,עברון,14.11.2024,18:44:44,2024-11-14T18:45:00,2,חדירת כלי טיס עוין,6,50778,עברון,Evron,عبرون,Эврон
8,עברון,13.11.2024,14:53:12,2024-11-13T14:53:00,2,חדירת כלי טיס עוין,6,50521,עברון,Evron,عبرون,Эврон
9,עברון,13.11.2024,14:51:54,2024-11-13T14:52:00,2,חדירת כלי טיס עוין,6,50516,עברון,Evron,عبرون,Эврон
10,עברון,12.11.2024,14:22:24,2024-11-12T14:22:00,2,חדירת כלי טיס עוין,6,50320,עברון,Evron,عبرون,Эврон
11,עברון,12.11.2024,09:25:19,2024-11-12T09:25:00,2,חדירת כלי טיס עוין,6,50266,עברון,Evron,عبرون,Эврон
12,עברון,12.11.2024,09:24:08,2024-11-12T09:24:00,2,חדירת כלי טיס עוין,6,50261,עברון,Evron,عبرون,Эврон
13,עברון,09.11.2024,12:42:49,2024-11-09T12:43:00,1,ירי רקטות וטילים,1,49837,עברון,Evron,عبرون,Эврон
14,עברון,06.11.2024,11:21:45,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49184,עברון,Evron,عبرون,Эврон
15,עברון,05.11.2024,17:19:45,2024-11-05T17:20:00,1,ירי רקטות וטילים,1,49123,עברון,Evron,عبرون,Эврон
16,עברון,05.11.2024,17:18:49,2024-11-05T17:19:00,1,ירי רקטות וטילים,1,49100,עברון,Evron,عبرون,Эврон
17,עברון,03.11.2024,17:23:57,2024-11-03T17:24:00,2,חדירת כלי טיס עוין,6,48893,עברון,Evron,عبرون,Эврон
18,עברון,02.11.2024,16:20:25,2024-11-02T16:20:00,2,חדירת כלי טיס עוין,6,48754,עברון,Evron,عبرون,Эврон
19,עברון,02.11.2024,15:54:50,2024-11-02T15:55:00,1,ירי רקטות וטילים,1,48741,עברון,Evron,عبرون,Эврон
20,עברון,02.11.2024,15:54:10,2024-11-02T15:54:00,1,ירי רקטות וטילים,1,48722,עברון,Evron,عبرون,Эврон
21,עברון,02.11.2024,12:45:36,2024-11-02T12:46:00,1,ירי רקטות וטילים,1,48662,עברון,Evron,عبرون,Эврон
22,עברון,02.11.2024,11:05:37,2024-11-02T11:06:00,1,ירי רקטות וטילים,1,48627,עברון,Evron,عبرون,Эврон
