,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,עדי,24.11.2024,18:09:11,2024-11-24T18:09:00,1,ירי רקטות וטילים,1,52333,עדי,Adi,عدي,Ади
1,עדי,02.11.2024,11:05:17,2024-11-02T11:05:00,1,ירי רקטות וטילים,1,48614,עדי,Adi,عدي,Ади
2,עדי,22.10.2024,04:52:55,2024-10-22T04:53:00,1,ירי רקטות וטילים,1,46257,עדי,Adi,عدي,Ади
3,עדי,21.10.2024,12:28:43,2024-10-21T12:29:00,1,ירי רקטות וטילים,1,46005,עדי,Adi,عدي,Ади
4,עדי,17.10.2024,07:31:13,2024-10-17T07:31:00,1,ירי רקטות וטילים,1,45155,עדי,Adi,عدي,Ади
5,עדי,17.10.2024,03:26:16,2024-10-17T03:26:00,1,ירי רקטות וטילים,1,44941,עדי,Adi,عدي,Ади
6,עדי,11.10.2024,17:22:22,2024-10-11T17:22:00,1,ירי רקטות וטילים,1,43661,עדי,Adi,عدي,Ади
7,עדי,11.10.2024,16:31:01,2024-10-11T16:31:00,1,ירי רקטות וטילים,1,43557,עדי,Adi,عدي,Ади
8,עדי,28.09.2024,09:01:02,2024-09-28T09:01:00,1,ירי רקטות וטילים,1,38535,עדי,Adi,عدي,Ади
9,עדי,28.09.2024,08:04:00,2024-09-28T08:04:00,1,ירי רקטות וטילים,1,38423,עדי,Adi,عدي,Ади
10,עדי,25.09.2024,13:37:33,2024-09-25T13:38:00,1,ירי רקטות וטילים,1,37885,עדי,Adi,عدي,Ади
11,עדי,23.09.2024,18:57:41,2024-09-23T18:58:00,1,ירי רקטות וטילים,1,37288,עדי,Adi,عدي,Ади
12,עדי,22.09.2024,06:30:18,2024-09-22T06:30:00,1,ירי רקטות וטילים,1,36752,עדי,Adi,عدي,Ади
13,עדי,22.09.2024,05:10:52,2024-09-22T05:11:00,1,ירי רקטות וטילים,1,36689,עדי,Adi,عدي,Ади
14,עדי,13.10.2023,15:03:07,2023-10-13T15:03:00,1,ירי רקטות וטילים,1,21993,עדי,Adi,عدي,Ади
