,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,עדנים,24.11.2024,18:31:06,2024-11-24T18:31:00,1,ירי רקטות וטילים,1,52407,עדנים,Adanim,عدانيم,Аданим
1,עדנים,24.11.2024,12:53:42,2024-11-24T12:54:00,1,ירי רקטות וטילים,1,52151,עדנים,Adanim,عدانيم,Аданим
2,עדנים,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51279,עדנים,Adanim,عدانيم,Аданим
3,עדנים,12.11.2024,16:35:06,2024-11-12T16:35:00,1,ירי רקטות וטילים,1,50381,עדנים,Adanim,عدانيم,Аданим
4,עדנים,08.11.2024,15:20:02,2024-11-08T15:20:00,1,ירי רקטות וטילים,1,49736,עדנים,Adanim,عدانيم,Аданим
5,עדנים,06.11.2024,11:21:53,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49248,עדנים,Adanim,عدانيم,Аданим
6,עדנים,23.10.2024,20:33:12,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46848,עדנים,Adanim,عدانيم,Аданим
7,עדנים,14.10.2024,17:33:13,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44374,עדנים,Adanim,عدانيم,Аданим
8,עדנים,07.10.2024,23:13:22,2024-10-07T23:13:00,1,ירי רקטות וטילים,1,42928,עדנים,Adanim,عدانيم,Аданим
9,עדנים,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42823,עדנים,Adanim,عدانيم,Аданим
10,עדנים,01.10.2024,11:03:35,2024-10-01T11:04:00,1,ירי רקטות וטילים,1,39430,עדנים,Adanim,عدانيم,Аданим
11,עדנים,21.12.2023,13:30:32,2023-12-21T13:31:00,1,ירי רקטות וטילים,1,26892,עדנים,Adanim,عدانيم,Аданим
12,עדנים,20.11.2023,18:03:48,2023-11-20T18:04:00,1,ירי רקטות וטילים,1,25415,עדנים,Adanim,عدانيم,Аданим
13,עדנים,05.11.2023,20:01:21,2023-11-05T20:01:00,1,ירי רקטות וטילים,1,24555,עדנים,Adanim,عدانيم,Аданим
14,עדנים,31.10.2023,14:37:54,2023-10-31T14:38:00,1,ירי רקטות וטילים,1,24159,עדנים,Adanim,عدانيم,Аданим
15,עדנים,26.10.2023,13:31:33,2023-10-26T13:32:00,1,ירי רקטות וטילים,1,23534,עדנים,Adanim,عدانيم,Аданим
16,עדנים,24.10.2023,17:01:11,2023-10-24T17:01:00,1,ירי רקטות וטילים,1,23374,עדנים,Adanim,عدانيم,Аданим
17,עדנים,18.10.2023,18:28:43,2023-10-18T18:29:00,1,ירי רקטות וטילים,1,22825,עדנים,Adanim,عدانيم,Аданим
18,עדנים,17.10.2023,19:59:36,2023-10-17T20:00:00,1,ירי רקטות וטילים,1,22725,עדנים,Adanim,عدانيم,Аданим
19,עדנים,07.10.2023,20:00:37,2023-10-07T20:01:00,1,ירי רקטות וטילים,1,20277,עדנים,Adanim,عدانيم,Аданим
