,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,עין המפרץ,24.11.2024,18:12:28,2024-11-24T18:12:00,1,ירי רקטות וטילים,1,52389,עין המפרץ,Ein HaMifratz,عين همفراتس,Эйн ха-Мифрац
1,עין המפרץ,24.11.2024,16:28:32,2024-11-24T16:29:00,1,ירי רקטות וטילים,1,52314,עין המפרץ,Ein HaMifratz,عين همفراتس,Эйн ха-Мифрац
2,עין המפרץ,24.11.2024,15:32:22,2024-11-24T15:32:00,1,ירי רקטות וטילים,1,52283,עין המפרץ,Ein HaMifratz,عين همفراتس,Эйн ха-Мифрац
3,עין המפרץ,20.11.2024,06:36:06,2024-11-20T06:36:00,2,חדירת כלי טיס עוין,6,51555,עין המפרץ,Ein HaMifratz,عين همفراتس,Эйн ха-Мифрац
4,עין המפרץ,17.11.2024,10:12:39,2024-11-17T10:13:00,1,ירי רקטות וטילים,1,51087,עין המפרץ,Ein HaMifratz,عين همفراتس,Эйн ха-Мифрац
5,עין המפרץ,17.11.2024,10:11:58,2024-11-17T10:12:00,1,ירי רקטות וטילים,1,51079,עין המפרץ,Ein HaMifratz,عين همفراتس,Эйн ха-Мифрац
6,עין המפרץ,16.11.2024,14:45:07,2024-11-16T14:45:00,1,ירי רקטות וטילים,1,51028,עין המפרץ,Ein HaMifratz,عين همفراتس,Эйн ха-Мифрац
7,עין המפרץ,15.11.2024,06:54:00,2024-11-15T06:54:00,1,ירי רקטות וטילים,1,50875,עין המפרץ,Ein HaMifratz,عين همفراتس,Эйн ха-Мифрац
8,עין המפרץ,14.11.2024,18:49:18,2024-11-14T18:49:00,2,חדירת כלי טיס עוין,6,50791,עין המפרץ,Ein HaMifratz,عين همفراتس,Эйн ха-Мифрац
9,עין המפרץ,13.11.2024,14:56:52,2024-11-13T14:57:00,2,חדירת כלי טיס עוין,6,50531,עין המפרץ,Ein HaMifratz,عين همفراتس,Эйн ха-Мифрац
