,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,עין יעקב,24.11.2024,13:04:01,2024-11-24T13:04:00,1,ירי רקטות וטילים,1,52196,עין יעקב,Ein Yacov,عين يعقوب,Эйн Яаков
1,עין יעקב,24.11.2024,06:26:32,2024-11-24T06:27:00,2,חדירת כלי טיס עוין,6,51954,עין יעקב,Ein Yacov,عين يعقوب,Эйн Яаков
2,עין יעקב,13.11.2024,12:14:21,2024-11-13T12:14:00,1,ירי רקטות וטילים,1,50478,עין יעקב,Ein Yacov,عين يعقوب,Эйн Яаков
3,עין יעקב,08.11.2024,06:45:39,2024-11-08T06:46:00,1,ירי רקטות וטילים,1,49615,עין יעקב,Ein Yacov,عين يعقوب,Эйн Яаков
4,עין יעקב,07.11.2024,16:15:28,2024-11-07T16:15:00,1,ירי רקטות וטילים,1,49550,עין יעקב,Ein Yacov,عين يعقوب,Эйн Яаков
5,עין יעקב,06.11.2024,16:07:13,2024-11-06T16:07:00,1,ירי רקטות וטילים,1,49355,עין יעקב,Ein Yacov,عين يعقوب,Эйн Яаков
6,עין יעקב,06.11.2024,11:21:42,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49205,עין יעקב,Ein Yacov,عين يعقوب,Эйн Яаков
7,עין יעקב,29.10.2024,10:38:40,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47779,עין יעקב,Ein Yacov,عين يعقوب,Эйн Яаков
8,עין יעקב,29.10.2024,10:38:26,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47748,עין יעקב,Ein Yacov,عين يعقوب,Эйн Яаков
9,עין יעקב,29.10.2024,10:38:25,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47684,עין יעקב,Ein Yacov,عين يعقوب,Эйн Яаков
10,עין יעקב,29.10.2024,10:38:21,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47706,עין יעקב,Ein Yacov,عين يعقوب,Эйн Яаков
11,עין יעקב,26.10.2024,09:06:31,2024-10-26T09:07:00,2,חדירת כלי טיס עוין,6,47210,עין יעקב,Ein Yacov,عين يعقوب,Эйн Яаков
12,עין יעקב,26.10.2024,09:05:51,2024-10-26T09:06:00,1,ירי רקטות וטילים,1,47207,עין יעקב,Ein Yacov,عين يعقوب,Эйн Яаков
13,עין יעקב,26.10.2024,09:04:28,2024-10-26T09:04:00,2,חדירת כלי טיס עוין,6,47203,עין יעקב,Ein Yacov,عين يعقوب,Эйн Яаков
14,עין יעקב,21.10.2024,12:06:49,2024-10-21T12:07:00,1,ירי רקטות וטילים,1,45891,עין יעקב,Ein Yacov,عين يعقوب,Эйн Яаков
15,עין יעקב,17.10.2024,03:28:33,2024-10-17T03:29:00,1,ירי רקטות וטילים,1,45008,עין יעקב,Ein Yacov,عين يعقوب,Эйн Яаков
16,עין יעקב,14.10.2024,15:14:08,2024-10-14T15:14:00,1,ירי רקטות וטילים,1,44321,עין יעקב,Ein Yacov,عين يعقوب,Эйн Яаков
17,עין יעקב,13.10.2024,18:35:42,2024-10-13T18:36:00,1,ירי רקטות וטילים,1,44088,עין יעקב,Ein Yacov,عين يعقوب,Эйн Яаков
18,עין יעקב,13.10.2024,07:05:34,2024-10-13T07:06:00,1,ירי רקטות וטילים,1,43898,עין יעקב,Ein Yacov,عين يعقوب,Эйн Яаков
19,עין יעקב,01.10.2024,16:11:39,2024-10-01T16:12:00,1,ירי רקטות וטילים,1,39587,עין יעקב,Ein Yacov,عين يعقوب,Эйн Яаков
20,עין יעקב,28.09.2024,13:42:58,2024-09-28T13:43:00,1,ירי רקטות וטילים,1,38898,עין יעקב,Ein Yacov,عين يعقوب,Эйн Яаков
21,עין יעקב,28.09.2024,10:42:57,2024-09-28T10:43:00,1,ירי רקטות וטילים,1,38812,עין יעקב,Ein Yacov,عين يعقوب,Эйн Яаков
22,עין יעקב,28.09.2024,09:36:21,2024-09-28T09:36:00,1,ירי רקטות וטילים,1,38661,עין יעקב,Ein Yacov,عين يعقوب,Эйн Яаков
23,עין יעקב,28.09.2024,08:01:08,2024-09-28T08:01:00,1,ירי רקטות וטילים,1,38342,עין יעקב,Ein Yacov,عين يعقوب,Эйн Яаков
24,עין יעקב,18.09.2024,14:59:22,2024-09-18T14:59:00,1,ירי רקטות וטילים,1,36351,עין יעקב,Ein Yacov,عين يعقوب,Эйн Яаков
25,עין יעקב,12.09.2024,13:02:46,2024-09-12T13:03:00,1,ירי רקטות וטילים,1,36022,עין יעקב,Ein Yacov,عين يعقوب,Эйн Яаков
26,עין יעקב,02.09.2024,16:57:08,2024-09-02T16:57:00,1,ירי רקטות וטילים,1,35717,עין יעקב,Ein Yacov,عين يعقوب,Эйн Яаков
27,עין יעקב,02.09.2024,16:56:17,2024-09-02T16:56:00,1,ירי רקטות וטילים,1,35711,עין יעקב,Ein Yacov,عين يعقوب,Эйн Яаков
28,עין יעקב,02.09.2024,14:33:53,2024-09-02T14:34:00,1,ירי רקטות וטילים,1,35706,עין יעקב,Ein Yacov,عين يعقوب,Эйн Яаков
