,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,עכו - אזור תעשייה,24.11.2024,18:12:24,2024-11-24T18:12:00,1,ירי רקטות וטילים,1,52372,עכו - אזור תעשייה,Acco - Industrial Zone,عكا- المنطقة الصناعية,Акко - промзона
1,עכו - אזור תעשייה,24.11.2024,16:28:16,2024-11-24T16:28:00,1,ירי רקטות וטילים,1,52312,עכו - אזור תעשייה,Acco - Industrial Zone,عكا- المنطقة الصناعية,Акко - промзона
2,עכו - אזור תעשייה,24.11.2024,15:32:22,2024-11-24T15:32:00,1,ירי רקטות וטילים,1,52284,עכו - אזור תעשייה,Acco - Industrial Zone,عكا- المنطقة الصناعية,Акко - промзона
3,עכו - אזור תעשייה,20.11.2024,06:37:30,2024-11-20T06:38:00,2,חדירת כלי טיס עוין,6,51558,עכו - אזור תעשייה,Acco - Industrial Zone,عكا- المنطقة الصناعية,Акко - промзона
4,עכו - אזור תעשייה,17.11.2024,10:12:39,2024-11-17T10:13:00,1,ירי רקטות וטילים,1,51088,עכו - אזור תעשייה,Acco - Industrial Zone,عكا- المنطقة الصناعية,Акко - промзона
5,עכו - אזור תעשייה,17.11.2024,10:11:57,2024-11-17T10:12:00,1,ירי רקטות וטילים,1,51080,עכו - אזור תעשייה,Acco - Industrial Zone,عكا- المنطقة الصناعية,Акко - промзона
6,עכו - אזור תעשייה,16.11.2024,14:45:03,2024-11-16T14:45:00,1,ירי רקטות וטילים,1,51025,עכו - אזור תעשייה,Acco - Industrial Zone,عكا- المنطقة الصناعية,Акко - промзона
7,עכו - אזור תעשייה,16.11.2024,10:47:21,2024-11-16T10:47:00,1,ירי רקטות וטילים,1,50992,עכו - אזור תעשייה,Acco - Industrial Zone,عكا- المنطقة الصناعية,Акко - промзона
8,עכו - אזור תעשייה,15.11.2024,09:02:29,2024-11-15T09:02:00,1,ירי רקטות וטילים,1,50906,עכו - אזור תעשייה,Acco - Industrial Zone,عكا- المنطقة الصناعية,Акко - промзона
9,עכו - אזור תעשייה,15.11.2024,06:54:00,2024-11-15T06:54:00,1,ירי רקטות וטילים,1,50876,עכו - אזור תעשייה,Acco - Industrial Zone,عكا- المنطقة الصناعية,Акко - промзона
10,עכו - אזור תעשייה,12.11.2024,09:32:06,2024-11-12T09:32:00,2,חדירת כלי טיס עוין,6,50280,עכו - אזור תעשייה,Acco - Industrial Zone,عكا- المنطقة الصناعية,Акко - промзона
11,עכו - אזור תעשייה,12.11.2024,09:29:52,2024-11-12T09:30:00,2,חדירת כלי טיס עוין,6,50279,עכו - אזור תעשייה,Acco - Industrial Zone,عكا- المنطقة الصناعية,Акко - промзона
12,עכו - אזור תעשייה,11.11.2024,16:03:08,2024-11-11T16:03:00,1,ירי רקטות וטילים,1,50197,עכו - אזור תעשייה,Acco - Industrial Zone,عكا- المنطقة الصناعية,Акко - промзона
13,עכו - אזור תעשייה,11.11.2024,16:02:20,2024-11-11T16:02:00,1,ירי רקטות וטילים,1,50187,עכו - אזור תעשייה,Acco - Industrial Zone,عكا- المنطقة الصناعية,Акко - промзона
14,עכו - אזור תעשייה,11.11.2024,15:43:39,2024-11-11T15:44:00,1,ירי רקטות וטילים,1,50170,עכו - אזור תעשייה,Acco - Industrial Zone,عكا- المنطقة الصناعية,Акко - промзона
15,עכו - אזור תעשייה,11.11.2024,15:42:58,2024-11-11T15:43:00,1,ירי רקטות וטילים,1,50155,עכו - אזור תעשייה,Acco - Industrial Zone,عكا- المنطقة الصناعية,Акко - промзона
