,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,עכו,24.11.2024,16:28:32,2024-11-24T16:29:00,1,ירי רקטות וטילים,1,52315,עכו,Acre,عكا,Акко
1,עכו,24.11.2024,15:32:22,2024-11-24T15:32:00,1,ירי רקטות וטילים,1,52285,עכו,Acre,عكا,Акко
2,עכו,22.11.2024,21:11:52,2024-11-22T21:12:00,2,חדירת כלי טיס עוין,6,51841,עכו,Acre,عكا,Акко
3,עכו,20.11.2024,16:19:22,2024-11-20T16:19:00,1,ירי רקטות וטילים,1,51592,עכו,Acre,عكا,Акко
4,עכו,20.11.2024,06:40:01,2024-11-20T06:40:00,2,חדירת כלי טיס עוין,6,51564,עכו,Acre,عكا,Акко
5,עכו,20.11.2024,06:34:57,2024-11-20T06:35:00,2,חדירת כלי טיס עוין,6,51554,עכו,Acre,عكا,Акко
6,עכו,17.11.2024,10:12:45,2024-11-17T10:13:00,1,ירי רקטות וטילים,1,51089,עכו,Acre,عكا,Акко
7,עכו,17.11.2024,10:12:04,2024-11-17T10:12:00,1,ירי רקטות וטילים,1,51081,עכו,Acre,عكا,Акко
8,עכו,16.11.2024,14:44:48,2024-11-16T14:45:00,1,ירי רקטות וטילים,1,51013,עכו,Acre,عكا,Акко
9,עכו,15.11.2024,06:54:00,2024-11-15T06:54:00,1,ירי רקטות וטילים,1,50877,עכו,Acre,عكا,Акко
10,עכו,14.11.2024,18:49:22,2024-11-14T18:49:00,2,חדירת כלי טיס עוין,6,50792,עכו,Acre,عكا,Акко
11,עכו,14.11.2024,18:48:20,2024-11-14T18:48:00,2,חדירת כלי טיס עוין,6,50789,עכו,Acre,عكا,Акко
12,עכו,13.11.2024,14:54:27,2024-11-13T14:54:00,2,חדירת כלי טיס עוין,6,50527,עכו,Acre,عكا,Акко
13,עכו,12.11.2024,12:55:41,2024-11-12T12:56:00,1,ירי רקטות וטילים,1,50297,עכו,Acre,عكا,Акко
14,עכו,12.11.2024,09:32:06,2024-11-12T09:32:00,2,חדירת כלי טיס עוין,6,50281,עכו,Acre,عكا,Акко
15,עכו,12.11.2024,09:28:22,2024-11-12T09:28:00,2,חדירת כלי טיס עוין,6,50275,עכו,Acre,عكا,Акко
16,עכו,11.11.2024,16:03:08,2024-11-11T16:03:00,1,ירי רקטות וטילים,1,50196,עכו,Acre,عكا,Акко
17,עכו,11.11.2024,15:43:36,2024-11-11T15:44:00,1,ירי רקטות וטילים,1,50167,עכו,Acre,عكا,Акко
18,עכו,09.11.2024,09:27:07,2024-11-09T09:27:00,1,ירי רקטות וטילים,1,49826,עכו,Acre,عكا,Акко
19,עכו,08.11.2024,15:55:12,2024-11-08T15:55:00,1,ירי רקטות וטילים,1,49779,עכו,Acre,عكا,Акко
20,עכו,08.11.2024,15:40:43,2024-11-08T15:41:00,1,ירי רקטות וטילים,1,49760,עכו,Acre,عكا,Акко
21,עכו,08.11.2024,11:48:12,2024-11-08T11:48:00,1,ירי רקטות וטילים,1,49674,עכו,Acre,عكا,Акко
22,עכו,08.11.2024,07:45:41,2024-11-08T07:46:00,1,ירי רקטות וטילים,1,49664,עכו,Acre,عكا,Акко
23,עכו,07.11.2024,13:46:58,2024-11-07T13:47:00,1,ירי רקטות וטילים,1,49463,עכו,Acre,عكا,Акко
24,עכו,06.11.2024,18:02:43,2024-11-06T18:03:00,1,ירי רקטות וטילים,1,49424,עכו,Acre,عكا,Акко
25,עכו,04.11.2024,11:00:18,2024-11-04T11:00:00,1,ירי רקטות וטילים,1,48984,עכו,Acre,عكا,Акко
26,עכו,03.11.2024,17:26:49,2024-11-03T17:27:00,2,חדירת כלי טיס עוין,6,48899,עכו,Acre,عكا,Акко
27,עכו,03.11.2024,08:05:49,2024-11-03T08:06:00,1,ירי רקטות וטילים,1,48819,עכו,Acre,عكا,Акко
28,עכו,02.11.2024,16:24:34,2024-11-02T16:25:00,2,חדירת כלי טיס עוין,6,48768,עכו,Acre,عكا,Акко
29,עכו,02.11.2024,16:22:19,2024-11-02T16:22:00,2,חדירת כלי טיס עוין,6,48764,עכו,Acre,عكا,Акко
30,עכו,02.11.2024,12:45:12,2024-11-02T12:45:00,1,ירי רקטות וטילים,1,48656,עכו,Acre,عكا,Акко
31,עכו,02.11.2024,11:05:37,2024-11-02T11:06:00,1,ירי רקטות וטילים,1,48628,עכו,Acre,عكا,Акко
32,עכו,02.11.2024,08:16:44,2024-11-02T08:17:00,2,חדירת כלי טיס עוין,6,48547,עכו,Acre,عكا,Акко
33,עכו,02.11.2024,08:14:05,2024-11-02T08:14:00,2,חדירת כלי טיס עוין,6,48535,עכו,Acre,عكا,Акко
34,עכו,31.10.2024,04:26:13,2024-10-31T04:26:00,2,חדירת כלי טיס עוין,6,48261,עכו,Acre,عكا,Акко
35,עכו,30.10.2024,17:38:15,2024-10-30T17:38:00,2,חדירת כלי טיס עוין,6,48213,עכו,Acre,عكا,Акко
36,עכו,30.10.2024,17:29:13,2024-10-30T17:29:00,2,חדירת כלי טיס עוין,6,48157,עכו,Acre,عكا,Акко
37,עכו,30.10.2024,17:27:23,2024-10-30T17:27:00,2,חדירת כלי טיס עוין,6,48155,עכו,Acre,عكا,Акко
38,עכו,30.10.2024,13:23:39,2024-10-30T13:24:00,1,ירי רקטות וטילים,1,48090,עכו,Acre,عكا,Акко
39,עכו,26.10.2024,04:06:35,2024-10-26T04:07:00,2,חדירת כלי טיס עוין,6,47191,עכו,Acre,عكا,Акко
40,עכו,24.10.2024,12:17:50,2024-10-24T12:18:00,1,ירי רקטות וטילים,1,46971,עכו,Acre,عكا,Акко
41,עכו,23.10.2024,13:41:30,2024-10-23T13:42:00,1,ירי רקטות וטילים,1,46621,עכו,Acre,عكا,Акко
42,עכו,23.10.2024,13:40:44,2024-10-23T13:41:00,1,ירי רקטות וטילים,1,46617,עכו,Acre,عكا,Акко
43,עכו,23.10.2024,11:03:52,2024-10-23T11:04:00,1,ירי רקטות וטילים,1,46583,עכו,Acre,عكا,Акко
44,עכו,22.10.2024,18:22:41,2024-10-22T18:23:00,2,חדירת כלי טיס עוין,6,46419,עכו,Acre,عكا,Акко
45,עכו,22.10.2024,18:21:19,2024-10-22T18:21:00,2,חדירת כלי טיס עוין,6,46416,עכו,Acre,عكا,Акко
46,עכו,22.10.2024,06:32:42,2024-10-22T06:33:00,1,ירי רקטות וטילים,1,46265,עכו,Acre,عكا,Акко
47,עכו,21.10.2024,12:28:43,2024-10-21T12:29:00,1,ירי רקטות וטילים,1,45942,עכו,Acre,عكا,Акко
48,עכו,20.10.2024,15:42:09,2024-10-20T15:42:00,1,ירי רקטות וטילים,1,45746,עכו,Acre,عكا,Акко
49,עכו,20.10.2024,15:41:25,2024-10-20T15:41:00,1,ירי רקטות וטילים,1,45723,עכו,Acre,عكا,Акко
50,עכו,20.10.2024,11:10:59,2024-10-20T11:11:00,1,ירי רקטות וטילים,1,45625,עכו,Acre,عكا,Акко
51,עכו,19.10.2024,12:27:06,2024-10-19T12:27:00,1,ירי רקטות וטילים,1,45478,עכו,Acre,عكا,Акко
52,עכו,19.10.2024,12:25:51,2024-10-19T12:26:00,1,ירי רקטות וטילים,1,45467,עכו,Acre,عكا,Акко
53,עכו,19.10.2024,06:59:45,2024-10-19T07:00:00,2,חדירת כלי טיס עוין,6,45344,עכו,Acre,عكا,Акко
54,עכו,19.10.2024,06:58:43,2024-10-19T06:59:00,2,חדירת כלי טיס עוין,6,45341,עכו,Acre,عكا,Акко
55,עכו,18.10.2024,19:01:01,2024-10-18T19:01:00,1,ירי רקטות וטילים,1,45287,עכו,Acre,عكا,Акко
56,עכו,18.10.2024,07:00:03,2024-10-18T07:00:00,1,ירי רקטות וטילים,1,45243,עכו,Acre,عكا,Акко
57,עכו,18.10.2024,06:59:22,2024-10-18T06:59:00,1,ירי רקטות וטילים,1,45235,עכו,Acre,عكا,Акко
58,עכו,17.10.2024,07:29:27,2024-10-17T07:29:00,1,ירי רקטות וטילים,1,45108,עכו,Acre,عكا,Акко
59,עכו,17.10.2024,07:28:43,2024-10-17T07:29:00,1,ירי רקטות וטילים,1,45093,עכו,Acre,عكا,Акко
60,עכו,13.10.2024,18:50:42,2024-10-13T18:51:00,2,חדירת כלי טיס עוין,6,44117,עכו,Acre,عكا,Акко
61,עכו,13.10.2024,18:49:24,2024-10-13T18:49:00,2,חדירת כלי טיס עוין,6,44113,עכו,Acre,عكا,Акко
62,עכו,13.10.2024,18:48:19,2024-10-13T18:48:00,2,חדירת כלי טיס עוין,6,44111,עכו,Acre,عكا,Акко
63,עכו,13.10.2024,09:45:06,2024-10-13T09:45:00,1,ירי רקטות וטילים,1,43991,עכו,Acre,عكا,Акко
64,עכו,13.10.2024,09:01:24,2024-10-13T09:01:00,1,ירי רקטות וטילים,1,43950,עכו,Acre,عكا,Акко
65,עכו,12.10.2024,15:16:54,2024-10-12T15:17:00,1,ירי רקטות וטילים,1,43824,עכו,Acre,عكا,Акко
66,עכו,12.10.2024,15:14:10,2024-10-12T15:14:00,1,ירי רקטות וטילים,1,43818,עכו,Acre,عكا,Акко
67,עכו,12.10.2024,15:13:28,2024-10-12T15:13:00,1,ירי רקטות וטילים,1,43800,עכו,Acre,عكا,Акко
68,עכו,11.10.2024,17:22:36,2024-10-11T17:23:00,1,ירי רקטות וטילים,1,43666,עכו,Acre,عكا,Акко
69,עכו,11.10.2024,08:31:07,2024-10-11T08:31:00,1,ירי רקטות וטילים,1,43503,עכו,Acre,عكا,Акко
70,עכו,10.10.2024,15:45:55,2024-10-10T15:46:00,1,ירי רקטות וטילים,1,43466,עכו,Acre,عكا,Акко
71,עכו,10.10.2024,15:45:14,2024-10-10T15:45:00,1,ירי רקטות וטילים,1,43455,עכו,Acre,عكا,Акко
72,עכו,10.10.2024,15:44:33,2024-10-10T15:45:00,1,ירי רקטות וטילים,1,43441,עכו,Acre,عكا,Акко
73,עכו,08.10.2024,12:12:58,2024-10-08T12:13:00,1,ירי רקטות וטילים,1,43046,עכו,Acre,عكا,Акко
74,עכו,07.10.2024,17:09:40,2024-10-07T17:10:00,1,ירי רקטות וטילים,1,42660,עכו,Acre,عكا,Акко
75,עכו,07.10.2024,17:08:57,2024-10-07T17:09:00,1,ירי רקטות וטילים,1,42648,עכו,Acre,عكا,Акко
76,עכו,04.10.2024,07:03:17,2024-10-04T07:03:00,1,ירי רקטות וטילים,1,41877,עכו,Acre,عكا,Акко
77,עכו,02.10.2024,19:26:38,2024-10-02T19:27:00,1,ירי רקטות וטילים,1,41646,עכו,Acre,عكا,Акко
78,עכו,01.10.2024,16:11:20,2024-10-01T16:11:00,1,ירי רקטות וטילים,1,39516,עכו,Acre,عكا,Акко
79,עכו,29.09.2024,21:15:11,2024-09-29T21:15:00,1,ירי רקטות וטילים,1,39261,עכו,Acre,عكا,Акко
80,עכו,29.09.2024,18:38:12,2024-09-29T18:38:00,1,ירי רקטות וטילים,1,39221,עכו,Acre,عكا,Акко
81,עכו,28.09.2024,10:42:53,2024-09-28T10:43:00,1,ירי רקטות וטילים,1,38745,עכו,Acre,عكا,Акко
82,עכו,26.09.2024,10:46:40,2024-09-26T10:47:00,1,ירי רקטות וטילים,1,37910,עכו,Acre,عكا,Акко
83,עכו,26.09.2024,10:45:56,2024-09-26T10:46:00,1,ירי רקטות וטילים,1,37903,עכו,Acre,عكا,Акко
84,עכו,24.09.2024,15:04:30,2024-09-24T15:05:00,1,ירי רקטות וטילים,1,37587,עכו,Acre,عكا,Акко
85,עכו,24.09.2024,15:03:49,2024-09-24T15:04:00,1,ירי רקטות וטילים,1,37573,עכו,Acre,عكا,Акко
86,עכו,23.09.2024,18:59:21,2024-09-23T18:59:00,1,ירי רקטות וטילים,1,37301,עכו,Acre,عكا,Акко
87,עכו,23.09.2024,17:02:32,2024-09-23T17:03:00,1,ירי רקטות וטילים,1,37093,עכו,Acre,عكا,Акко
88,עכו,22.09.2024,07:00:56,2024-09-22T07:01:00,1,ירי רקטות וטילים,1,36868,עכו,Acre,عكا,Акко
89,עכו,22.09.2024,07:00:12,2024-09-22T07:00:00,1,ירי רקטות וטילים,1,36861,עכו,Acre,عكا,Акко
90,עכו,22.09.2024,06:32:13,2024-09-22T06:32:00,1,ירי רקטות וטילים,1,36819,עכו,Acre,عكا,Акко
91,עכו,22.09.2024,06:31:28,2024-09-22T06:31:00,1,ירי רקטות וטילים,1,36795,עכו,Acre,عكا,Акко
92,עכו,25.08.2024,05:45:16,2024-08-25T05:45:00,1,ירי רקטות וטילים,1,35440,עכו,Acre,عكا,Акко
93,עכו,25.08.2024,05:43:39,2024-08-25T05:44:00,1,ירי רקטות וטילים,1,35431,עכו,Acre,عكا,Акко
94,עכו,06.08.2024,12:56:12,2024-08-06T12:56:00,2,חדירת כלי טיס עוין,6,34779,עכו,Acre,عكا,Акко
95,עכו,06.08.2024,12:26:01,2024-08-06T12:26:00,2,חדירת כלי טיס עוין,6,34777,עכו,Acre,عكا,Акко
96,עכו,04.07.2024,11:26:27,2024-07-04T11:26:00,1,ירי רקטות וטילים,1,33765,עכו,Acre,عكا,Акко
97,עכו,10.06.2024,00:55:22,2024-06-10T00:55:00,1,ירי רקטות וטילים,1,32508,עכו,Acre,عكا,Акко
98,עכו,02.06.2024,14:58:09,2024-06-02T14:58:00,2,חדירת כלי טיס עוין,6,32116,עכו,Acre,عكا,Акко
99,עכו,01.06.2024,19:47:26,2024-06-01T19:47:00,1,ירי רקטות וטילים,1,32035,עכו,Acre,عكا,Акко
100,עכו,31.05.2024,17:59:39,2024-05-31T18:00:00,1,ירי רקטות וטילים,1,31939,עכו,Acre,عكا,Акко
101,עכו,23.04.2024,13:47:14,2024-04-23T13:47:00,1,ירי רקטות וטילים,1,30289,עכו,Acre,عكا,Акко
102,עכו,23.04.2024,13:45:58,2024-04-23T13:46:00,2,חדירת כלי טיס עוין,6,30281,עכו,Acre,عكا,Акко
103,עכו,12.12.2023,13:20:43,2023-12-12T13:21:00,1,ירי רקטות וטילים,1,26491,עכו,Acre,عكا,Акко
104,עכו,13.11.2023,12:55:24,2023-11-13T12:55:00,1,ירי רקטות וטילים,1,24980,עכו,Acre,عكا,Акко
105,עכו,12.11.2023,16:29:25,2023-11-12T16:29:00,1,ירי רקטות וטילים,1,24953,עכו,Acre,عكا,Акко
106,עכו,06.11.2023,16:40:05,2023-11-06T16:40:00,1,ירי רקטות וטילים,1,24661,עכו,Acre,عكا,Акко
