,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,עמוקה,24.11.2024,12:11:09,2024-11-24T12:11:00,1,ירי רקטות וטילים,1,52100,עמוקה,Amuka,عموكاه,Амука
1,עמוקה,19.11.2024,10:58:34,2024-11-19T10:59:00,2,חדירת כלי טיס עוין,6,51469,עמוקה,Amuka,عموكاه,Амука
2,עמוקה,11.11.2024,17:30:38,2024-11-11T17:31:00,1,ירי רקטות וטילים,1,50222,עמוקה,Amuka,عموكاه,Амука
3,עמוקה,11.11.2024,17:25:29,2024-11-11T17:25:00,1,ירי רקטות וטילים,1,50218,עמוקה,Amuka,عموكاه,Амука
4,עמוקה,11.11.2024,16:40:16,2024-11-11T16:40:00,1,ירי רקטות וטילים,1,50208,עמוקה,Amuka,عموكاه,Амука
5,עמוקה,06.11.2024,15:09:22,2024-11-06T15:09:00,1,ירי רקטות וטילים,1,49350,עמוקה,Amuka,عموكاه,Амука
6,עמוקה,02.11.2024,13:38:39,2024-11-02T13:39:00,1,ירי רקטות וטילים,1,48672,עמוקה,Amuka,عموكاه,Амука
7,עמוקה,28.10.2024,23:27:07,2024-10-28T23:27:00,1,ירי רקטות וטילים,1,47573,עמוקה,Amuka,عموكاه,Амука
8,עמוקה,26.10.2024,19:37:55,2024-10-26T19:38:00,1,ירי רקטות וטילים,1,47303,עמוקה,Amuka,عموكاه,Амука
9,עמוקה,25.10.2024,18:15:58,2024-10-25T18:16:00,1,ירי רקטות וטילים,1,47161,עמוקה,Amuka,عموكاه,Амука
10,עמוקה,24.10.2024,10:53:18,2024-10-24T10:53:00,1,ירי רקטות וטילים,1,46947,עמוקה,Amuka,عموكاه,Амука
11,עמוקה,24.10.2024,10:52:37,2024-10-24T10:53:00,1,ירי רקטות וטילים,1,46933,עמוקה,Amuka,عموكاه,Амука
12,עמוקה,20.10.2024,12:30:50,2024-10-20T12:31:00,1,ירי רקטות וטילים,1,45683,עמוקה,Amuka,عموكاه,Амука
13,עמוקה,20.10.2024,12:30:00,2024-10-20T12:30:00,1,ירי רקטות וטילים,1,45666,עמוקה,Amuka,عموكاه,Амука
14,עמוקה,20.10.2024,12:29:19,2024-10-20T12:29:00,1,ירי רקטות וטילים,1,45655,עמוקה,Amuka,عموكاه,Амука
15,עמוקה,19.10.2024,23:58:51,2024-10-19T23:59:00,1,ירי רקטות וטילים,1,45532,עמוקה,Amuka,عموكاه,Амука
16,עמוקה,18.10.2024,23:46:39,2024-10-18T23:47:00,1,ירי רקטות וטילים,1,45310,עמוקה,Amuka,عموكاه,Амука
17,עמוקה,16.10.2024,01:39:55,2024-10-16T01:40:00,1,ירי רקטות וטילים,1,44800,עמוקה,Amuka,عموكاه,Амука
18,עמוקה,16.10.2024,01:39:03,2024-10-16T01:39:00,1,ירי רקטות וטילים,1,44789,עמוקה,Amuka,عموكاه,Амука
19,עמוקה,12.10.2024,10:56:06,2024-10-12T10:56:00,1,ירי רקטות וטילים,1,43753,עמוקה,Amuka,عموكاه,Амука
20,עמוקה,11.10.2024,17:46:35,2024-10-11T17:47:00,1,ירי רקטות וטילים,1,43704,עמוקה,Amuka,عموكاه,Амука
21,עמוקה,11.10.2024,17:45:53,2024-10-11T17:46:00,1,ירי רקטות וטילים,1,43695,עמוקה,Amuka,عموكاه,Амука
22,עמוקה,11.10.2024,16:35:20,2024-10-11T16:35:00,2,חדירת כלי טיס עוין,6,43602,עמוקה,Amuka,عموكاه,Амука
23,עמוקה,11.10.2024,16:31:54,2024-10-11T16:32:00,1,ירי רקטות וטילים,1,43584,עמוקה,Amuka,عموكاه,Амука
24,עמוקה,09.10.2024,16:42:17,2024-10-09T16:42:00,1,ירי רקטות וטילים,1,43249,עמוקה,Amuka,عموكاه,Амука
25,עמוקה,09.10.2024,15:36:21,2024-10-09T15:36:00,1,ירי רקטות וטילים,1,43237,עמוקה,Amuka,عموكاه,Амука
26,עמוקה,05.10.2024,18:47:59,2024-10-05T18:48:00,1,ירי רקטות וטילים,1,42253,עמוקה,Amuka,عموكاه,Амука
27,עמוקה,05.10.2024,11:30:15,2024-10-05T11:30:00,1,ירי רקטות וטילים,1,42128,עמוקה,Amuka,عموكاه,Амука
28,עמוקה,04.10.2024,18:25:40,2024-10-04T18:26:00,1,ירי רקטות וטילים,1,42078,עמוקה,Amuka,عموكاه,Амука
29,עמוקה,02.10.2024,22:13:10,2024-10-02T22:13:00,1,ירי רקטות וטילים,1,41679,עמוקה,Amuka,عموكاه,Амука
30,עמוקה,01.10.2024,19:52:24,2024-10-01T19:52:00,1,ירי רקטות וטילים,1,41161,עמוקה,Amuka,عموكاه,Амука
31,עמוקה,01.10.2024,10:24:16,2024-10-01T10:24:00,1,ירי רקטות וטילים,1,39403,עמוקה,Amuka,عموكاه,Амука
32,עמוקה,29.09.2024,16:37:48,2024-09-29T16:38:00,1,ירי רקטות וטילים,1,39205,עמוקה,Amuka,عموكاه,Амука
33,עמוקה,29.09.2024,16:18:02,2024-09-29T16:18:00,1,ירי רקטות וטילים,1,39195,עמוקה,Amuka,عموكاه,Амука
34,עמוקה,28.09.2024,09:49:52,2024-09-28T09:50:00,1,ירי רקטות וטילים,1,38707,עמוקה,Amuka,عموكاه,Амука
35,עמוקה,28.09.2024,09:36:21,2024-09-28T09:36:00,1,ירי רקטות וטילים,1,38664,עמוקה,Amuka,عموكاه,Амука
36,עמוקה,26.09.2024,18:03:13,2024-09-26T18:03:00,1,ירי רקטות וטילים,1,37972,עמוקה,Amuka,عموكاه,Амука
37,עמוקה,26.09.2024,18:02:31,2024-09-26T18:03:00,1,ירי רקטות וטילים,1,37961,עמוקה,Amuka,عموكاه,Амука
38,עמוקה,26.09.2024,18:01:51,2024-09-26T18:02:00,1,ירי רקטות וטילים,1,37949,עמוקה,Amuka,عموكاه,Амука
39,עמוקה,26.09.2024,13:25:42,2024-09-26T13:26:00,1,ירי רקטות וטילים,1,37919,עמוקה,Amuka,عموكاه,Амука
40,עמוקה,25.09.2024,11:02:04,2024-09-25T11:02:00,1,ירי רקטות וטילים,1,37847,עמוקה,Amuka,عموكاه,Амука
41,עמוקה,25.09.2024,11:01:15,2024-09-25T11:01:00,1,ירי רקטות וטילים,1,37827,עמוקה,Amuka,عموكاه,Амука
42,עמוקה,24.09.2024,19:24:08,2024-09-24T19:24:00,1,ירי רקטות וטילים,1,37705,עמוקה,Amuka,عموكاه,Амука
43,עמוקה,24.09.2024,19:23:27,2024-09-24T19:23:00,1,ירי רקטות וטילים,1,37694,עמוקה,Amuka,عموكاه,Амука
44,עמוקה,24.09.2024,15:45:34,2024-09-24T15:46:00,1,ירי רקטות וטילים,1,37631,עמוקה,Amuka,عموكاه,Амука
45,עמוקה,23.09.2024,12:24:42,2024-09-23T12:25:00,1,ירי רקטות וטילים,1,36986,עמוקה,Amuka,عموكاه,Амука
46,עמוקה,20.09.2024,17:08:28,2024-09-20T17:08:00,1,ירי רקטות וטילים,1,36500,עמוקה,Amuka,عموكاه,Амука
47,עמוקה,20.09.2024,17:07:42,2024-09-20T17:08:00,1,ירי רקטות וטילים,1,36469,עמוקה,Amuka,عموكاه,Амука
48,עמוקה,20.09.2024,13:02:42,2024-09-20T13:03:00,1,ירי רקטות וטילים,1,36431,עמוקה,Amuka,عموكاه,Амука
49,עמוקה,14.09.2024,09:00:08,2024-09-14T09:00:00,1,ירי רקטות וטילים,1,36099,עמוקה,Amuka,عموكاه,Амука
