,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,עמיעד,24.11.2024,12:11:10,2024-11-24T12:11:00,1,ירי רקטות וטילים,1,52097,עמיעד,Amiad,عميعاد,Амиад
1,עמיעד,19.11.2024,17:08:21,2024-11-19T17:08:00,2,חדירת כלי טיס עוין,6,51519,עמיעד,Amiad,عميعاد,Амиад
2,עמיעד,11.11.2024,16:40:01,2024-11-11T16:40:00,1,ירי רקטות וטילים,1,50204,עמיעד,Amiad,عميعاد,Амиад
3,עמיעד,24.10.2024,10:53:07,2024-10-24T10:53:00,1,ירי רקטות וטילים,1,46945,עמיעד,Amiad,عميعاد,Амиад
4,עמיעד,24.10.2024,10:52:25,2024-10-24T10:52:00,1,ירי רקטות וטילים,1,46925,עמיעד,Amiad,عميعاد,Амиад
5,עמיעד,20.10.2024,12:30:52,2024-10-20T12:31:00,1,ירי רקטות וטילים,1,45679,עמיעד,Amiad,عميعاد,Амиад
6,עמיעד,20.10.2024,12:30:05,2024-10-20T12:30:00,1,ירי רקטות וטילים,1,45668,עמיעד,Amiad,عميعاد,Амиад
7,עמיעד,20.10.2024,12:29:09,2024-10-20T12:29:00,1,ירי רקטות וטילים,1,45651,עמיעד,Amiad,عميعاد,Амиад
8,עמיעד,19.10.2024,12:22:59,2024-10-19T12:23:00,1,ירי רקטות וטילים,1,45455,עמיעד,Amiad,عميعاد,Амиад
9,עמיעד,19.10.2024,12:22:19,2024-10-19T12:22:00,1,ירי רקטות וטילים,1,45447,עמיעד,Amiad,عميعاد,Амиад
10,עמיעד,18.10.2024,23:46:35,2024-10-18T23:47:00,1,ירי רקטות וטילים,1,45306,עמיעד,Amiad,عميعاد,Амиад
11,עמיעד,14.10.2024,18:24:33,2024-10-14T18:25:00,1,ירי רקטות וטילים,1,44590,עמיעד,Amiad,عميعاد,Амиад
12,עמיעד,11.10.2024,17:46:29,2024-10-11T17:46:00,1,ירי רקטות וטילים,1,43703,עמיעד,Amiad,عميعاد,Амиад
13,עמיעד,09.10.2024,16:45:59,2024-10-09T16:46:00,1,ירי רקטות וטילים,1,43333,עמיעד,Amiad,عميعاد,Амиад
14,עמיעד,09.10.2024,16:45:15,2024-10-09T16:45:00,1,ירי רקטות וטילים,1,43314,עמיעד,Amiad,عميعاد,Амиад
15,עמיעד,09.10.2024,16:44:35,2024-10-09T16:45:00,1,ירי רקטות וטילים,1,43293,עמיעד,Amiad,عميعاد,Амиад
16,עמיעד,08.10.2024,20:46:17,2024-10-08T20:46:00,2,חדירת כלי טיס עוין,6,43138,עמיעד,Amiad,عميعاد,Амиад
17,עמיעד,05.10.2024,11:30:36,2024-10-05T11:31:00,1,ירי רקטות וטילים,1,42134,עמיעד,Amiad,عميعاد,Амиад
18,עמיעד,02.10.2024,13:02:03,2024-10-02T13:02:00,1,ירי רקטות וטילים,1,41581,עמיעד,Amiad,عميعاد,Амиад
19,עמיעד,01.10.2024,19:52:24,2024-10-01T19:52:00,1,ירי רקטות וטילים,1,41065,עמיעד,Amiad,عميعاد,Амиад
20,עמיעד,28.09.2024,14:01:50,2024-09-28T14:02:00,1,ירי רקטות וטילים,1,38912,עמיעד,Amiad,عميعاد,Амиад
21,עמיעד,27.09.2024,22:03:38,2024-09-27T22:04:00,1,ירי רקטות וטילים,1,38155,עמיעד,Amiad,عميعاد,Амиад
22,עמיעד,26.09.2024,18:02:38,2024-09-26T18:03:00,1,ירי רקטות וטילים,1,37965,עמיעד,Amiad,عميعاد,Амиад
23,עמיעד,23.09.2024,12:25:31,2024-09-23T12:26:00,1,ירי רקטות וטילים,1,37007,עמיעד,Amiad,عميعاد,Амиад
24,עמיעד,14.09.2024,09:01:46,2024-09-14T09:02:00,1,ירי רקטות וטילים,1,36105,עמיעד,Amiad,عميعاد,Амиад
25,עמיעד,13.09.2024,13:03:56,2024-09-13T13:04:00,2,חדירת כלי טיס עוין,6,36052,עמיעד,Amiad,عميعاد,Амиад
26,עמיעד,10.09.2024,18:46:14,2024-09-10T18:46:00,2,חדירת כלי טיס עוין,6,35994,עמיעד,Amiad,عميعاد,Амиад
27,עמיעד,21.08.2024,11:34:17,2024-08-21T11:34:00,2,חדירת כלי טיס עוין,6,35277,עמיעד,Amiad,عميعاد,Амиад
28,עמיעד,10.08.2024,19:38:39,2024-08-10T19:39:00,2,חדירת כלי טיס עוין,6,34928,עמיעד,Amiad,عميعاد,Амиад
29,עמיעד,10.08.2024,19:36:47,2024-08-10T19:37:00,2,חדירת כלי טיס עוין,6,34914,עמיעד,Amiad,عميعاد,Амиад
30,עמיעד,12.06.2024,09:01:20,2024-06-12T09:01:00,1,ירי רקטות וטילים,1,32709,עמיעד,Amiad,عميعاد,Амиад
31,עמיעד,12.06.2024,09:00:39,2024-06-12T09:01:00,1,ירי רקטות וטילים,1,32690,עמיעד,Amiad,عميعاد,Амиад
32,עמיעד,12.06.2024,08:59:58,2024-06-12T09:00:00,1,ירי רקטות וטילים,1,32663,עמיעד,Amiad,عميعاد,Амиад
33,עמיעד,06.01.2024,08:07:25,2024-01-06T08:07:00,2,חדירת כלי טיס עוין,6,27348,עמיעד,Amiad,عميعاد,Амиад
