,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,עמיר,24.11.2024,13:45:40,2024-11-24T13:46:00,1,ירי רקטות וטילים,1,52226,עמיר,Amir,عمير,Амир
1,עמיר,24.11.2024,13:45:00,2024-11-24T13:45:00,1,ירי רקטות וטילים,1,52221,עמיר,Amir,عمير,Амир
2,עמיר,24.11.2024,00:10:10,2024-11-24T00:10:00,1,ירי רקטות וטילים,1,51921,עמיר,Amir,عمير,Амир
3,עמיר,19.11.2024,10:46:06,2024-11-19T10:46:00,1,ירי רקטות וטילים,1,51440,עמיר,Amir,عمير,Амир
4,עמיר,14.11.2024,22:02:23,2024-11-14T22:02:00,1,ירי רקטות וטילים,1,50846,עמיר,Amir,عمير,Амир
5,עמיר,13.11.2024,16:05:06,2024-11-13T16:05:00,1,ירי רקטות וטילים,1,50560,עמיר,Amir,عمير,Амир
6,עמיר,12.11.2024,07:02:08,2024-11-12T07:02:00,1,ירי רקטות וטילים,1,50243,עמיר,Amir,عمير,Амир
7,עמיר,08.11.2024,15:40:23,2024-11-08T15:40:00,2,חדירת כלי טיס עוין,6,49759,עמיר,Amir,عمير,Амир
8,עמיר,01.11.2024,06:39:23,2024-11-01T06:39:00,1,ירי רקטות וטילים,1,48388,עמיר,Amir,عمير,Амир
9,עמיר,24.10.2024,18:20:18,2024-10-24T18:20:00,2,חדירת כלי טיס עוין,6,47039,עמיר,Amir,عمير,Амир
10,עמיר,24.10.2024,16:46:14,2024-10-24T16:46:00,2,חדירת כלי טיס עוין,6,47011,עמיר,Amir,عمير,Амир
11,עמיר,11.10.2024,10:47:31,2024-10-11T10:48:00,1,ירי רקטות וטילים,1,43513,עמיר,Amir,عمير,Амир
12,עמיר,09.10.2024,17:28:05,2024-10-09T17:28:00,1,ירי רקטות וטילים,1,43352,עמיר,Amir,عمير,Амир
13,עמיר,06.10.2024,00:30:49,2024-10-06T00:31:00,1,ירי רקטות וטילים,1,42273,עמיר,Amir,عمير,Амир
14,עמיר,15.09.2024,18:15:02,2024-09-15T18:15:00,2,חדירת כלי טיס עוין,6,36271,עמיר,Amir,عمير,Амир
15,עמיר,15.09.2024,08:19:26,2024-09-15T08:19:00,1,ירי רקטות וטילים,1,36246,עמיר,Amir,عمير,Амир
16,עמיר,08.09.2024,18:58:11,2024-09-08T18:58:00,2,חדירת כלי טיס עוין,6,35903,עמיר,Amir,عمير,Амир
17,עמיר,04.09.2024,19:57:23,2024-09-04T19:57:00,1,ירי רקטות וטילים,1,35790,עמיר,Amir,عمير,Амир
18,עמיר,21.08.2024,11:26:04,2024-08-21T11:26:00,2,חדירת כלי טיס עוין,6,35250,עמיר,Amir,عمير,Амир
19,עמיר,15.08.2024,18:21:01,2024-08-15T18:21:00,2,חדירת כלי טיס עוין,6,35046,עמיר,Amir,عمير,Амир
20,עמיר,15.08.2024,14:29:43,2024-08-15T14:30:00,1,ירי רקטות וטילים,1,35024,עמיר,Amir,عمير,Амир
21,עמיר,15.08.2024,14:29:43,2024-08-15T14:30:00,1,ירי רקטות וטילים,1,35022,עמיר,Amir,عمير,Амир
22,עמיר,04.08.2024,00:25:05,2024-08-04T00:25:00,1,ירי רקטות וטילים,1,34670,עמיר,Amir,عمير,Амир
23,עמיר,27.07.2024,17:23:37,2024-07-27T17:24:00,1,ירי רקטות וטילים,1,34500,עמיר,Amir,عمير,Амир
24,עמיר,20.07.2024,15:57:56,2024-07-20T15:58:00,1,ירי רקטות וטילים,1,34211,עמיר,Amir,عمير,Амир
25,עמיר,07.07.2024,19:01:48,2024-07-07T19:02:00,2,חדירת כלי טיס עוין,6,33872,עמיר,Amir,عمير,Амир
26,עמיר,04.07.2024,11:03:36,2024-07-04T11:04:00,1,ירי רקטות וטילים,1,33710,עמיר,Amir,عمير,Амир
27,עמיר,04.07.2024,10:42:52,2024-07-04T10:43:00,2,חדירת כלי טיס עוין,6,33652,עמיר,Amir,عمير,Амир
28,עמיר,04.07.2024,10:00:19,2024-07-04T10:00:00,1,ירי רקטות וטילים,1,33570,עמיר,Amir,عمير,Амир
29,עמיר,28.06.2024,14:21:48,2024-06-28T14:22:00,1,ירי רקטות וטילים,1,33404,עמיר,Amir,عمير,Амир
30,עמיר,13.06.2024,16:34:08,2024-06-13T16:34:00,2,חדירת כלי טיס עוין,6,33051,עמיר,Amir,عمير,Амир
31,עמיר,13.06.2024,14:16:28,2024-06-13T14:16:00,2,חדירת כלי טיס עוין,6,32971,עמיר,Amir,عمير,Амир
32,עמיר,13.06.2024,09:28:59,2024-06-13T09:29:00,2,חדירת כלי טיס עוין,6,32851,עמיר,Amir,عمير,Амир
33,עמיר,12.06.2024,20:48:07,2024-06-12T20:48:00,2,חדירת כלי טיס עוין,6,32811,עמיר,Amir,عمير,Амир
34,עמיר,11.06.2024,20:26:22,2024-06-11T20:26:00,1,ירי רקטות וטילים,1,32640,עמיר,Amir,عمير,Амир
35,עמיר,10.06.2024,13:20:55,2024-06-10T13:21:00,2,חדירת כלי טיס עוין,6,32537,עמיר,Amir,عمير,Амир
36,עמיר,04.06.2024,09:08:46,2024-06-04T09:09:00,2,חדירת כלי טיס עוין,6,32242,עמיר,Amir,عمير,Амир
37,עמיר,03.06.2024,13:54:56,2024-06-03T13:55:00,2,חדירת כלי טיס עוין,6,32188,עמיר,Amir,عمير,Амир
38,עמיר,02.06.2024,08:20:18,2024-06-02T08:20:00,2,חדירת כלי טיס עוין,6,32078,עמיר,Amir,عمير,Амир
39,עמיר,02.06.2024,08:14:14,2024-06-02T08:14:00,2,חדירת כלי טיס עוין,6,32068,עמיר,Amir,عمير,Амир
40,עמיר,02.06.2024,08:10:12,2024-06-02T08:10:00,2,חדירת כלי טיס עוין,6,32058,עמיר,Amir,عمير,Амир
41,עמיר,24.05.2024,12:16:52,2024-05-24T12:17:00,2,חדירת כלי טיס עוין,6,31596,עמיר,Amir,عمير,Амир
42,עמיר,23.05.2024,18:37:05,2024-05-23T18:37:00,2,חדירת כלי טיס עוין,6,31529,עמיר,Amir,عمير,Амир
43,עמיר,23.05.2024,18:36:33,2024-05-23T18:37:00,2,חדירת כלי טיס עוין,6,31517,עמיר,Amir,عمير,Амир
44,עמיר,18.05.2024,07:22:46,2024-05-18T07:23:00,2,חדירת כלי טיס עוין,6,31187,עמיר,Amir,عمير,Амир
45,עמיר,17.05.2024,19:12:30,2024-05-17T19:13:00,2,חדירת כלי טיס עוין,6,31156,עמיר,Amir,عمير,Амир
46,עמיר,16.05.2024,18:54:33,2024-05-16T18:55:00,2,חדירת כלי טיס עוין,6,30999,עמיר,Amir,عمير,Амир
47,עמיר,11.05.2024,19:18:34,2024-05-11T19:19:00,2,חדירת כלי טיס עוין,6,30756,עמיר,Amir,عمير,Амир
48,עמיר,07.05.2024,13:12:35,2024-05-07T13:13:00,2,חדירת כלי טיס עוין,6,30526,עמיר,Amir,عمير,Амир
49,עמיר,06.05.2024,12:10:01,2024-05-06T12:10:00,2,חדירת כלי טיס עוין,6,30479,עמיר,Amir,عمير,Амир
50,עמיר,06.05.2024,11:28:17,2024-05-06T11:28:00,2,חדירת כלי טיס עוין,6,30454,עמיר,Amir,عمير,Амир
51,עמיר,22.04.2024,14:18:29,2024-04-22T14:18:00,2,חדירת כלי טיס עוין,6,30241,עמיר,Amir,عمير,Амир
52,עמיר,13.04.2024,11:50:39,2024-04-13T11:51:00,2,חדירת כלי טיס עוין,6,29319,עמיר,Amir,عمير,Амир
53,עמיר,06.04.2024,16:10:34,2024-04-06T16:11:00,1,ירי רקטות וטילים,1,29185,עמיר,Amir,عمير,Амир
54,עמיר,24.03.2024,11:09:10,2024-03-24T11:09:00,2,חדירת כלי טיס עוין,6,28852,עמיר,Amir,عمير,Амир
55,עמיר,23.03.2024,12:34:30,2024-03-23T12:35:00,2,חדירת כלי טיס עוין,6,28815,עמיר,Amir,عمير,Амир
56,עמיר,18.03.2024,12:38:47,2024-03-18T12:39:00,2,חדירת כלי טיס עוין,6,28716,עמיר,Amir,عمير,Амир
57,עמיר,05.03.2024,20:08:47,2024-03-05T20:09:00,1,ירי רקטות וטילים,1,28539,עמיר,Amir,عمير,Амир
58,עמיר,05.03.2024,20:08:05,2024-03-05T20:08:00,1,ירי רקטות וטילים,1,28535,עמיר,Amir,عمير,Амир
59,עמיר,04.03.2024,18:47:05,2024-03-04T18:47:00,2,חדירת כלי טיס עוין,6,28485,עמיר,Amir,عمير,Амир
60,עמיר,04.03.2024,11:22:54,2024-03-04T11:23:00,2,חדירת כלי טיס עוין,6,28470,עמיר,Amir,عمير,Амир
61,עמיר,23.02.2024,09:31:17,2024-02-23T09:31:00,2,חדירת כלי טיס עוין,6,28250,עמיר,Amir,عمير,Амир
62,עמיר,10.02.2024,11:36:47,2024-02-10T11:37:00,2,חדירת כלי טיס עוין,6,28077,עמיר,Amir,عمير,Амир
63,עמיר,09.02.2024,17:52:33,2024-02-09T17:53:00,1,ירי רקטות וטילים,1,28063,עמיר,Amir,عمير,Амир
64,עמיר,09.02.2024,17:51:57,2024-02-09T17:52:00,1,ירי רקטות וטילים,1,28059,עמיר,Amir,عمير,Амир
65,עמיר,08.02.2024,16:50:47,2024-02-08T16:51:00,2,חדירת כלי טיס עוין,6,28029,עמיר,Amir,عمير,Амир
