,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,עמקה,24.11.2024,13:04:01,2024-11-24T13:04:00,1,ירי רקטות וטילים,1,52197,עמקה,Amka,عمكاه,Амка
1,עמקה,22.11.2024,21:08:40,2024-11-22T21:09:00,2,חדירת כלי טיס עוין,6,51821,עמקה,Amka,عمكاه,Амка
2,עמקה,22.11.2024,16:47:47,2024-11-22T16:48:00,1,ירי רקטות וטילים,1,51789,עמקה,Amka,عمكاه,Амка
3,עמקה,22.11.2024,16:46:58,2024-11-22T16:47:00,1,ירי רקטות וטילים,1,51782,עמקה,Amka,عمكاه,Амка
4,עמקה,18.11.2024,19:10:02,2024-11-18T19:10:00,1,ירי רקטות וטילים,1,51203,עמקה,Amka,عمكاه,Амка
5,עמקה,16.11.2024,10:48:27,2024-11-16T10:48:00,1,ירי רקטות וטילים,1,50995,עמקה,Amka,عمكاه,Амка
6,עמקה,15.11.2024,06:54:25,2024-11-15T06:54:00,1,ירי רקטות וטילים,1,50887,עמקה,Amka,عمكاه,Амка
7,עמקה,12.11.2024,16:34:45,2024-11-12T16:35:00,1,ירי רקטות וטילים,1,50356,עמקה,Amka,عمكاه,Амка
8,עמקה,11.11.2024,15:42:20,2024-11-11T15:42:00,1,ירי רקטות וטילים,1,50139,עמקה,Amka,عمكاه,Амка
9,עמקה,08.11.2024,15:19:12,2024-11-08T15:19:00,1,ירי רקטות וטילים,1,49723,עמקה,Amka,عمكاه,Амка
10,עמקה,08.11.2024,06:45:58,2024-11-08T06:46:00,1,ירי רקטות וטילים,1,49623,עמקה,Amka,عمكاه,Амка
11,עמקה,07.11.2024,16:15:21,2024-11-07T16:15:00,1,ירי רקטות וטילים,1,49549,עמקה,Amka,عمكاه,Амка
12,עמקה,07.11.2024,16:14:41,2024-11-07T16:15:00,1,ירי רקטות וטילים,1,49538,עמקה,Amka,عمكاه,Амка
13,עמקה,06.11.2024,16:07:40,2024-11-06T16:08:00,1,ירי רקטות וטילים,1,49365,עמקה,Amka,عمكاه,Амка
14,עמקה,06.11.2024,11:21:45,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49192,עמקה,Amka,عمكاه,Амка
15,עמקה,31.10.2024,16:20:10,2024-10-31T16:20:00,1,ירי רקטות וטילים,1,48341,עמקה,Amka,عمكاه,Амка
16,עמקה,27.10.2024,08:07:07,2024-10-27T08:07:00,2,חדירת כלי טיס עוין,6,47351,עמקה,Amka,عمكاه,Амка
17,עמקה,24.10.2024,09:52:44,2024-10-24T09:53:00,1,ירי רקטות וטילים,1,46905,עמקה,Amka,عمكاه,Амка
18,עמקה,22.10.2024,13:27:41,2024-10-22T13:28:00,1,ירי רקטות וטילים,1,46355,עמקה,Amka,عمكاه,Амка
19,עמקה,22.10.2024,13:26:57,2024-10-22T13:27:00,1,ירי רקטות וטילים,1,46338,עמקה,Amka,عمكاه,Амка
20,עמקה,21.10.2024,12:28:43,2024-10-21T12:29:00,1,ירי רקטות וטילים,1,45964,עמקה,Amka,عمكاه,Амка
21,עמקה,13.10.2024,09:01:24,2024-10-13T09:01:00,1,ירי רקטות וטילים,1,43966,עמקה,Amka,عمكاه,Амка
22,עמקה,06.10.2024,13:49:33,2024-10-06T13:50:00,1,ירי רקטות וטילים,1,42352,עמקה,Amka,عمكاه,Амка
23,עמקה,02.10.2024,13:09:03,2024-10-02T13:09:00,2,חדירת כלי טיס עוין,6,41604,עמקה,Amka,عمكاه,Амка
24,עמקה,01.10.2024,16:11:39,2024-10-01T16:12:00,1,ירי רקטות וטילים,1,39588,עמקה,Amka,عمكاه,Амка
25,עמקה,29.09.2024,21:15:11,2024-09-29T21:15:00,1,ירי רקטות וטילים,1,39280,עמקה,Amka,عمكاه,Амка
26,עמקה,28.09.2024,10:42:53,2024-09-28T10:43:00,1,ירי רקטות וטילים,1,38760,עמקה,Amka,عمكاه,Амка
27,עמקה,24.09.2024,13:58:06,2024-09-24T13:58:00,1,ירי רקטות וטילים,1,37540,עמקה,Amka,عمكاه,Амка
28,עמקה,22.09.2024,06:31:40,2024-09-22T06:32:00,1,ירי רקטות וטילים,1,36809,עמקה,Amka,عمكاه,Амка
29,עמקה,22.09.2024,06:30:56,2024-09-22T06:31:00,1,ירי רקטות וטילים,1,36778,עמקה,Amka,عمكاه,Амка
30,עמקה,24.07.2024,09:54:51,2024-07-24T09:55:00,1,ירי רקטות וטילים,1,34386,עמקה,Amka,عمكاه,Амка
31,עמקה,28.06.2024,19:49:06,2024-06-28T19:49:00,2,חדירת כלי טיס עוין,6,33455,עמקה,Amka,عمكاه,Амка
32,עמקה,27.02.2024,16:51:14,2024-02-27T16:51:00,1,ירי רקטות וטילים,1,28388,עמקה,Amka,عمكاه,Амка
