,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,עספיא,24.11.2024,18:11:55,2024-11-24T18:12:00,1,ירי רקטות וטילים,1,52369,עספיא,Isfiya,عسفيا,Исфия
1,עספיא,23.11.2024,04:19:10,2024-11-23T04:19:00,1,ירי רקטות וטילים,1,51876,עספיא,Isfiya,عسفيا,Исфия
2,עספיא,20.11.2024,06:45:43,2024-11-20T06:46:00,2,חדירת כלי טיס עוין,6,51572,עספיא,Isfiya,عسفيا,Исфия
3,עספיא,14.11.2024,18:59:59,2024-11-14T19:00:00,2,חדירת כלי טיס עוין,6,50809,עספיא,Isfiya,عسفيا,Исфия
4,עספיא,05.11.2024,06:38:26,2024-11-05T06:38:00,1,ירי רקטות וטילים,1,49042,עספיא,Isfiya,عسفيا,Исфия
5,עספיא,30.10.2024,06:20:07,2024-10-30T06:20:00,1,ירי רקטות וטילים,1,48044,עספיא,Isfiya,عسفيا,Исфия
6,עספיא,22.10.2024,18:29:34,2024-10-22T18:30:00,2,חדירת כלי טיס עוין,6,46447,עספיא,Isfiya,عسفيا,Исфия
7,עספיא,22.10.2024,04:51:18,2024-10-22T04:51:00,1,ירי רקטות וטילים,1,46201,עספיא,Isfiya,عسفيا,Исфия
8,עספיא,21.10.2024,12:27:35,2024-10-21T12:28:00,1,ירי רקטות וטילים,1,45910,עספיא,Isfiya,عسفيا,Исфия
9,עספיא,20.10.2024,15:41:01,2024-10-20T15:41:00,1,ירי רקטות וטילים,1,45709,עספיא,Isfiya,عسفيا,Исфия
10,עספיא,20.10.2024,09:38:08,2024-10-20T09:38:00,1,ירי רקטות וטילים,1,45574,עספיא,Isfiya,عسفيا,Исфия
11,עספיא,17.10.2024,07:31:13,2024-10-17T07:31:00,1,ירי רקטות וטילים,1,45156,עספיא,Isfiya,عسفيا,Исфия
12,עספיא,15.10.2024,07:27:51,2024-10-15T07:28:00,1,ירי רקטות וטילים,1,44713,עספיא,Isfiya,عسفيا,Исфия
13,עספיא,05.10.2024,13:26:43,2024-10-05T13:27:00,1,ירי רקטות וטילים,1,42162,עספיא,Isfiya,عسفيا,Исфия
14,עספיא,04.10.2024,10:52:15,2024-10-04T10:52:00,1,ירי רקטות וטילים,1,41951,עספיא,Isfiya,عسفيا,Исфия
15,עספיא,28.09.2024,08:04:00,2024-09-28T08:04:00,1,ירי רקטות וטילים,1,38426,עספיא,Isfiya,عسفيا,Исфия
16,עספיא,24.09.2024,13:08:04,2024-09-24T13:08:00,1,ירי רקטות וטילים,1,37493,עספיא,Isfiya,عسفيا,Исфия
17,עספיא,23.09.2024,19:42:46,2024-09-23T19:43:00,1,ירי רקטות וטילים,1,37319,עספיא,Isfiya,عسفيا,Исфия
18,עספיא,23.09.2024,17:41:34,2024-09-23T17:42:00,1,ירי רקטות וטילים,1,37178,עספיא,Isfiya,عسفيا,Исфия
19,עספיא,23.09.2024,17:23:01,2024-09-23T17:23:00,1,ירי רקטות וטילים,1,37167,עספיא,Isfiya,عسفيا,Исфия
20,עספיא,23.09.2024,16:15:39,2024-09-23T16:16:00,1,ירי רקטות וטילים,1,37050,עספיא,Isfiya,عسفيا,Исфия
21,עספיא,22.09.2024,01:10:21,2024-09-22T01:10:00,1,ירי רקטות וטילים,1,36575,עספיא,Isfiya,عسفيا,Исфия
