,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,עצמון - שגב,24.11.2024,18:09:22,2024-11-24T18:09:00,1,ירי רקטות וטילים,1,52344,עצמון - שגב,Atzmon (Segev),عتسمون (سيجف),Ацмон (Сегев)
1,עצמון - שגב,11.11.2024,12:08:06,2024-11-11T12:08:00,1,ירי רקטות וטילים,1,50048,עצמון - שגב,Atzmon (Segev),عتسمون (سيجف),Ацмон (Сегев)
2,עצמון - שגב,02.11.2024,13:57:32,2024-11-02T13:58:00,1,ירי רקטות וטילים,1,48681,עצמון - שגב,Atzmon (Segev),عتسمون (سيجف),Ацмон (Сегев)
3,עצמון - שגב,01.11.2024,13:35:46,2024-11-01T13:36:00,1,ירי רקטות וטילים,1,48406,עצמון - שגב,Atzmon (Segev),عتسمون (سيجف),Ацмон (Сегев)
4,עצמון - שגב,27.10.2024,12:32:49,2024-10-27T12:33:00,1,ירי רקטות וטילים,1,47390,עצמון - שגב,Atzmon (Segev),عتسمون (سيجف),Ацмон (Сегев)
5,עצמון - שגב,21.10.2024,12:28:43,2024-10-21T12:29:00,1,ירי רקטות וטילים,1,46006,עצמון - שגב,Atzmon (Segev),عتسمون (سيجف),Ацмон (Сегев)
6,עצמון - שגב,17.10.2024,03:28:33,2024-10-17T03:29:00,1,ירי רקטות וטילים,1,45033,עצמון - שגב,Atzmon (Segev),عتسمون (سيجف),Ацмон (Сегев)
7,עצמון - שגב,13.10.2024,14:01:54,2024-10-13T14:02:00,1,ירי רקטות וטילים,1,44013,עצמון - שגב,Atzmon (Segev),عتسمون (سيجف),Ацмон (Сегев)
8,עצמון - שגב,11.10.2024,17:22:19,2024-10-11T17:22:00,1,ירי רקטות וטילים,1,43650,עצמון - שגב,Atzmon (Segev),عتسمون (سيجف),Ацмон (Сегев)
9,עצמון - שגב,05.10.2024,16:44:43,2024-10-05T16:45:00,1,ירי רקטות וטילים,1,42233,עצמון - שגב,Atzmon (Segev),عتسمون (سيجف),Ацмон (Сегев)
10,עצמון - שגב,05.10.2024,14:09:41,2024-10-05T14:10:00,1,ירי רקטות וטילים,1,42185,עצמון - שגב,Atzmon (Segev),عتسمون (سيجف),Ацмон (Сегев)
11,עצמון - שגב,04.10.2024,13:00:13,2024-10-04T13:00:00,1,ירי רקטות וטילים,1,42000,עצמון - שגב,Atzmon (Segev),عتسمون (سيجف),Ацмон (Сегев)
12,עצמון - שגב,03.10.2024,16:30:51,2024-10-03T16:31:00,1,ירי רקטות וטילים,1,41800,עצמון - שגב,Atzmon (Segev),عتسمون (سيجف),Ацмон (Сегев)
13,עצמון - שגב,28.09.2024,10:42:27,2024-09-28T10:42:00,1,ירי רקטות וטילים,1,38724,עצמון - שגב,Atzmon (Segev),عتسمون (سيجف),Ацмон (Сегев)
14,עצמון - שגב,28.09.2024,09:35:21,2024-09-28T09:35:00,1,ירי רקטות וטילים,1,38577,עצמון - שגב,Atzmon (Segev),عتسمون (سيجف),Ацмон (Сегев)
15,עצמון - שגב,28.09.2024,07:59:03,2024-09-28T07:59:00,1,ירי רקטות וטילים,1,38239,עצמון - שגב,Atzmon (Segev),عتسمون (سيجف),Ацмон (Сегев)
16,עצמון - שגב,23.06.2024,11:25:42,2024-06-23T11:26:00,1,ירי רקטות וטילים,1,33290,עצמון - שגב,Atzmon (Segev),عتسمون (سيجف),Ацмон (Сегев)
