,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,ערב אל עראמשה,24.11.2024,11:17:59,2024-11-24T11:18:00,1,ירי רקטות וטילים,1,52084,ערב אל עראמשה,Arab al-Aramshe,عرب العرامشة,Араб Аль-Арамше
1,ערב אל עראמשה,24.11.2024,07:16:40,2024-11-24T07:17:00,1,ירי רקטות וטילים,1,51975,ערב אל עראמשה,Arab al-Aramshe,عرب العرامشة,Араб Аль-Арамше
2,ערב אל עראמשה,24.11.2024,06:52:27,2024-11-24T06:52:00,2,חדירת כלי טיס עוין,6,51968,ערב אל עראמשה,Arab al-Aramshe,عرب العرامشة,Араб Аль-Арамше
3,ערב אל עראמשה,24.11.2024,06:20:35,2024-11-24T06:21:00,2,חדירת כלי טיס עוין,6,51942,ערב אל עראמשה,Arab al-Aramshe,عرب العرامشة,Араб Аль-Арамше
4,ערב אל עראמשה,24.11.2024,06:19:51,2024-11-24T06:20:00,1,ירי רקטות וטילים,1,51940,ערב אל עראמשה,Arab al-Aramshe,عرب العرامشة,Араб Аль-Арамше
5,ערב אל עראמשה,24.11.2024,06:17:36,2024-11-24T06:18:00,2,חדירת כלי טיס עוין,6,51934,ערב אל עראמשה,Arab al-Aramshe,عرب العرامشة,Араб Аль-Арамше
6,ערב אל עראמשה,24.11.2024,06:16:25,2024-11-24T06:16:00,2,חדירת כלי טיס עוין,6,51931,ערב אל עראמשה,Arab al-Aramshe,عرب العرامشة,Араб Аль-Арамше
7,ערב אל עראמשה,24.11.2024,06:15:25,2024-11-24T06:15:00,2,חדירת כלי טיס עוין,6,51930,ערב אל עראמשה,Arab al-Aramshe,عرب العرامشة,Араб Аль-Арамше
8,ערב אל עראמשה,23.11.2024,11:06:24,2024-11-23T11:06:00,1,ירי רקטות וטילים,1,51887,ערב אל עראמשה,Arab al-Aramshe,عرب العرامشة,Араб Аль-Арамше
9,ערב אל עראמשה,19.11.2024,07:01:31,2024-11-19T07:02:00,1,ירי רקטות וטילים,1,51341,ערב אל עראמשה,Arab al-Aramshe,عرب العرامشة,Араб Аль-Арамше
10,ערב אל עראמשה,19.11.2024,07:00:52,2024-11-19T07:01:00,1,ירי רקטות וטילים,1,51339,ערב אל עראמשה,Arab al-Aramshe,عرب العرامشة,Араб Аль-Арамше
11,ערב אל עראמשה,18.11.2024,12:05:20,2024-11-18T12:05:00,1,ירי רקטות וטילים,1,51162,ערב אל עראמשה,Arab al-Aramshe,عرب العرامشة,Араб Аль-Арамше
12,ערב אל עראמשה,18.11.2024,09:49:14,2024-11-18T09:49:00,1,ירי רקטות וטילים,1,51125,ערב אל עראמשה,Arab al-Aramshe,عرب العرامشة,Араб Аль-Арамше
13,ערב אל עראמשה,16.11.2024,09:59:04,2024-11-16T09:59:00,1,ירי רקטות וטילים,1,50970,ערב אל עראמשה,Arab al-Aramshe,عرب العرامشة,Араб Аль-Арамше
14,ערב אל עראמשה,14.11.2024,14:23:17,2024-11-14T14:23:00,1,ירי רקטות וטילים,1,50740,ערב אל עראמשה,Arab al-Aramshe,عرب العرامشة,Араб Аль-Арамше
15,ערב אל עראמשה,12.11.2024,15:00:50,2024-11-12T15:01:00,1,ירי רקטות וטילים,1,50330,ערב אל עראמשה,Arab al-Aramshe,عرب العرامشة,Араб Аль-Арамше
16,ערב אל עראמשה,09.11.2024,13:57:21,2024-11-09T13:57:00,1,ירי רקטות וטילים,1,49854,ערב אל עראמשה,Arab al-Aramshe,عرب العرامشة,Араб Аль-Арамше
17,ערב אל עראמשה,08.11.2024,06:43:51,2024-11-08T06:44:00,1,ירי רקטות וטילים,1,49580,ערב אל עראמשה,Arab al-Aramshe,عرب العرامشة,Араб Аль-Арамше
18,ערב אל עראמשה,31.10.2024,15:12:06,2024-10-31T15:12:00,1,ירי רקטות וטילים,1,48308,ערב אל עראמשה,Arab al-Aramshe,عرب العرامشة,Араб Аль-Арамше
19,ערב אל עראמשה,30.10.2024,17:24:25,2024-10-30T17:24:00,2,חדירת כלי טיס עוין,6,48141,ערב אל עראמשה,Arab al-Aramshe,عرب العرامشة,Араб Аль-Арамше
20,ערב אל עראמשה,30.10.2024,17:23:25,2024-10-30T17:23:00,2,חדירת כלי טיס עוין,6,48135,ערב אל עראמשה,Arab al-Aramshe,عرب العرامشة,Араб Аль-Арамше
21,ערב אל עראמשה,29.10.2024,10:38:40,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47786,ערב אל עראמשה,Arab al-Aramshe,عرب العرامشة,Араб Аль-Арамше
22,ערב אל עראמשה,28.10.2024,15:19:37,2024-10-28T15:20:00,1,ירי רקטות וטילים,1,47530,ערב אל עראמשה,Arab al-Aramshe,عرب العرامشة,Араб Аль-Арамше
23,ערב אל עראמשה,27.10.2024,16:13:23,2024-10-27T16:13:00,1,ירי רקטות וטילים,1,47438,ערב אל עראמשה,Arab al-Aramshe,عرب العرامشة,Араб Аль-Арамше
24,ערב אל עראמשה,26.10.2024,13:18:54,2024-10-26T13:19:00,2,חדירת כלי טיס עוין,6,47232,ערב אל עראמשה,Arab al-Aramshe,عرب العرامشة,Араб Аль-Арамше
