,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,פרדסיה,24.11.2024,07:27:27,2024-11-24T07:27:00,1,ירי רקטות וטילים,1,52001,פרדסיה,Pardessiya,فردسيا,Пардесия
1,פרדסיה,19.11.2024,08:52:52,2024-11-19T08:53:00,1,ירי רקטות וטילים,1,51342,פרדסיה,Pardessiya,فردسيا,Пардесия
2,פרדסיה,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51285,פרדסיה,Pardessiya,فردسيا,Пардесия
3,פרדסיה,13.11.2024,17:47:08,2024-11-13T17:47:00,1,ירי רקטות וטילים,1,50693,פרדסיה,Pardessiya,فردسيا,Пардесия
4,פרדסיה,06.11.2024,11:21:23,2024-11-06T11:21:00,1,ירי רקטות וטילים,1,49158,פרדסיה,Pardessiya,فردسيا,Пардесия
5,פרדסיה,30.10.2024,06:17:24,2024-10-30T06:17:00,1,ירי רקטות וטילים,1,48015,פרדסיה,Pardessiya,فردسيا,Пардесия
6,פרדסיה,14.10.2024,17:37:02,2024-10-14T17:37:00,1,ירי רקטות וטילים,1,44570,פרדסיה,Pardessiya,فردسيا,Пардесия
7,פרדסיה,14.10.2024,17:33:29,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44440,פרדסיה,Pardessiya,فردسيا,Пардесия
8,פרדסיה,14.10.2024,11:19:27,2024-10-14T11:19:00,1,ירי רקטות וטילים,1,44208,פרדסיה,Pardessiya,فردسيا,Пардесия
9,פרדסיה,25.09.2024,06:32:24,2024-09-25T06:32:00,1,ירי רקטות וטילים,1,37755,פרדסיה,Pardessiya,فردسيا,Пардесия
10,פרדסיה,12.10.2023,08:39:08,2023-10-12T08:39:00,1,ירי רקטות וטילים,1,21761,פרדסיה,Pardessiya,فردسيا,Пардесия
