,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,פתח תקווה,24.11.2024,18:31:06,2024-11-24T18:31:00,1,ירי רקטות וטילים,1,52392,פתח תקווה,Petach Tikva,بيتح تيكفا,Петах Тиква
1,פתח תקווה,24.11.2024,12:52:23,2024-11-24T12:52:00,1,ירי רקטות וטילים,1,52113,פתח תקווה,Petach Tikva,بيتح تيكفا,Петах Тиква
2,פתח תקווה,18.11.2024,20:45:44,2024-11-18T20:46:00,1,ירי רקטות וטילים,1,51225,פתח תקווה,Petach Tikva,بيتح تيكفا,Петах Тиква
3,פתח תקווה,12.11.2024,16:35:06,2024-11-12T16:35:00,1,ירי רקטות וטילים,1,50373,פתח תקווה,Petach Tikva,بيتح تيكفا,Петах Тиква
4,פתח תקווה,08.11.2024,15:18:42,2024-11-08T15:19:00,1,ירי רקטות וטילים,1,49705,פתח תקווה,Petach Tikva,بيتح تيكفا,Петах Тиква
5,פתח תקווה,06.11.2024,16:17:21,2024-11-06T16:17:00,1,ירי רקטות וטילים,1,49372,פתח תקווה,Petach Tikva,بيتح تيكفا,Петах Тиква
6,פתח תקווה,06.11.2024,11:21:45,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49197,פתח תקווה,Petach Tikva,بيتح تيكفا,Петах Тиква
7,פתח תקווה,23.10.2024,20:33:12,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46832,פתח תקווה,Petach Tikva,بيتح تيكفا,Петах Тиква
8,פתח תקווה,23.10.2024,08:03:09,2024-10-23T08:03:00,1,ירי רקטות וטילים,1,46509,פתח תקווה,Petach Tikva,بيتح تيكفا,Петах Тиква
9,פתח תקווה,14.10.2024,17:33:13,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44350,פתח תקווה,Petach Tikva,بيتح تيكفا,Петах Тиква
10,פתח תקווה,07.10.2024,23:13:22,2024-10-07T23:13:00,1,ירי רקטות וטילים,1,42910,פתח תקווה,Petach Tikva,بيتح تيكفا,Петах Тиква
11,פתח תקווה,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42800,פתח תקווה,Petach Tikva,بيتح تيكفا,Петах Тиква
12,פתח תקווה,01.10.2024,11:03:35,2024-10-01T11:04:00,1,ירי רקטות וטילים,1,39417,פתח תקווה,Petach Tikva,بيتح تيكفا,Петах Тиква
13,פתח תקווה,28.09.2024,17:41:08,2024-09-28T17:41:00,1,ירי רקטות וטילים,1,38986,פתח תקווה,Petach Tikva,بيتح تيكفا,Петах Тиква
14,פתח תקווה,27.09.2024,00:40:30,2024-09-27T00:41:00,1,ירי רקטות וטילים,1,37997,פתח תקווה,Petach Tikva,بيتح تيكفا,Петах Тиква
15,פתח תקווה,26.05.2024,14:01:50,2024-05-26T14:02:00,1,ירי רקטות וטילים,1,31734,פתח תקווה,Petach Tikva,بيتح تيكفا,Петах Тиква
16,פתח תקווה,21.12.2023,13:30:15,2023-12-21T13:30:00,1,ירי רקטות וטילים,1,26876,פתח תקווה,Petach Tikva,بيتح تيكفا,Петах Тиква
17,פתח תקווה,08.12.2023,17:58:07,2023-12-08T17:58:00,1,ירי רקטות וטילים,1,26316,פתח תקווה,Petach Tikva,بيتح تيكفا,Петах Тиква
18,פתח תקווה,05.12.2023,15:20:21,2023-12-05T15:20:00,1,ירי רקטות וטילים,1,26167,פתח תקווה,Petach Tikva,بيتح تيكفا,Петах Тиква
19,פתח תקווה,04.12.2023,14:01:15,2023-12-04T14:01:00,1,ירי רקטות וטילים,1,26083,פתח תקווה,Petach Tikva,بيتح تيكفا,Петах Тиква
20,פתח תקווה,20.11.2023,18:03:48,2023-11-20T18:04:00,1,ירי רקטות וטילים,1,25376,פתח תקווה,Petach Tikva,بيتح تيكفا,Петах Тиква
