,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,צבעון,24.11.2024,14:58:42,2024-11-24T14:59:00,1,ירי רקטות וטילים,1,52273,צבעון,Zivon,تسفعون,Цивон
1,צבעון,24.11.2024,14:24:03,2024-11-24T14:24:00,1,ירי רקטות וטילים,1,52240,צבעון,Zivon,تسفعون,Цивон
2,צבעון,24.11.2024,11:46:16,2024-11-24T11:46:00,1,ירי רקטות וטילים,1,52089,צבעון,Zivon,تسفعون,Цивон
3,צבעון,24.11.2024,10:06:50,2024-11-24T10:07:00,1,ירי רקטות וטילים,1,52069,צבעון,Zivon,تسفعون,Цивон
4,צבעון,19.11.2024,10:58:34,2024-11-19T10:59:00,2,חדירת כלי טיס עוין,6,51470,צבעון,Zivon,تسفعون,Цивон
5,צבעון,19.11.2024,09:03:03,2024-11-19T09:03:00,1,ירי רקטות וטילים,1,51389,צבעון,Zivon,تسفعون,Цивон
6,צבעון,15.11.2024,11:41:39,2024-11-15T11:42:00,1,ירי רקטות וטילים,1,50911,צבעון,Zivon,تسفعون,Цивон
7,צבעון,14.11.2024,06:58:16,2024-11-14T06:58:00,1,ירי רקטות וטילים,1,50718,צבעון,Zivon,تسفعون,Цивон
8,צבעון,07.11.2024,14:15:00,2024-11-07T14:15:00,1,ירי רקטות וטילים,1,49492,צבעון,Zivon,تسفعون,Цивон
9,צבעון,06.11.2024,10:09:43,2024-11-06T10:10:00,1,ירי רקטות וטילים,1,49135,צבעון,Zivon,تسفعون,Цивон
10,צבעון,05.11.2024,09:10:24,2024-11-05T09:10:00,1,ירי רקטות וטילים,1,49078,צבעון,Zivon,تسفعون,Цивон
11,צבעון,05.11.2024,09:09:31,2024-11-05T09:10:00,1,ירי רקטות וטילים,1,49075,צבעון,Zivon,تسفعون,Цивон
12,צבעון,05.11.2024,09:08:51,2024-11-05T09:09:00,1,ירי רקטות וטילים,1,49071,צבעון,Zivon,تسفعون,Цивон
13,צבעון,04.11.2024,00:00:29,2024-11-04T00:00:00,1,ירי רקטות וטילים,1,48944,צבעון,Zivon,تسفعون,Цивон
14,צבעון,03.11.2024,07:27:17,2024-11-03T07:27:00,1,ירי רקטות וטילים,1,48805,צבעון,Zivon,تسفعون,Цивон
15,צבעון,02.11.2024,12:37:35,2024-11-02T12:38:00,1,ירי רקטות וטילים,1,48643,צבעון,Zivon,تسفعون,Цивон
16,צבעון,30.10.2024,15:01:09,2024-10-30T15:01:00,1,ירי רקטות וטילים,1,48111,צבעון,Zivon,تسفعون,Цивон
17,צבעון,30.10.2024,15:00:14,2024-10-30T15:00:00,1,ירי רקטות וטילים,1,48102,צבעון,Zivon,تسفعون,Цивон
18,צבעון,28.10.2024,20:05:58,2024-10-28T20:06:00,1,ירי רקטות וטילים,1,47557,צבעון,Zivon,تسفعون,Цивон
19,צבעון,17.10.2024,03:28:33,2024-10-17T03:29:00,1,ירי רקטות וטילים,1,45014,צבעון,Zivon,تسفعون,Цивон
20,צבעון,16.10.2024,21:15:48,2024-10-16T21:16:00,1,ירי רקטות וטילים,1,44903,צבעון,Zivon,تسفعون,Цивон
21,צבעון,14.10.2024,10:12:47,2024-10-14T10:13:00,1,ירי רקטות וטילים,1,44194,צבעון,Zivon,تسفعون,Цивон
22,צבעון,14.10.2024,10:11:55,2024-10-14T10:12:00,1,ירי רקטות וטילים,1,44190,צבעון,Zivon,تسفعون,Цивон
23,צבעון,14.10.2024,10:11:15,2024-10-14T10:11:00,1,ירי רקטות וטילים,1,44187,צבעון,Zivon,تسفعون,Цивон
24,צבעון,13.10.2024,07:05:46,2024-10-13T07:06:00,1,ירי רקטות וטילים,1,43918,צבעון,Zivon,تسفعون,Цивон
25,צבעון,11.10.2024,16:31:54,2024-10-11T16:32:00,1,ירי רקטות וטילים,1,43585,צבעון,Zivon,تسفعون,Цивон
26,צבעון,08.10.2024,04:50:58,2024-10-08T04:51:00,1,ירי רקטות וטילים,1,42997,צבעון,Zivon,تسفعون,Цивон
27,צבעון,06.10.2024,15:38:56,2024-10-06T15:39:00,1,ירי רקטות וטילים,1,42357,צבעון,Zivon,تسفعون,Цивон
28,צבעון,04.10.2024,10:58:20,2024-10-04T10:58:00,1,ירי רקטות וטילים,1,41982,צבעון,Zivon,تسفعون,Цивон
29,צבעון,04.10.2024,10:57:33,2024-10-04T10:58:00,1,ירי רקטות וטילים,1,41981,צבעון,Zivon,تسفعون,Цивон
30,צבעון,03.10.2024,18:46:53,2024-10-03T18:47:00,1,ירי רקטות וטילים,1,41825,צבעון,Zivon,تسفعون,Цивон
31,צבעון,03.10.2024,12:45:52,2024-10-03T12:46:00,1,ירי רקטות וטילים,1,41758,צבעון,Zivon,تسفعون,Цивон
32,צבעון,01.10.2024,09:50:52,2024-10-01T09:51:00,1,ירי רקטות וטילים,1,39397,צבעון,Zivon,تسفعون,Цивон
33,צבעון,01.10.2024,01:48:36,2024-10-01T01:49:00,1,ירי רקטות וטילים,1,39386,צבעון,Zivon,تسفعون,Цивон
34,צבעון,01.10.2024,01:47:40,2024-10-01T01:48:00,1,ירי רקטות וטילים,1,39382,צבעון,Zivon,تسفعون,Цивон
35,צבעון,28.09.2024,14:02:15,2024-09-28T14:02:00,1,ירי רקטות וטילים,1,38918,צבעון,Zivon,تسفعون,Цивон
36,צבעון,28.09.2024,10:42:57,2024-09-28T10:43:00,1,ירי רקטות וטילים,1,38815,צבעון,Zivon,تسفعون,Цивон
37,צבעון,28.09.2024,09:36:21,2024-09-28T09:36:00,1,ירי רקטות וטילים,1,38668,צבעון,Zivon,تسفعون,Цивон
38,צבעון,28.09.2024,08:01:08,2024-09-28T08:01:00,1,ירי רקטות וטילים,1,38345,צבעון,Zivon,تسفعون,Цивон
39,צבעון,21.09.2024,14:00:41,2024-09-21T14:01:00,1,ירי רקטות וטילים,1,36520,צבעון,Zivon,تسفعون,Цивон
40,צבעון,20.09.2024,17:07:55,2024-09-20T17:08:00,1,ירי רקטות וטילים,1,36485,צבעון,Zivon,تسفعون,Цивон
41,צבעון,20.09.2024,13:56:48,2024-09-20T13:57:00,1,ירי רקטות וטילים,1,36454,צבעון,Zivon,تسفعون,Цивон
42,צבעון,01.09.2024,20:12:28,2024-09-01T20:12:00,1,ירי רקטות וטילים,1,35701,צבעון,Zivon,تسفعون,Цивон
43,צבעון,30.08.2024,23:02:10,2024-08-30T23:02:00,1,ירי רקטות וטילים,1,35655,צבעון,Zivon,تسفعون,Цивон
44,צבעון,25.08.2024,06:14:47,2024-08-25T06:15:00,1,ירי רקטות וטילים,1,35510,צבעון,Zivon,تسفعون,Цивон
45,צבעון,25.08.2024,06:07:38,2024-08-25T06:08:00,1,ירי רקטות וטילים,1,35492,צבעון,Zivon,تسفعون,Цивон
46,צבעון,25.08.2024,06:06:21,2024-08-25T06:06:00,1,ירי רקטות וטילים,1,35477,צבעון,Zivon,تسفعون,Цивон
47,צבעון,23.08.2024,06:54:59,2024-08-23T06:55:00,1,ירי רקטות וטילים,1,35324,צבעון,Zivon,تسفعون,Цивон
48,צבעון,23.08.2024,06:52:45,2024-08-23T06:53:00,1,ירי רקטות וטילים,1,35310,צבעון,Zivon,تسفعون,Цивон
49,צבעון,05.08.2024,20:46:25,2024-08-05T20:46:00,1,ירי רקטות וטילים,1,34732,צבעון,Zivon,تسفعون,Цивон
50,צבעון,05.08.2024,20:45:37,2024-08-05T20:46:00,1,ירי רקטות וטילים,1,34731,צבעון,Zivon,تسفعون,Цивон
51,צבעון,23.07.2024,14:31:31,2024-07-23T14:32:00,2,חדירת כלי טיס עוין,6,34349,צבעון,Zivon,تسفعون,Цивон
52,צבעון,23.07.2024,14:30:03,2024-07-23T14:30:00,2,חדירת כלי טיס עוין,6,34345,צבעון,Zivon,تسفعون,Цивон
53,צבעון,23.07.2024,14:28:21,2024-07-23T14:28:00,2,חדירת כלי טיס עוין,6,34340,צבעון,Zivon,تسفعون,Цивон
54,צבעון,19.07.2024,10:55:34,2024-07-19T10:56:00,1,ירי רקטות וטילים,1,34168,צבעון,Zivon,تسفعون,Цивон
55,צבעון,16.07.2024,22:44:38,2024-07-16T22:45:00,1,ירי רקטות וטילים,1,34122,צבעון,Zivon,تسفعون,Цивон
56,צבעון,07.07.2024,13:03:05,2024-07-07T13:03:00,1,ירי רקטות וטילים,1,33864,צבעון,Zivon,تسفعون,Цивон
57,צבעון,24.06.2024,18:53:00,2024-06-24T18:53:00,1,ירי רקטות וטילים,1,33329,צבעון,Zivon,تسفعون,Цивон
58,צבעון,15.06.2024,06:47:49,2024-06-15T06:48:00,1,ירי רקטות וטילים,1,33130,צבעון,Zivon,تسفعون,Цивон
59,צבעון,13.06.2024,12:26:06,2024-06-13T12:26:00,1,ירי רקטות וטילים,1,32888,צבעון,Zivon,تسفعون,Цивон
60,צבעון,12.06.2024,12:55:06,2024-06-12T12:55:00,1,ירי רקטות וטילים,1,32790,צבעון,Zivon,تسفعون,Цивон
61,צבעון,12.06.2024,11:50:20,2024-06-12T11:50:00,2,חדירת כלי טיס עוין,6,32760,צבעון,Zivon,تسفعون,Цивон
62,צבעון,12.06.2024,10:01:42,2024-06-12T10:02:00,1,ירי רקטות וטילים,1,32740,צבעון,Zivon,تسفعون,Цивон
63,צבעון,12.06.2024,10:00:55,2024-06-12T10:01:00,1,ירי רקטות וטילים,1,32725,צבעון,Zivon,تسفعون,Цивон
64,צבעון,12.06.2024,10:00:10,2024-06-12T10:00:00,1,ירי רקטות וטילים,1,32721,צבעון,Zivon,تسفعون,Цивон
65,צבעון,27.05.2024,16:59:28,2024-05-27T16:59:00,1,ירי רקטות וטילים,1,31789,צבעון,Zivon,تسفعون,Цивон
66,צבעון,27.05.2024,16:58:41,2024-05-27T16:59:00,1,ירי רקטות וטילים,1,31785,צבעון,Zivon,تسفعون,Цивон
67,צבעון,23.05.2024,23:35:55,2024-05-23T23:36:00,1,ירי רקטות וטילים,1,31578,צבעון,Zivon,تسفعون,Цивон
68,צבעון,16.05.2024,08:31:09,2024-05-16T08:31:00,2,חדירת כלי טיס עוין,6,30894,צבעון,Zivon,تسفعون,Цивон
69,צבעון,15.05.2024,12:02:05,2024-05-15T12:02:00,1,ירי רקטות וטילים,1,30860,צבעון,Zivon,تسفعون,Цивон
