,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,צופית,24.11.2024,12:53:34,2024-11-24T12:54:00,1,ירי רקטות וטילים,1,52145,צופית,Tzofit,تسوفيت,Цофит
1,צופית,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51286,צופית,Tzofit,تسوفيت,Цофит
2,צופית,13.11.2024,17:44:54,2024-11-13T17:45:00,1,ירי רקטות וטילים,1,50661,צופית,Tzofit,تسوفيت,Цофит
3,צופית,12.11.2024,16:36:09,2024-11-12T16:36:00,1,ירי רקטות וטילים,1,50407,צופית,Tzofit,تسوفيت,Цофит
4,צופית,08.11.2024,15:19:59,2024-11-08T15:20:00,1,ירי רקטות וטילים,1,49746,צופית,Tzofit,تسوفيت,Цофит
5,צופית,06.11.2024,11:21:53,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49249,צופית,Tzofit,تسوفيت,Цофит
6,צופית,02.11.2024,02:17:31,2024-11-02T02:18:00,1,ירי רקטות וטילים,1,48450,צופית,Tzofit,تسوفيت,Цофит
7,צופית,23.10.2024,20:33:12,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46849,צופית,Tzofit,تسوفيت,Цофит
8,צופית,14.10.2024,17:33:13,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44376,צופית,Tzofit,تسوفيت,Цофит
9,צופית,07.10.2024,23:14:19,2024-10-07T23:14:00,1,ירי רקטות וטילים,1,42959,צופית,Tzofit,تسوفيت,Цофит
10,צופית,07.10.2024,17:44:29,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42868,צופית,Tzofit,تسوفيت,Цофит
11,צופית,01.10.2024,18:37:32,2024-10-01T18:38:00,1,ירי רקטות וטילים,1,39634,צופית,Tzofit,تسوفيت,Цофит
12,צופית,01.10.2024,11:03:44,2024-10-01T11:04:00,1,ירי רקטות וטילים,1,39442,צופית,Tzofit,تسوفيت,Цофит
13,צופית,26.05.2024,14:00:12,2024-05-26T14:00:00,1,ירי רקטות וטילים,1,31713,צופית,Tzofit,تسوفيت,Цофит
14,צופית,24.10.2023,17:01:11,2023-10-24T17:01:00,1,ירי רקטות וטילים,1,23375,צופית,Tzofit,تسوفيت,Цофит
15,צופית,07.10.2023,20:00:41,2023-10-07T20:01:00,1,ירי רקטות וטילים,1,20293,צופית,Tzofit,تسوفيت,Цофит
