,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,צור משה,24.11.2024,07:27:27,2024-11-24T07:27:00,1,ירי רקטות וטילים,1,52002,צור משה,Tzur Moshe,ثسور موشيه,Цур Моше
1,צור משה,19.11.2024,08:52:52,2024-11-19T08:53:00,1,ירי רקטות וטילים,1,51343,צור משה,Tzur Moshe,ثسور موشيه,Цур Моше
2,צור משה,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51288,צור משה,Tzur Moshe,ثسور موشيه,Цур Моше
3,צור משה,13.11.2024,17:46:07,2024-11-13T17:46:00,1,ירי רקטות וטילים,1,50678,צור משה,Tzur Moshe,ثسور موشيه,Цур Моше
4,צור משה,06.11.2024,11:21:23,2024-11-06T11:21:00,1,ירי רקטות וטילים,1,49159,צור משה,Tzur Moshe,ثسور موشيه,Цур Моше
5,צור משה,14.10.2024,17:37:02,2024-10-14T17:37:00,1,ירי רקטות וטילים,1,44571,צור משה,Tzur Moshe,ثسور موشيه,Цур Моше
6,צור משה,14.10.2024,17:33:29,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44441,צור משה,Tzur Moshe,ثسور موشيه,Цур Моше
7,צור משה,14.10.2024,11:19:27,2024-10-14T11:19:00,1,ירי רקטות וטילים,1,44209,צור משה,Tzur Moshe,ثسور موشيه,Цур Моше
8,צור משה,25.09.2024,06:32:24,2024-09-25T06:32:00,1,ירי רקטות וטילים,1,37756,צור משה,Tzur Moshe,ثسور موشيه,Цур Моше
9,צור משה,12.10.2023,08:39:08,2023-10-12T08:39:00,1,ירי רקטות וטילים,1,21762,צור משה,Tzur Moshe,ثسور موشيه,Цур Моше
