,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,צפת - נוף כנרת,24.11.2024,12:11:06,2024-11-24T12:11:00,1,ירי רקטות וטילים,1,52101,צפת - נוף כנרת,Safed - Nof ha-Kinneret,صفد - نوف كينيرت,Цфат - Ноф Киннерет
1,צפת - נוף כנרת,24.11.2024,08:12:19,2024-11-24T08:12:00,1,ירי רקטות וטילים,1,52036,צפת - נוף כנרת,Safed - Nof ha-Kinneret,صفد - نوف كينيرت,Цфат - Ноф Киннерет
2,צפת - נוף כנרת,19.11.2024,10:58:36,2024-11-19T10:59:00,2,חדירת כלי טיס עוין,6,51446,צפת - נוף כנרת,Safed - Nof ha-Kinneret,صفد - نوف كينيرت,Цфат - Ноф Киннерет
3,צפת - נוף כנרת,11.11.2024,16:40:34,2024-11-11T16:41:00,1,ירי רקטות וטילים,1,50210,צפת - נוף כנרת,Safed - Nof ha-Kinneret,صفد - نوف كينيرت,Цфат - Ноф Киннерет
4,צפת - נוף כנרת,11.11.2024,16:39:53,2024-11-11T16:40:00,1,ירי רקטות וטילים,1,50201,צפת - נוף כנרת,Safed - Nof ha-Kinneret,صفد - نوف كينيرت,Цфат - Ноф Киннерет
5,צפת - נוף כנרת,09.11.2024,08:06:52,2024-11-09T08:07:00,1,ירי רקטות וטילים,1,49817,צפת - נוף כנרת,Safed - Nof ha-Kinneret,صفد - نوف كينيرت,Цфат - Ноф Киннерет
6,צפת - נוף כנרת,26.10.2024,19:37:40,2024-10-26T19:38:00,1,ירי רקטות וטילים,1,47299,צפת - נוף כנרת,Safed - Nof ha-Kinneret,صفد - نوف كينيرت,Цфат - Ноф Киннерет
7,צפת - נוף כנרת,25.10.2024,18:15:38,2024-10-25T18:16:00,1,ירי רקטות וטילים,1,47159,צפת - נוף כנרת,Safed - Nof ha-Kinneret,صفد - نوف كينيرت,Цфат - Ноф Киннерет
8,צפת - נוף כנרת,24.10.2024,10:53:05,2024-10-24T10:53:00,1,ירי רקטות וטילים,1,46940,צפת - נוף כנרת,Safed - Nof ha-Kinneret,صفد - نوف كينيرت,Цфат - Ноф Киннерет
9,צפת - נוף כנרת,24.10.2024,10:52:25,2024-10-24T10:52:00,1,ירי רקטות וטילים,1,46924,צפת - נוף כנרת,Safed - Nof ha-Kinneret,صفد - نوف كينيرت,Цфат - Ноф Киннерет
10,צפת - נוף כנרת,20.10.2024,12:30:34,2024-10-20T12:31:00,1,ירי רקטות וטילים,1,45677,צפת - נוף כנרת,Safed - Nof ha-Kinneret,صفد - نوف كينيرت,Цфат - Ноф Киннерет
11,צפת - נוף כנרת,20.10.2024,12:29:50,2024-10-20T12:30:00,1,ירי רקטות וטילים,1,45661,צפת - נוף כנרת,Safed - Nof ha-Kinneret,صفد - نوف كينيرت,Цфат - Ноф Киннерет
12,צפת - נוף כנרת,20.10.2024,12:29:06,2024-10-20T12:29:00,1,ירי רקטות וטילים,1,45650,צפת - נוף כנרת,Safed - Nof ha-Kinneret,صفد - نوف كينيرت,Цфат - Ноф Киннерет
13,צפת - נוף כנרת,19.10.2024,23:58:38,2024-10-19T23:59:00,1,ירי רקטות וטילים,1,45525,צפת - נוף כנרת,Safed - Nof ha-Kinneret,صفد - نوف كينيرت,Цфат - Ноф Киннерет
14,צפת - נוף כנרת,19.10.2024,12:22:59,2024-10-19T12:23:00,1,ירי רקטות וטילים,1,45452,צפת - נוף כנרת,Safed - Nof ha-Kinneret,صفد - نوف كينيرت,Цфат - Ноф Киннерет
15,צפת - נוף כנרת,19.10.2024,12:22:19,2024-10-19T12:22:00,1,ירי רקטות וטילים,1,45443,צפת - נוף כנרת,Safed - Nof ha-Kinneret,صفد - نوف كينيرت,Цфат - Ноф Киннерет
16,צפת - נוף כנרת,18.10.2024,23:46:46,2024-10-18T23:47:00,1,ירי רקטות וטילים,1,45311,צפת - נוף כנרת,Safed - Nof ha-Kinneret,صفد - نوف كينيرت,Цфат - Ноф Киннерет
17,צפת - נוף כנרת,18.10.2024,23:46:05,2024-10-18T23:46:00,1,ירי רקטות וטילים,1,45300,צפת - נוף כנרת,Safed - Nof ha-Kinneret,صفد - نوف كينيرت,Цфат - Ноф Киннерет
18,צפת - נוף כנרת,16.10.2024,01:40:22,2024-10-16T01:40:00,1,ירי רקטות וטילים,1,44805,צפת - נוף כנרת,Safed - Nof ha-Kinneret,صفد - نوف كينيرت,Цфат - Ноф Киннерет
19,צפת - נוף כנרת,16.10.2024,01:39:35,2024-10-16T01:40:00,1,ירי רקטות וטילים,1,44794,צפת - נוף כנרת,Safed - Nof ha-Kinneret,صفد - نوف كينيرت,Цфат - Ноф Киннерет
