,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,צפת - עיר,24.11.2024,15:35:19,2024-11-24T15:35:00,1,ירי רקטות וטילים,1,52294,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
1,צפת - עיר,24.11.2024,12:11:03,2024-11-24T12:11:00,1,ירי רקטות וטילים,1,52095,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
2,צפת - עיר,24.11.2024,08:12:19,2024-11-24T08:12:00,1,ירי רקטות וטילים,1,52037,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
3,צפת - עיר,23.11.2024,15:31:40,2024-11-23T15:32:00,1,ירי רקטות וטילים,1,51901,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
4,צפת - עיר,22.11.2024,15:24:32,2024-11-22T15:25:00,1,ירי רקטות וטילים,1,51738,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
5,צפת - עיר,22.11.2024,14:05:19,2024-11-22T14:05:00,1,ירי רקטות וטילים,1,51721,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
6,צפת - עיר,19.11.2024,10:58:34,2024-11-19T10:59:00,2,חדירת כלי טיס עוין,6,51450,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
7,צפת - עיר,16.11.2024,14:10:41,2024-11-16T14:11:00,1,ירי רקטות וטילים,1,51006,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
8,צפת - עיר,13.11.2024,15:12:56,2024-11-13T15:13:00,1,ירי רקטות וטילים,1,50546,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
9,צפת - עיר,11.11.2024,16:40:34,2024-11-11T16:41:00,1,ירי רקטות וטילים,1,50212,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
10,צפת - עיר,11.11.2024,16:39:53,2024-11-11T16:40:00,1,ירי רקטות וטילים,1,50202,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
11,צפת - עיר,11.11.2024,00:46:10,2024-11-11T00:46:00,1,ירי רקטות וטילים,1,49936,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
12,צפת - עיר,09.11.2024,08:06:31,2024-11-09T08:07:00,1,ירי רקטות וטילים,1,49810,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
13,צפת - עיר,06.11.2024,15:09:05,2024-11-06T15:09:00,1,ירי רקטות וטילים,1,49345,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
14,צפת - עיר,06.11.2024,14:55:06,2024-11-06T14:55:00,1,ירי רקטות וטילים,1,49330,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
15,צפת - עיר,04.11.2024,23:19:57,2024-11-04T23:20:00,1,ירי רקטות וטילים,1,49012,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
16,צפת - עיר,04.11.2024,00:14:40,2024-11-04T00:15:00,1,ירי רקטות וטילים,1,48951,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
17,צפת - עיר,02.11.2024,13:38:57,2024-11-02T13:39:00,1,ירי רקטות וטילים,1,48674,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
18,צפת - עיר,02.11.2024,13:38:17,2024-11-02T13:38:00,1,ירי רקטות וטילים,1,48668,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
19,צפת - עיר,02.11.2024,06:52:37,2024-11-02T06:53:00,1,ירי רקטות וטילים,1,48477,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
20,צפת - עיר,02.11.2024,06:51:45,2024-11-02T06:52:00,1,ירי רקטות וטילים,1,48475,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
21,צפת - עיר,30.10.2024,15:18:25,2024-10-30T15:18:00,1,ירי רקטות וטילים,1,48115,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
22,צפת - עיר,28.10.2024,22:30:05,2024-10-28T22:30:00,1,ירי רקטות וטילים,1,47562,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
23,צפת - עיר,26.10.2024,19:37:40,2024-10-26T19:38:00,1,ירי רקטות וטילים,1,47300,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
24,צפת - עיר,25.10.2024,18:15:32,2024-10-25T18:16:00,1,ירי רקטות וטילים,1,47156,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
25,צפת - עיר,24.10.2024,10:53:18,2024-10-24T10:53:00,1,ירי רקטות וטילים,1,46946,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
26,צפת - עיר,24.10.2024,10:52:36,2024-10-24T10:53:00,1,ירי רקטות וטילים,1,46934,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
27,צפת - עיר,20.10.2024,16:25:48,2024-10-20T16:26:00,1,ירי רקטות וטילים,1,45777,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
28,צפת - עיר,20.10.2024,12:30:32,2024-10-20T12:31:00,1,ירי רקטות וטילים,1,45673,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
29,צפת - עיר,20.10.2024,12:29:40,2024-10-20T12:30:00,1,ירי רקטות וטילים,1,45658,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
30,צפת - עיר,20.10.2024,12:28:57,2024-10-20T12:29:00,1,ירי רקטות וטילים,1,45645,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
31,צפת - עיר,19.10.2024,23:58:26,2024-10-19T23:58:00,1,ירי רקטות וטילים,1,45523,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
32,צפת - עיר,19.10.2024,12:22:59,2024-10-19T12:23:00,1,ירי רקטות וטילים,1,45454,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
33,צפת - עיר,19.10.2024,12:22:19,2024-10-19T12:22:00,1,ירי רקטות וטילים,1,45448,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
34,צפת - עיר,18.10.2024,23:46:46,2024-10-18T23:47:00,1,ירי רקטות וטילים,1,45312,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
35,צפת - עיר,18.10.2024,23:46:05,2024-10-18T23:46:00,1,ירי רקטות וטילים,1,45299,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
36,צפת - עיר,16.10.2024,18:03:18,2024-10-16T18:03:00,1,ירי רקטות וטילים,1,44865,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
37,צפת - עיר,16.10.2024,01:40:22,2024-10-16T01:40:00,1,ירי רקטות וטילים,1,44806,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
38,צפת - עיר,16.10.2024,01:39:37,2024-10-16T01:40:00,1,ירי רקטות וטילים,1,44795,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
39,צפת - עיר,16.10.2024,01:38:57,2024-10-16T01:39:00,1,ירי רקטות וטילים,1,44787,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
40,צפת - עיר,14.10.2024,18:25:05,2024-10-14T18:25:00,1,ירי רקטות וטילים,1,44595,צפת - עיר,Safed - City,صفد - المدينة,"Цфат - город
Цфат - город"
