,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,צפת - עכברה,24.11.2024,15:35:19,2024-11-24T15:35:00,1,ירי רקטות וטילים,1,52292,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
1,צפת - עכברה,13.11.2024,15:12:40,2024-11-13T15:13:00,1,ירי רקטות וטילים,1,50544,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
2,צפת - עכברה,11.11.2024,16:39:59,2024-11-11T16:40:00,1,ירי רקטות וטילים,1,50203,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
3,צפת - עכברה,28.10.2024,22:30:05,2024-10-28T22:30:00,1,ירי רקטות וטילים,1,47561,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
4,צפת - עכברה,24.10.2024,10:53:18,2024-10-24T10:53:00,1,ירי רקטות וטילים,1,46948,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
5,צפת - עכברה,19.10.2024,12:22:59,2024-10-19T12:23:00,1,ירי רקטות וטילים,1,45453,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
6,צפת - עכברה,19.10.2024,12:22:19,2024-10-19T12:22:00,1,ירי רקטות וטילים,1,45444,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
7,צפת - עכברה,18.10.2024,23:46:05,2024-10-18T23:46:00,1,ירי רקטות וטילים,1,45298,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
8,צפת - עכברה,16.10.2024,18:03:18,2024-10-16T18:03:00,1,ירי רקטות וטילים,1,44863,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
9,צפת - עכברה,16.10.2024,01:39:59,2024-10-16T01:40:00,1,ירי רקטות וטילים,1,44802,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
10,צפת - עכברה,16.10.2024,01:39:06,2024-10-16T01:39:00,1,ירי רקטות וטילים,1,44790,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
11,צפת - עכברה,14.10.2024,18:24:54,2024-10-14T18:25:00,1,ירי רקטות וטילים,1,44592,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
12,צפת - עכברה,14.10.2024,18:24:12,2024-10-14T18:24:00,1,ירי רקטות וטילים,1,44585,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
13,צפת - עכברה,11.10.2024,17:46:02,2024-10-11T17:46:00,1,ירי רקטות וטילים,1,43697,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
14,צפת - עכברה,09.10.2024,16:45:28,2024-10-09T16:45:00,1,ירי רקטות וטילים,1,43318,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
15,צפת - עכברה,09.10.2024,16:44:45,2024-10-09T16:45:00,1,ירי רקטות וטילים,1,43300,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
16,צפת - עכברה,09.10.2024,16:44:04,2024-10-09T16:44:00,1,ירי רקטות וטילים,1,43280,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
17,צפת - עכברה,02.10.2024,13:03:11,2024-10-02T13:03:00,1,ירי רקטות וטילים,1,41593,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
18,צפת - עכברה,02.10.2024,13:02:27,2024-10-02T13:02:00,1,ירי רקטות וטילים,1,41586,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
19,צפת - עכברה,02.10.2024,13:01:45,2024-10-02T13:02:00,1,ירי רקטות וטילים,1,41577,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
20,צפת - עכברה,01.10.2024,19:52:24,2024-10-01T19:52:00,1,ירי רקטות וטילים,1,41032,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
21,צפת - עכברה,01.10.2024,06:09:02,2024-10-01T06:09:00,1,ירי רקטות וטילים,1,39390,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
22,צפת - עכברה,30.09.2024,09:42:42,2024-09-30T09:43:00,1,ירי רקטות וטילים,1,39310,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
23,צפת - עכברה,28.09.2024,09:50:14,2024-09-28T09:50:00,1,ירי רקטות וטילים,1,38709,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
24,צפת - עכברה,28.09.2024,09:36:21,2024-09-28T09:36:00,1,ירי רקטות וטילים,1,38618,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
25,צפת - עכברה,27.09.2024,22:04:00,2024-09-27T22:04:00,1,ירי רקטות וטילים,1,38156,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
26,צפת - עכברה,27.09.2024,22:03:16,2024-09-27T22:03:00,1,ירי רקטות וטילים,1,38142,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
27,צפת - עכברה,26.09.2024,16:08:10,2024-09-26T16:08:00,1,ירי רקטות וטילים,1,37941,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
28,צפת - עכברה,25.09.2024,11:01:25,2024-09-25T11:01:00,1,ירי רקטות וטילים,1,37831,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
29,צפת - עכברה,24.09.2024,19:22:43,2024-09-24T19:23:00,1,ירי רקטות וטילים,1,37683,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
30,צפת - עכברה,24.09.2024,17:38:03,2024-09-24T17:38:00,1,ירי רקטות וטילים,1,37666,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
31,צפת - עכברה,24.09.2024,17:36:50,2024-09-24T17:37:00,1,ירי רקטות וטילים,1,37653,צפת - עכברה,Safed - 'Akbara,صفد - عكبرة,Цфат - Ахбара
