,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,קדימה צורן,24.11.2024,07:27:27,2024-11-24T07:27:00,1,ירי רקטות וטילים,1,52003,קדימה צורן,Kadima - Zoran ,كديما تصوران,Кадима-Цоран
1,קדימה צורן,19.11.2024,08:52:48,2024-11-19T08:53:00,1,ירי רקטות וטילים,1,51350,קדימה צורן,Kadima - Zoran ,كديما تصوران,Кадима-Цоран
2,קדימה צורן,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51290,קדימה צורן,Kadima - Zoran ,كديما تصوران,Кадима-Цоран
3,קדימה צורן,13.11.2024,17:46:07,2024-11-13T17:46:00,1,ירי רקטות וטילים,1,50679,קדימה צורן,Kadima - Zoran ,كديما تصوران,Кадима-Цоран
4,קדימה צורן,06.11.2024,11:21:23,2024-11-06T11:21:00,1,ירי רקטות וטילים,1,49160,קדימה צורן,Kadima - Zoran ,كديما تصوران,Кадима-Цоран
5,קדימה צורן,14.10.2024,17:37:02,2024-10-14T17:37:00,1,ירי רקטות וטילים,1,44572,קדימה צורן,Kadima - Zoran ,كديما تصوران,Кадима-Цоран
6,קדימה צורן,14.10.2024,17:33:13,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44377,קדימה צורן,Kadima - Zoran ,كديما تصوران,Кадима-Цоран
7,קדימה צורן,14.10.2024,11:19:37,2024-10-14T11:20:00,1,ירי רקטות וטילים,1,44218,קדימה צורן,Kadima - Zoran ,كديما تصوران,Кадима-Цоран
8,קדימה צורן,01.10.2024,18:38:25,2024-10-01T18:38:00,1,ירי רקטות וטילים,1,39657,קדימה צורן,Kadima - Zoran ,كديما تصوران,Кадима-Цоран
9,קדימה צורן,25.09.2024,06:32:24,2024-09-25T06:32:00,1,ירי רקטות וטילים,1,37757,קדימה צורן,Kadima - Zoran ,كديما تصوران,Кадима-Цоран
