,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,קדיתא,24.11.2024,15:35:23,2024-11-24T15:35:00,1,ירי רקטות וטילים,1,52302,קדיתא,Kadita,كديتا,Кадита
1,קדיתא,24.11.2024,14:24:27,2024-11-24T14:24:00,1,ירי רקטות וטילים,1,52247,קדיתא,Kadita,كديتا,Кадита
2,קדיתא,23.11.2024,15:31:53,2024-11-23T15:32:00,1,ירי רקטות וטילים,1,51906,קדיתא,Kadita,كديتا,Кадита
3,קדיתא,22.11.2024,15:24:56,2024-11-22T15:25:00,1,ירי רקטות וטילים,1,51740,קדיתא,Kadita,كديتا,Кадита
4,קדיתא,22.11.2024,14:05:35,2024-11-22T14:06:00,1,ירי רקטות וטילים,1,51725,קדיתא,Kadita,كديتا,Кадита
5,קדיתא,21.11.2024,14:52:24,2024-11-21T14:52:00,1,ירי רקטות וטילים,1,51686,קדיתא,Kadita,كديتا,Кадита
6,קדיתא,21.11.2024,14:51:37,2024-11-21T14:52:00,1,ירי רקטות וטילים,1,51681,קדיתא,Kadita,كديتا,Кадита
7,קדיתא,19.11.2024,10:58:34,2024-11-19T10:59:00,2,חדירת כלי טיס עוין,6,51471,קדיתא,Kadita,كديتا,Кадита
8,קדיתא,09.11.2024,08:06:47,2024-11-09T08:07:00,1,ירי רקטות וטילים,1,49816,קדיתא,Kadita,كديتا,Кадита
9,קדיתא,06.11.2024,16:37:02,2024-11-06T16:37:00,1,ירי רקטות וטילים,1,49411,קדיתא,Kadita,كديتا,Кадита
10,קדיתא,06.11.2024,14:55:23,2024-11-06T14:55:00,1,ירי רקטות וטילים,1,49336,קדיתא,Kadita,كديتا,Кадита
11,קדיתא,05.11.2024,10:35:11,2024-11-05T10:35:00,1,ירי רקטות וטילים,1,49080,קדיתא,Kadita,كديتا,Кадита
12,קדיתא,04.11.2024,23:19:48,2024-11-04T23:20:00,1,ירי רקטות וטילים,1,49011,קדיתא,Kadita,كديتا,Кадита
13,קדיתא,02.11.2024,13:38:39,2024-11-02T13:39:00,1,ירי רקטות וטילים,1,48673,קדיתא,Kadita,كديتا,Кадита
