,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,קורנית,24.11.2024,18:09:22,2024-11-24T18:09:00,1,ירי רקטות וטילים,1,52345,קורנית,Koranit,كورنيت,Коранит
1,קורנית,19.11.2024,09:50:20,2024-11-19T09:50:00,1,ירי רקטות וטילים,1,51400,קורנית,Koranit,كورنيت,Коранит
2,קורנית,02.11.2024,13:57:40,2024-11-02T13:58:00,1,ירי רקטות וטילים,1,48685,קורנית,Koranit,كورنيت,Коранит
3,קורנית,21.10.2024,12:28:43,2024-10-21T12:29:00,1,ירי רקטות וטילים,1,46009,קורנית,Koranit,كورنيت,Коранит
4,קורנית,17.10.2024,03:28:33,2024-10-17T03:29:00,1,ירי רקטות וטילים,1,45035,קורנית,Koranit,كورنيت,Коранит
5,קורנית,17.10.2024,03:26:16,2024-10-17T03:26:00,1,ירי רקטות וטילים,1,44945,קורנית,Koranit,كورنيت,Коранит
6,קורנית,13.10.2024,14:02:15,2024-10-13T14:02:00,1,ירי רקטות וטילים,1,44023,קורנית,Koranit,كورنيت,Коранит
7,קורנית,11.10.2024,17:22:19,2024-10-11T17:22:00,1,ירי רקטות וטילים,1,43651,קורנית,Koranit,كورنيت,Коранит
8,קורנית,11.10.2024,16:31:01,2024-10-11T16:31:00,1,ירי רקטות וטילים,1,43560,קורנית,Koranit,كورنيت,Коранит
9,קורנית,05.10.2024,16:44:43,2024-10-05T16:45:00,1,ירי רקטות וטילים,1,42234,קורנית,Koranit,كورنيت,Коранит
10,קורנית,04.10.2024,13:00:13,2024-10-04T13:00:00,1,ירי רקטות וטילים,1,42001,קורנית,Koranit,كورنيت,Коранит
11,קורנית,03.10.2024,16:32:07,2024-10-03T16:32:00,1,ירי רקטות וטילים,1,41812,קורנית,Koranit,كورنيت,Коранит
12,קורנית,28.09.2024,09:35:21,2024-09-28T09:35:00,1,ירי רקטות וטילים,1,38579,קורנית,Koranit,كورنيت,Коранит
13,קורנית,28.09.2024,07:59:03,2024-09-28T07:59:00,1,ירי רקטות וטילים,1,38241,קורנית,Koranit,كورنيت,Коранит
14,קורנית,25.09.2024,13:38:26,2024-09-25T13:38:00,1,ירי רקטות וטילים,1,37893,קורנית,Koranit,كورنيت,Коранит
15,קורנית,24.09.2024,15:12:32,2024-09-24T15:13:00,1,ירי רקטות וטילים,1,37602,קורנית,Koranit,كورنيت,Коранит
16,קורנית,22.09.2024,05:10:55,2024-09-22T05:11:00,1,ירי רקטות וטילים,1,36709,קורנית,Koranit,كورنيت,Коранит
17,קורנית,23.06.2024,11:24:13,2024-06-23T11:24:00,1,ירי רקטות וטילים,1,33285,קורנית,Koranit,كورنيت,Коранит
18,קורנית,13.10.2023,15:02:23,2023-10-13T15:02:00,1,ירי רקטות וטילים,1,21972,קורנית,Koranit,كورنيت,Коранит
19,קורנית,11.10.2023,18:35:13,2023-10-11T18:35:00,2,חדירת כלי טיס עוין,6,21647,קורנית,Koranit,كورنيت,Коранит
