,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,קיבוץ דן,24.11.2024,15:34:48,2024-11-24T15:35:00,1,ירי רקטות וטילים,1,52291,קיבוץ דן,Dan,دان,Дан
1,קיבוץ דן,29.10.2024,20:23:37,2024-10-29T20:24:00,1,ירי רקטות וטילים,1,47953,קיבוץ דן,Dan,دان,Дан
2,קיבוץ דן,29.10.2024,20:23:02,2024-10-29T20:23:00,1,ירי רקטות וטילים,1,47949,קיבוץ דן,Dan,دان,Дан
3,קיבוץ דן,29.10.2024,07:50:43,2024-10-29T07:51:00,2,חדירת כלי טיס עוין,6,47585,קיבוץ דן,Dan,دان,Дан
4,קיבוץ דן,26.10.2024,16:04:44,2024-10-26T16:05:00,1,ירי רקטות וטילים,1,47272,קיבוץ דן,Dan,دان,Дан
5,קיבוץ דן,26.10.2024,16:04:08,2024-10-26T16:04:00,1,ירי רקטות וטילים,1,47268,קיבוץ דן,Dan,دان,Дан
6,קיבוץ דן,26.10.2024,16:03:33,2024-10-26T16:04:00,1,ירי רקטות וטילים,1,47263,קיבוץ דן,Dan,دان,Дан
7,קיבוץ דן,24.10.2024,16:41:29,2024-10-24T16:41:00,2,חדירת כלי טיס עוין,6,46992,קיבוץ דן,Dan,دان,Дан
8,קיבוץ דן,22.10.2024,16:17:28,2024-10-22T16:17:00,1,ירי רקטות וטילים,1,46379,קיבוץ דן,Dan,دان,Дан
9,קיבוץ דן,22.10.2024,16:16:52,2024-10-22T16:17:00,1,ירי רקטות וטילים,1,46376,קיבוץ דן,Dan,دان,Дан
10,קיבוץ דן,12.10.2024,16:49:07,2024-10-12T16:49:00,1,ירי רקטות וטילים,1,43829,קיבוץ דן,Dan,دان,Дан
11,קיבוץ דן,12.10.2024,16:48:28,2024-10-12T16:48:00,1,ירי רקטות וטילים,1,43826,קיבוץ דן,Dan,دان,Дан
12,קיבוץ דן,08.10.2024,18:03:27,2024-10-08T18:03:00,2,חדירת כלי טיס עוין,6,43113,קיבוץ דן,Dan,دان,Дан
13,קיבוץ דן,08.10.2024,17:54:32,2024-10-08T17:55:00,2,חדירת כלי טיס עוין,6,43106,קיבוץ דן,Dan,دان,Дан
14,קיבוץ דן,05.10.2024,14:56:52,2024-10-05T14:57:00,1,ירי רקטות וטילים,1,42211,קיבוץ דן,Dan,دان,Дан
15,קיבוץ דן,05.10.2024,14:56:17,2024-10-05T14:56:00,1,ירי רקטות וטילים,1,42209,קיבוץ דן,Dan,دان,Дан
16,קיבוץ דן,30.09.2024,11:12:27,2024-09-30T11:12:00,1,ירי רקטות וטילים,1,39319,קיבוץ דן,Dan,دان,Дан
17,קיבוץ דן,24.09.2024,10:50:22,2024-09-24T10:50:00,1,ירי רקטות וטילים,1,37480,קיבוץ דן,Dan,دان,Дан
18,קיבוץ דן,15.09.2024,18:14:12,2024-09-15T18:14:00,2,חדירת כלי טיס עוין,6,36269,קיבוץ דן,Dan,دان,Дан
19,קיבוץ דן,08.09.2024,18:58:06,2024-09-08T18:58:00,2,חדירת כלי טיס עוין,6,35900,קיבוץ דן,Dan,دان,Дан
20,קיבוץ דן,08.09.2024,18:57:04,2024-09-08T18:57:00,2,חדירת כלי טיס עוין,6,35893,קיבוץ דן,Dan,دان,Дан
21,קיבוץ דן,03.09.2024,15:52:43,2024-09-03T15:53:00,2,חדירת כלי טיס עוין,6,35747,קיבוץ דן,Dan,دان,Дан
22,קיבוץ דן,29.08.2024,14:00:36,2024-08-29T14:01:00,1,ירי רקטות וטילים,1,35639,קיבוץ דן,Dan,دان,Дан
23,קיבוץ דן,27.08.2024,19:27:00,2024-08-27T19:27:00,2,חדירת כלי טיס עוין,6,35618,קיבוץ דן,Dan,دان,Дан
24,קיבוץ דן,25.08.2024,06:41:54,2024-08-25T06:42:00,1,ירי רקטות וטילים,1,35543,קיבוץ דן,Dan,دان,Дан
