,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,קריית אונו,24.11.2024,12:52:43,2024-11-24T12:53:00,1,ירי רקטות וטילים,1,52135,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
1,קריית אונו,18.11.2024,20:45:44,2024-11-18T20:46:00,1,ירי רקטות וטילים,1,51226,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
2,קריית אונו,12.11.2024,16:35:06,2024-11-12T16:35:00,1,ירי רקטות וטילים,1,50374,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
3,קריית אונו,06.11.2024,16:17:21,2024-11-06T16:17:00,1,ירי רקטות וטילים,1,49373,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
4,קריית אונו,06.11.2024,11:21:45,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49198,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
5,קריית אונו,23.10.2024,20:33:12,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46833,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
6,קריית אונו,23.10.2024,08:03:09,2024-10-23T08:03:00,1,ירי רקטות וטילים,1,46510,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
7,קריית אונו,22.10.2024,07:43:53,2024-10-22T07:44:00,1,ירי רקטות וטילים,1,46308,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
8,קריית אונו,14.10.2024,17:35:30,2024-10-14T17:36:00,1,ירי רקטות וטילים,1,44507,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
9,קריית אונו,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42801,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
10,קריית אונו,28.09.2024,17:41:08,2024-09-28T17:41:00,1,ירי רקטות וטילים,1,38987,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
11,קריית אונו,27.09.2024,00:40:30,2024-09-27T00:41:00,1,ירי רקטות וטילים,1,37998,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
12,קריית אונו,15.09.2024,06:32:26,2024-09-15T06:32:00,1,ירי רקטות וטילים,1,36141,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
13,קריית אונו,21.12.2023,13:30:15,2023-12-21T13:30:00,1,ירי רקטות וטילים,1,26877,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
14,קריית אונו,19.12.2023,13:02:53,2023-12-19T13:03:00,1,ירי רקטות וטילים,1,26685,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
15,קריית אונו,08.12.2023,17:58:07,2023-12-08T17:58:00,1,ירי רקטות וטילים,1,26317,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
16,קריית אונו,05.12.2023,15:20:15,2023-12-05T15:20:00,1,ירי רקטות וטילים,1,26156,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
17,קריית אונו,04.12.2023,14:02:33,2023-12-04T14:03:00,1,ירי רקטות וטילים,1,26092,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
18,קריית אונו,02.12.2023,22:01:25,2023-12-02T22:01:00,1,ירי רקטות וטילים,1,25934,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
19,קריית אונו,20.11.2023,18:03:48,2023-11-20T18:04:00,1,ירי רקטות וטילים,1,25377,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
20,קריית אונו,17.11.2023,18:02:13,2023-11-17T18:02:00,1,ירי רקטות וטילים,1,25159,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
21,קריית אונו,10.11.2023,13:30:35,2023-11-10T13:31:00,1,ירי רקטות וטילים,1,24835,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
22,קריית אונו,05.11.2023,22:01:40,2023-11-05T22:02:00,1,ירי רקטות וטילים,1,24594,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
23,קריית אונו,28.10.2023,18:10:41,2023-10-28T18:11:00,1,ירי רקטות וטילים,1,23840,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
24,קריית אונו,27.10.2023,19:31:03,2023-10-27T19:31:00,1,ירי רקטות וטילים,1,23722,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
25,קריית אונו,27.10.2023,14:30:28,2023-10-27T14:30:00,1,ירי רקטות וטילים,1,23666,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
26,קריית אונו,26.10.2023,22:01:43,2023-10-26T22:02:00,1,ירי רקטות וטילים,1,23621,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
27,קריית אונו,26.10.2023,18:03:58,2023-10-26T18:04:00,1,ירי רקטות וטילים,1,23581,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
28,קריית אונו,26.10.2023,13:31:33,2023-10-26T13:32:00,1,ירי רקטות וטילים,1,23521,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
29,קריית אונו,24.10.2023,17:01:12,2023-10-24T17:01:00,1,ירי רקטות וטילים,1,23350,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
30,קריית אונו,19.10.2023,14:32:00,2023-10-19T14:32:00,1,ירי רקטות וטילים,1,22850,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
31,קריית אונו,17.10.2023,19:59:36,2023-10-17T20:00:00,1,ירי רקטות וטילים,1,22714,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
32,קריית אונו,17.10.2023,19:01:25,2023-10-17T19:01:00,1,ירי רקטות וטילים,1,22654,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
33,קריית אונו,16.10.2023,16:44:46,2023-10-16T16:45:00,1,ירי רקטות וטילים,1,22442,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
34,קריית אונו,15.10.2023,18:55:51,2023-10-15T18:56:00,1,ירי רקטות וטילים,1,22365,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
35,קריית אונו,07.10.2023,21:19:42,2023-10-07T21:20:00,1,ירי רקטות וטילים,1,20473,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
36,קריית אונו,07.10.2023,19:59:46,2023-10-07T20:00:00,1,ירי רקטות וטילים,1,20201,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
37,קריית אונו,07.10.2023,07:33:23,2023-10-07T07:33:00,1,ירי רקטות וטילים,1,17683,קריית אונו,Kiryat Ono,كريات أونو,Кирьят Оно
