,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,קריית אתא,24.11.2024,18:12:22,2024-11-24T18:12:00,1,ירי רקטות וטילים,1,52378,קריית אתא,Kiryat Atta,كريات اتا,Кирьят Ата
1,קריית אתא,24.11.2024,18:09:22,2024-11-24T18:09:00,1,ירי רקטות וטילים,1,52335,קריית אתא,Kiryat Atta,كريات اتا,Кирьят Ата
2,קריית אתא,23.11.2024,04:18:54,2024-11-23T04:19:00,1,ירי רקטות וטילים,1,51870,קריית אתא,Kiryat Atta,كريات اتا,Кирьят Ата
3,קריית אתא,22.11.2024,21:19:30,2024-11-22T21:20:00,2,חדירת כלי טיס עוין,6,51848,קריית אתא,Kiryat Atta,كريات اتا,Кирьят Ата
4,קריית אתא,22.11.2024,02:09:03,2024-11-22T02:09:00,1,ירי רקטות וטילים,1,51707,קריית אתא,Kiryat Atta,كريات اتا,Кирьят Ата
5,קריית אתא,20.11.2024,06:40:21,2024-11-20T06:40:00,2,חדירת כלי טיס עוין,6,51565,קריית אתא,Kiryat Atta,كريات اتا,Кирьят Ата
6,קריית אתא,15.11.2024,09:01:15,2024-11-15T09:01:00,1,ירי רקטות וטילים,1,50897,קריית אתא,Kiryat Atta,كريات اتا,Кирьят Ата
7,קריית אתא,14.11.2024,18:56:00,2024-11-14T18:56:00,2,חדירת כלי טיס עוין,6,50805,קריית אתא,Kiryat Atta,كريات اتا,Кирьят Ата
8,קריית אתא,14.11.2024,18:54:00,2024-11-14T18:54:00,2,חדירת כלי טיס עוין,6,50800,קריית אתא,Kiryat Atta,كريات اتا,Кирьят Ата
9,קריית אתא,14.11.2024,15:54:14,2024-11-14T15:54:00,1,ירי רקטות וטילים,1,50759,קריית אתא,Kiryat Atta,كريات اتا,Кирьят Ата
10,קריית אתא,12.11.2024,09:34:33,2024-11-12T09:35:00,2,חדירת כלי טיס עוין,6,50288,קריית אתא,Kiryat Atta,كريات اتا,Кирьят Ата
11,קריית אתא,11.11.2024,15:42:03,2024-11-11T15:42:00,1,ירי רקטות וטילים,1,50127,קריית אתא,Kiryat Atta,كريات اتا,Кирьят Ата
12,קריית אתא,08.11.2024,15:18:53,2024-11-08T15:19:00,1,ירי רקטות וטילים,1,49712,קריית אתא,Kiryat Atta,كريات اتا,Кирьят Ата
13,קריית אתא,08.11.2024,07:45:23,2024-11-08T07:45:00,1,ירי רקטות וטילים,1,49657,קריית אתא,Kiryat Atta,كريات اتا,Кирьят Ата
14,קריית אתא,05.11.2024,06:38:26,2024-11-05T06:38:00,1,ירי רקטות וטילים,1,49028,קריית אתא,Kiryat Atta,كريات اتا,Кирьят Ата
