,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,קריית ביאליק,24.11.2024,18:12:22,2024-11-24T18:12:00,1,ירי רקטות וטילים,1,52379,קריית ביאליק,Kiryat Biyalik,كريات بياليك,Кирьят Бялик
1,קריית ביאליק,24.11.2024,15:31:45,2024-11-24T15:32:00,1,ירי רקטות וטילים,1,52277,קריית ביאליק,Kiryat Biyalik,كريات بياليك,Кирьят Бялик
2,קריית ביאליק,23.11.2024,04:18:55,2024-11-23T04:19:00,1,ירי רקטות וטילים,1,51868,קריית ביאליק,Kiryat Biyalik,كريات بياليك,Кирьят Бялик
3,קריית ביאליק,22.11.2024,21:18:25,2024-11-22T21:18:00,2,חדירת כלי טיס עוין,6,51845,קריית ביאליק,Kiryat Biyalik,كريات بياليك,Кирьят Бялик
4,קריית ביאליק,22.11.2024,15:35:39,2024-11-22T15:36:00,1,ירי רקטות וטילים,1,51744,קריית ביאליק,Kiryat Biyalik,كريات بياليك,Кирьят Бялик
5,קריית ביאליק,22.11.2024,02:09:03,2024-11-22T02:09:00,1,ירי רקטות וטילים,1,51708,קריית ביאליק,Kiryat Biyalik,كريات بياليك,Кирьят Бялик
6,קריית ביאליק,20.11.2024,06:38:19,2024-11-20T06:38:00,2,חדירת כלי טיס עוין,6,51561,קריית ביאליק,Kiryat Biyalik,كريات بياليك,Кирьят Бялик
7,קריית ביאליק,17.11.2024,10:11:30,2024-11-17T10:12:00,1,ירי רקטות וטילים,1,51076,קריית ביאליק,Kiryat Biyalik,كريات بياليك,Кирьят Бялик
8,קריית ביאליק,16.11.2024,19:45:15,2024-11-16T19:45:00,1,ירי רקטות וטילים,1,51050,קריית ביאליק,Kiryat Biyalik,كريات بياليك,Кирьят Бялик
9,קריית ביאליק,16.11.2024,14:44:42,2024-11-16T14:45:00,1,ירי רקטות וטילים,1,51009,קריית ביאליק,Kiryat Biyalik,كريات بياليك,Кирьят Бялик
