,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,קריית ים,24.11.2024,18:12:22,2024-11-24T18:12:00,1,ירי רקטות וטילים,1,52380,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
1,קריית ים,24.11.2024,15:31:42,2024-11-24T15:32:00,1,ירי רקטות וטילים,1,52280,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
2,קריית ים,23.11.2024,04:19:39,2024-11-23T04:20:00,1,ירי רקטות וטילים,1,51881,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
3,קריית ים,22.11.2024,02:09:03,2024-11-22T02:09:00,1,ירי רקטות וטילים,1,51709,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
4,קריית ים,20.11.2024,06:39:32,2024-11-20T06:40:00,2,חדירת כלי טיס עוין,6,51562,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
5,קריית ים,16.11.2024,19:45:15,2024-11-16T19:45:00,1,ירי רקטות וטילים,1,51051,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
6,קריית ים,16.11.2024,14:44:42,2024-11-16T14:45:00,1,ירי רקטות וטילים,1,51010,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
7,קריית ים,15.11.2024,06:53:27,2024-11-15T06:53:00,1,ירי רקטות וטילים,1,50869,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
8,קריית ים,14.11.2024,15:53:58,2024-11-14T15:54:00,1,ירי רקטות וטילים,1,50756,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
9,קריית ים,13.11.2024,14:59:02,2024-11-13T14:59:00,2,חדירת כלי טיס עוין,6,50538,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
10,קריית ים,12.11.2024,09:34:32,2024-11-12T09:35:00,2,חדירת כלי טיס עוין,6,50286,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
11,קריית ים,11.11.2024,16:02:20,2024-11-11T16:02:00,1,ירי רקטות וטילים,1,50189,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
12,קריית ים,11.11.2024,15:42:21,2024-11-11T15:42:00,1,ירי רקטות וטילים,1,50133,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
13,קריית ים,09.11.2024,13:58:20,2024-11-09T13:58:00,1,ירי רקטות וטילים,1,49858,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
14,קריית ים,08.11.2024,11:47:47,2024-11-08T11:48:00,1,ירי רקטות וטילים,1,49672,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
15,קריית ים,08.11.2024,07:44:33,2024-11-08T07:45:00,1,ירי רקטות וטילים,1,49629,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
16,קריית ים,07.11.2024,16:16:47,2024-11-07T16:17:00,1,ירי רקטות וטילים,1,49559,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
17,קריית ים,07.11.2024,16:14:42,2024-11-07T16:15:00,1,ירי רקטות וטילים,1,49532,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
18,קריית ים,07.11.2024,13:46:43,2024-11-07T13:47:00,1,ירי רקטות וטילים,1,49454,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
19,קריית ים,05.11.2024,06:38:26,2024-11-05T06:38:00,1,ירי רקטות וטילים,1,49030,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
20,קריית ים,03.11.2024,17:31:29,2024-11-03T17:31:00,2,חדירת כלי טיס עוין,6,48912,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
21,קריית ים,03.11.2024,08:05:16,2024-11-03T08:05:00,1,ירי רקטות וטילים,1,48810,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
22,קריית ים,02.11.2024,16:26:25,2024-11-02T16:26:00,2,חדירת כלי טיס עוין,6,48771,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
23,קריית ים,02.11.2024,11:05:38,2024-11-02T11:06:00,1,ירי רקטות וטילים,1,48620,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
24,קריית ים,02.11.2024,08:21:05,2024-11-02T08:21:00,2,חדירת כלי טיס עוין,6,48560,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
25,קריית ים,02.11.2024,08:19:03,2024-11-02T08:19:00,2,חדירת כלי טיס עוין,6,48554,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
26,קריית ים,02.11.2024,07:15:12,2024-11-02T07:15:00,1,ירי רקטות וטילים,1,48498,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
27,קריית ים,31.10.2024,15:12:50,2024-10-31T15:13:00,1,ירי רקטות וטילים,1,48320,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
28,קריית ים,30.10.2024,17:32:25,2024-10-30T17:32:00,2,חדירת כלי טיס עוין,6,48183,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
29,קריית ים,30.10.2024,13:22:59,2024-10-30T13:23:00,1,ירי רקטות וטילים,1,48083,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
30,קריית ים,28.10.2024,15:13:55,2024-10-28T15:14:00,1,ירי רקטות וטילים,1,47522,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
31,קריית ים,25.10.2024,09:02:06,2024-10-25T09:02:00,1,ירי רקטות וטילים,1,47098,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
32,קריית ים,23.10.2024,13:40:21,2024-10-23T13:40:00,1,ירי רקטות וטילים,1,46614,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
33,קריית ים,23.10.2024,11:03:07,2024-10-23T11:03:00,1,ירי רקטות וטילים,1,46572,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
34,קריית ים,22.10.2024,18:27:57,2024-10-22T18:28:00,2,חדירת כלי טיס עוין,6,46444,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
35,קריית ים,22.10.2024,18:24:55,2024-10-22T18:25:00,2,חדירת כלי טיס עוין,6,46434,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
36,קריית ים,22.10.2024,18:22:54,2024-10-22T18:23:00,2,חדירת כלי טיס עוין,6,46423,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
37,קריית ים,22.10.2024,04:52:07,2024-10-22T04:52:00,1,ירי רקטות וטילים,1,46237,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
38,קריית ים,21.10.2024,12:28:43,2024-10-21T12:29:00,1,ירי רקטות וטילים,1,45975,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
39,קריית ים,20.10.2024,16:01:44,2024-10-20T16:02:00,2,חדירת כלי טיס עוין,6,45768,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
40,קריית ים,20.10.2024,15:41:18,2024-10-20T15:41:00,1,ירי רקטות וטילים,1,45719,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
41,קריית ים,20.10.2024,09:38:40,2024-10-20T09:39:00,1,ירי רקטות וטילים,1,45580,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
42,קריית ים,19.10.2024,12:25:16,2024-10-19T12:25:00,1,ירי רקטות וטילים,1,45459,קריית ים,Kiryat Yam,كريات يام,Кирьят Ям
