,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,קריית מוצקין,24.11.2024,18:12:22,2024-11-24T18:12:00,1,ירי רקטות וטילים,1,52381,קריית מוצקין,Kiryat Motzkin,كريات موتسكين,Кирьят Моцкин
1,קריית מוצקין,24.11.2024,15:31:45,2024-11-24T15:32:00,1,ירי רקטות וטילים,1,52278,קריית מוצקין,Kiryat Motzkin,كريات موتسكين,Кирьят Моцкин
2,קריית מוצקין,23.11.2024,04:19:05,2024-11-23T04:19:00,1,ירי רקטות וטילים,1,51873,קריית מוצקין,Kiryat Motzkin,كريات موتسكين,Кирьят Моцкин
3,קריית מוצקין,22.11.2024,21:18:25,2024-11-22T21:18:00,2,חדירת כלי טיס עוין,6,51846,קריית מוצקין,Kiryat Motzkin,كريات موتسكين,Кирьят Моцкин
4,קריית מוצקין,22.11.2024,02:09:03,2024-11-22T02:09:00,1,ירי רקטות וטילים,1,51710,קריית מוצקין,Kiryat Motzkin,كريات موتسكين,Кирьят Моцкин
5,קריית מוצקין,20.11.2024,06:39:32,2024-11-20T06:40:00,2,חדירת כלי טיס עוין,6,51563,קריית מוצקין,Kiryat Motzkin,كريات موتسكين,Кирьят Моцкин
6,קריית מוצקין,16.11.2024,19:45:15,2024-11-16T19:45:00,1,ירי רקטות וטילים,1,51052,קריית מוצקין,Kiryat Motzkin,كريات موتسكين,Кирьят Моцкин
7,קריית מוצקין,16.11.2024,14:44:42,2024-11-16T14:45:00,1,ירי רקטות וטילים,1,51011,קריית מוצקין,Kiryat Motzkin,كريات موتسكين,Кирьят Моцкин
8,קריית מוצקין,16.11.2024,10:46:57,2024-11-16T10:47:00,1,ירי רקטות וטילים,1,50989,קריית מוצקין,Kiryat Motzkin,كريات موتسكين,Кирьят Моцкин
9,קריית מוצקין,15.11.2024,09:01:24,2024-11-15T09:01:00,1,ירי רקטות וטילים,1,50902,קריית מוצקין,Kiryat Motzkin,كريات موتسكين,Кирьят Моцкин
10,קריית מוצקין,15.11.2024,06:53:27,2024-11-15T06:53:00,1,ירי רקטות וטילים,1,50870,קריית מוצקין,Kiryat Motzkin,كريات موتسكين,Кирьят Моцкин
11,קריית מוצקין,14.11.2024,18:52:12,2024-11-14T18:52:00,2,חדירת כלי טיס עוין,6,50798,קריית מוצקין,Kiryat Motzkin,كريات موتسكين,Кирьят Моцкин
12,קריית מוצקין,14.11.2024,15:54:14,2024-11-14T15:54:00,1,ירי רקטות וטילים,1,50758,קריית מוצקין,Kiryat Motzkin,كريات موتسكين,Кирьят Моцкин
13,קריית מוצקין,13.11.2024,14:58:47,2024-11-13T14:59:00,2,חדירת כלי טיס עוין,6,50537,קריית מוצקין,Kiryat Motzkin,كريات موتسكين,Кирьят Моцкин
14,קריית מוצקין,12.11.2024,09:34:06,2024-11-12T09:34:00,2,חדירת כלי טיס עוין,6,50285,קריית מוצקין,Kiryat Motzkin,كريات موتسكين,Кирьят Моцкин
15,קריית מוצקין,11.11.2024,16:02:20,2024-11-11T16:02:00,1,ירי רקטות וטילים,1,50190,קריית מוצקין,Kiryat Motzkin,كريات موتسكين,Кирьят Моцкин
16,קריית מוצקין,11.11.2024,15:45:00,2024-11-11T15:45:00,1,ירי רקטות וטילים,1,50174,קריית מוצקין,Kiryat Motzkin,كريات موتسكين,Кирьят Моцкин
17,קריית מוצקין,11.11.2024,15:42:18,2024-11-11T15:42:00,1,ירי רקטות וטילים,1,50145,קריית מוצקין,Kiryat Motzkin,كريات موتسكين,Кирьят Моцкин
18,קריית מוצקין,09.11.2024,13:58:20,2024-11-09T13:58:00,1,ירי רקטות וטילים,1,49859,קריית מוצקין,Kiryat Motzkin,كريات موتسكين,Кирьят Моцкин
19,קריית מוצקין,08.11.2024,07:45:02,2024-11-08T07:45:00,1,ירי רקטות וטילים,1,49650,קריית מוצקין,Kiryat Motzkin,كريات موتسكين,Кирьят Моцкин
20,קריית מוצקין,07.11.2024,16:16:47,2024-11-07T16:17:00,1,ירי רקטות וטילים,1,49560,קריית מוצקין,Kiryat Motzkin,كريات موتسكين,Кирьят Моцкин
21,קריית מוצקין,07.11.2024,16:14:42,2024-11-07T16:15:00,1,ירי רקטות וטילים,1,49533,קריית מוצקין,Kiryat Motzkin,كريات موتسكين,Кирьят Моцкин
22,קריית מוצקין,07.11.2024,13:46:41,2024-11-07T13:47:00,1,ירי רקטות וטילים,1,49457,קריית מוצקין,Kiryat Motzkin,كريات موتسكين,Кирьят Моцкин
