,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,קריית שמונה,24.11.2024,13:45:46,2024-11-24T13:46:00,1,ירי רקטות וטילים,1,52230,קריית שמונה,Kiryat Shmona,كريات شمونه,Кирьят Шмона
1,קריית שמונה,24.11.2024,13:45:08,2024-11-24T13:45:00,1,ירי רקטות וטילים,1,52225,קריית שמונה,Kiryat Shmona,كريات شمونه,Кирьят Шмона
2,קריית שמונה,24.11.2024,11:31:18,2024-11-24T11:31:00,1,ירי רקטות וטילים,1,52087,קריית שמונה,Kiryat Shmona,كريات شمونه,Кирьят Шмона
3,קריית שמונה,24.11.2024,09:59:44,2024-11-24T10:00:00,1,ירי רקטות וטילים,1,52067,קריית שמונה,Kiryat Shmona,كريات شمونه,Кирьят Шмона
4,קריית שמונה,24.11.2024,09:59:02,2024-11-24T09:59:00,1,ירי רקטות וטילים,1,52063,קריית שמונה,Kiryat Shmona,كريات شمونه,Кирьят Шмона
5,קריית שמונה,24.11.2024,08:07:49,2024-11-24T08:08:00,1,ירי רקטות וטילים,1,52033,קריית שמונה,Kiryat Shmona,كريات شمونه,Кирьят Шмона
6,קריית שמונה,24.11.2024,08:04:32,2024-11-24T08:05:00,1,ירי רקטות וטילים,1,52031,קריית שמונה,Kiryat Shmona,كريات شمونه,Кирьят Шмона
7,קריית שמונה,24.11.2024,00:10:26,2024-11-24T00:10:00,1,ירי רקטות וטילים,1,51927,קריית שמונה,Kiryat Shmona,كريات شمونه,Кирьят Шмона
8,קריית שמונה,23.11.2024,16:18:19,2024-11-23T16:18:00,1,ירי רקטות וטילים,1,51908,קריית שמונה,Kiryat Shmona,كريات شمونه,Кирьят Шмона
9,קריית שמונה,23.11.2024,13:55:30,2024-11-23T13:56:00,1,ירי רקטות וטילים,1,51894,קריית שמונה,Kiryat Shmona,كريات شمونه,Кирьят Шмона
10,קריית שמונה,23.11.2024,00:06:35,2024-11-23T00:07:00,1,ירי רקטות וטילים,1,51861,קריית שמונה,Kiryat Shmona,كريات شمونه,Кирьят Шмона
11,קריית שמונה,22.11.2024,14:32:27,2024-11-22T14:32:00,1,ירי רקטות וטילים,1,51728,קריית שמונה,Kiryat Shmona,كريات شمونه,Кирьят Шмона
12,קריית שמונה,21.11.2024,17:26:33,2024-11-21T17:27:00,1,ירי רקטות וטילים,1,51688,קריית שמונה,Kiryat Shmona,كريات شمونه,Кирьят Шмона
