,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,ראש הנקרה,24.11.2024,13:03:32,2024-11-24T13:04:00,1,ירי רקטות וטילים,1,52186,ראש הנקרה,Rosh HaNikra,راس الناقورة,Рош ха-Никра
1,ראש הנקרה,24.11.2024,13:00:35,2024-11-24T13:01:00,1,ירי רקטות וטילים,1,52166,ראש הנקרה,Rosh HaNikra,راس الناقورة,Рош ха-Никра
2,ראש הנקרה,24.11.2024,10:49:24,2024-11-24T10:49:00,1,ירי רקטות וטילים,1,52077,ראש הנקרה,Rosh HaNikra,راس الناقورة,Рош ха-Никра
3,ראש הנקרה,24.11.2024,06:17:26,2024-11-24T06:17:00,2,חדירת כלי טיס עוין,6,51933,ראש הנקרה,Rosh HaNikra,راس الناقورة,Рош ха-Никра
4,ראש הנקרה,22.11.2024,22:40:44,2024-11-22T22:41:00,1,ירי רקטות וטילים,1,51859,ראש הנקרה,Rosh HaNikra,راس الناقورة,Рош ха-Никра
5,ראש הנקרה,22.11.2024,21:04:42,2024-11-22T21:05:00,2,חדירת כלי טיס עוין,6,51800,ראש הנקרה,Rosh HaNikra,راس الناقورة,Рош ха-Никра
6,ראש הנקרה,21.11.2024,06:31:54,2024-11-21T06:32:00,2,חדירת כלי טיס עוין,6,51645,ראש הנקרה,Rosh HaNikra,راس الناقورة,Рош ха-Никра
7,ראש הנקרה,21.11.2024,06:26:14,2024-11-21T06:26:00,2,חדירת כלי טיס עוין,6,51627,ראש הנקרה,Rosh HaNikra,راس الناقورة,Рош ха-Никра
8,ראש הנקרה,21.11.2024,06:25:14,2024-11-21T06:25:00,2,חדירת כלי טיס עוין,6,51625,ראש הנקרה,Rosh HaNikra,راس الناقورة,Рош ха-Никра
9,ראש הנקרה,20.11.2024,15:42:24,2024-11-20T15:42:00,2,חדירת כלי טיס עוין,6,51589,ראש הנקרה,Rosh HaNikra,راس الناقورة,Рош ха-Никра
10,ראש הנקרה,18.11.2024,17:00:47,2024-11-18T17:01:00,2,חדירת כלי טיס עוין,6,51188,ראש הנקרה,Rosh HaNikra,راس الناقورة,Рош ха-Никра
11,ראש הנקרה,17.11.2024,18:47:14,2024-11-17T18:47:00,1,ירי רקטות וטילים,1,51111,ראש הנקרה,Rosh HaNikra,راس الناقورة,Рош ха-Никра
12,ראש הנקרה,17.11.2024,18:43:33,2024-11-17T18:44:00,1,ירי רקטות וטילים,1,51109,ראש הנקרה,Rosh HaNikra,راس الناقورة,Рош ха-Никра
13,ראש הנקרה,17.11.2024,18:42:33,2024-11-17T18:43:00,1,ירי רקטות וטילים,1,51107,ראש הנקרה,Rosh HaNikra,راس الناقورة,Рош ха-Никра
14,ראש הנקרה,16.11.2024,08:18:58,2024-11-16T08:19:00,1,ירי רקטות וטילים,1,50958,ראש הנקרה,Rosh HaNikra,راس الناقورة,Рош ха-Никра
15,ראש הנקרה,16.11.2024,08:17:55,2024-11-16T08:18:00,1,ירי רקטות וטילים,1,50952,ראש הנקרה,Rosh HaNikra,راس الناقورة,Рош ха-Никра
16,ראש הנקרה,16.11.2024,07:05:52,2024-11-16T07:06:00,2,חדירת כלי טיס עוין,6,50946,ראש הנקרה,Rosh HaNikra,راس الناقورة,Рош ха-Никра
17,ראש הנקרה,14.11.2024,12:08:02,2024-11-14T12:08:00,1,ירי רקטות וטילים,1,50736,ראש הנקרה,Rosh HaNikra,راس الناقورة,Рош ха-Никра
18,ראש הנקרה,14.11.2024,10:07:54,2024-11-14T10:08:00,2,חדירת כלי טיס עוין,6,50730,ראש הנקרה,Rosh HaNikra,راس الناقورة,Рош ха-Никра
