,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,ראש העין,24.11.2024,18:31:06,2024-11-24T18:31:00,1,ירי רקטות וטילים,1,52409,ראש העין,Rosh HaAyin,راس العين,Рош ха-Айн
1,ראש העין,24.11.2024,12:52:24,2024-11-24T12:52:00,1,ירי רקטות וטילים,1,52110,ראש העין,Rosh HaAyin,راس العين,Рош ха-Айн
2,ראש העין,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51292,ראש העין,Rosh HaAyin,راس العين,Рош ха-Айн
3,ראש העין,06.11.2024,11:21:53,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49250,ראש העין,Rosh HaAyin,راس العين,Рош ха-Айн
4,ראש העין,23.10.2024,20:33:13,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46819,ראש העין,Rosh HaAyin,راس العين,Рош ха-Айн
5,ראש העין,07.10.2024,23:13:22,2024-10-07T23:13:00,1,ירי רקטות וטילים,1,42930,ראש העין,Rosh HaAyin,راس العين,Рош ха-Айн
6,ראש העין,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42825,ראש העין,Rosh HaAyin,راس العين,Рош ха-Айн
7,ראש העין,01.10.2024,18:37:32,2024-10-01T18:38:00,1,ירי רקטות וטילים,1,39636,ראש העין,Rosh HaAyin,راس العين,Рош ха-Айн
8,ראש העין,01.10.2024,11:03:35,2024-10-01T11:04:00,1,ירי רקטות וטילים,1,39432,ראש העין,Rosh HaAyin,راس العين,Рош ха-Айн
9,ראש העין,20.11.2023,18:03:48,2023-11-20T18:04:00,1,ירי רקטות וטילים,1,25418,ראש העין,Rosh HaAyin,راس العين,Рош ха-Айн
10,ראש העין,07.11.2023,21:00:04,2023-11-07T21:00:00,1,ירי רקטות וטילים,1,24700,ראש העין,Rosh HaAyin,راس العين,Рош ха-Айн
11,ראש העין,05.11.2023,20:01:48,2023-11-05T20:02:00,1,ירי רקטות וטילים,1,24566,ראש העין,Rosh HaAyin,راس العين,Рош ха-Айн
12,ראש העין,02.11.2023,17:01:17,2023-11-02T17:01:00,1,ירי רקטות וטילים,1,24337,ראש העין,Rosh HaAyin,راس العين,Рош ха-Айн
13,ראש העין,28.10.2023,18:10:46,2023-10-28T18:11:00,1,ירי רקטות וטילים,1,23854,ראש העין,Rosh HaAyin,راس العين,Рош ха-Айн
14,ראש העין,25.10.2023,21:31:15,2023-10-25T21:31:00,1,ירי רקטות וטילים,1,23484,ראש העין,Rosh HaAyin,راس العين,Рош ха-Айн
15,ראש העין,24.10.2023,15:32:03,2023-10-24T15:32:00,1,ירי רקטות וטילים,1,23316,ראש העין,Rosh HaAyin,راس العين,Рош ха-Айн
16,ראש העין,24.10.2023,15:17:09,2023-10-24T15:17:00,1,ירי רקטות וטילים,1,23291,ראש העין,Rosh HaAyin,راس العين,Рош ха-Айн
17,ראש העין,17.10.2023,19:59:36,2023-10-17T20:00:00,1,ירי רקטות וטילים,1,22731,ראש העין,Rosh HaAyin,راس العين,Рош ха-Айн
18,ראש העין,14.10.2023,21:01:12,2023-10-14T21:01:00,1,ירי רקטות וטילים,1,22272,ראש העין,Rosh HaAyin,راس العين,Рош ха-Айн
19,ראש העין,07.10.2023,21:20:58,2023-10-07T21:21:00,1,ירי רקטות וטילים,1,20513,ראש העין,Rosh HaAyin,راس العين,Рош ха-Айн
