,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,ראש פינה,24.11.2024,12:11:06,2024-11-24T12:11:00,1,ירי רקטות וטילים,1,52102,ראש פינה,Rosh Pinna,روش بينا,Рош Пина
1,ראש פינה,23.11.2024,15:31:40,2024-11-23T15:32:00,1,ירי רקטות וטילים,1,51903,ראש פינה,Rosh Pinna,روش بينا,Рош Пина
2,ראש פינה,19.11.2024,17:04:50,2024-11-19T17:05:00,2,חדירת כלי טיס עוין,6,51510,ראש פינה,Rosh Pinna,روش بينا,Рош Пина
3,ראש פינה,19.11.2024,10:58:34,2024-11-19T10:59:00,2,חדירת כלי טיס עוין,6,51451,ראש פינה,Rosh Pinna,روش بينا,Рош Пина
4,ראש פינה,11.11.2024,17:30:21,2024-11-11T17:30:00,1,ירי רקטות וטילים,1,50221,ראש פינה,Rosh Pinna,روش بينا,Рош Пина
5,ראש פינה,11.11.2024,16:40:16,2024-11-11T16:40:00,1,ירי רקטות וטילים,1,50207,ראש פינה,Rosh Pinna,روش بينا,Рош Пина
6,ראש פינה,09.11.2024,08:06:52,2024-11-09T08:07:00,1,ירי רקטות וטילים,1,49819,ראש פינה,Rosh Pinna,روش بينا,Рош Пина
7,ראש פינה,06.11.2024,15:09:13,2024-11-06T15:09:00,1,ירי רקטות וטילים,1,49347,ראש פינה,Rosh Pinna,روش بينا,Рош Пина
8,ראש פינה,04.11.2024,09:25:20,2024-11-04T09:25:00,1,ירי רקטות וטילים,1,48968,ראש פינה,Rosh Pinna,روش بينا,Рош Пина
9,ראש פינה,30.10.2024,15:18:25,2024-10-30T15:18:00,1,ירי רקטות וטילים,1,48117,ראש פינה,Rosh Pinna,روش بينا,Рош Пина
10,ראש פינה,28.10.2024,23:27:00,2024-10-28T23:27:00,1,ירי רקטות וטילים,1,47572,ראש פינה,Rosh Pinna,روش بينا,Рош Пина
11,ראש פינה,25.10.2024,18:15:32,2024-10-25T18:16:00,1,ירי רקטות וטילים,1,47157,ראש פינה,Rosh Pinna,روش بينا,Рош Пина
12,ראש פינה,24.10.2024,10:53:04,2024-10-24T10:53:00,1,ירי רקטות וטילים,1,46942,ראש פינה,Rosh Pinna,روش بينا,Рош Пина
13,ראש פינה,24.10.2024,10:52:23,2024-10-24T10:52:00,1,ירי רקטות וטילים,1,46927,ראש פינה,Rosh Pinna,روش بينا,Рош Пина
14,ראש פינה,20.10.2024,12:30:34,2024-10-20T12:31:00,1,ירי רקטות וטילים,1,45676,ראש פינה,Rosh Pinna,روش بينا,Рош Пина
15,ראש פינה,20.10.2024,12:29:50,2024-10-20T12:30:00,1,ירי רקטות וטילים,1,45663,ראש פינה,Rosh Pinna,روش بينا,Рош Пина
16,ראש פינה,20.10.2024,12:29:07,2024-10-20T12:29:00,1,ירי רקטות וטילים,1,45648,ראש פינה,Rosh Pinna,روش بينا,Рош Пина
