,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,רגבה,24.11.2024,13:00:51,2024-11-24T13:01:00,1,ירי רקטות וטילים,1,52173,רגבה,Regba,رجبة,Регба
1,רגבה,22.11.2024,21:12:53,2024-11-22T21:13:00,2,חדירת כלי טיס עוין,6,51843,רגבה,Regba,رجبة,Регба
2,רגבה,22.11.2024,21:11:04,2024-11-22T21:11:00,2,חדירת כלי טיס עוין,6,51834,רגבה,Regba,رجبة,Регба
3,רגבה,22.11.2024,21:09:52,2024-11-22T21:10:00,2,חדירת כלי טיס עוין,6,51826,רגבה,Regba,رجبة,Регба
4,רגבה,20.11.2024,16:19:34,2024-11-20T16:20:00,1,ירי רקטות וטילים,1,51607,רגבה,Regba,رجبة,Регба
5,רגבה,20.11.2024,06:34:25,2024-11-20T06:34:00,2,חדירת כלי טיס עוין,6,51552,רגבה,Regba,رجبة,Регба
6,רגבה,18.11.2024,11:06:17,2024-11-18T11:06:00,1,ירי רקטות וטילים,1,51152,רגבה,Regba,رجبة,Регба
7,רגבה,18.11.2024,11:05:25,2024-11-18T11:05:00,1,ירי רקטות וטילים,1,51142,רגבה,Regba,رجبة,Регба
8,רגבה,16.11.2024,14:44:57,2024-11-16T14:45:00,1,ירי רקטות וטילים,1,51020,רגבה,Regba,رجبة,Регба
9,רגבה,14.11.2024,18:46:38,2024-11-14T18:47:00,2,חדירת כלי טיס עוין,6,50786,רגבה,Regba,رجبة,Регба
10,רגבה,14.11.2024,18:45:32,2024-11-14T18:46:00,2,חדירת כלי טיס עוין,6,50782,רגבה,Regba,رجبة,Регба
11,רגבה,13.11.2024,14:53:46,2024-11-13T14:54:00,2,חדירת כלי טיס עוין,6,50523,רגבה,Regba,رجبة,Регба
12,רגבה,13.11.2024,14:52:38,2024-11-13T14:53:00,2,חדירת כלי טיס עוין,6,50520,רגבה,Regba,رجبة,Регба
13,רגבה,12.11.2024,09:25:26,2024-11-12T09:25:00,2,חדירת כלי טיס עוין,6,50268,רגבה,Regba,رجبة,Регба
14,רגבה,07.11.2024,13:47:13,2024-11-07T13:47:00,1,ירי רקטות וטילים,1,49477,רגבה,Regba,رجبة,Регба
15,רגבה,06.11.2024,11:21:45,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49193,רגבה,Regba,رجبة,Регба
16,רגבה,05.11.2024,17:18:54,2024-11-05T17:19:00,1,ירי רקטות וטילים,1,49105,רגבה,Regba,رجبة,Регба
17,רגבה,03.11.2024,17:24:49,2024-11-03T17:25:00,2,חדירת כלי טיס עוין,6,48895,רגבה,Regba,رجبة,Регба
18,רגבה,02.11.2024,16:22:03,2024-11-02T16:22:00,2,חדירת כלי טיס עוין,6,48761,רגבה,Regba,رجبة,Регба
