,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,ריחאנייה,24.11.2024,16:45:11,2024-11-24T16:45:00,1,ירי רקטות וטילים,1,52325,ריחאנייה,Rehaniya,ريحانيه,Рехания
1,ריחאנייה,24.11.2024,12:11:15,2024-11-24T12:11:00,1,ירי רקטות וטילים,1,52106,ריחאנייה,Rehaniya,ريحانيه,Рехания
2,ריחאנייה,19.11.2024,10:58:34,2024-11-19T10:59:00,2,חדירת כלי טיס עוין,6,51472,ריחאנייה,Rehaniya,ريحانيه,Рехания
3,ריחאנייה,13.11.2024,06:19:23,2024-11-13T06:19:00,1,ירי רקטות וטילים,1,50456,ריחאנייה,Rehaniya,ريحانيه,Рехания
4,ריחאנייה,11.11.2024,15:51:52,2024-11-11T15:52:00,2,חדירת כלי טיס עוין,6,50182,ריחאנייה,Rehaniya,ريحانيه,Рехания
5,ריחאנייה,09.11.2024,08:06:15,2024-11-09T08:06:00,1,ירי רקטות וטילים,1,49806,ריחאנייה,Rehaniya,ريحانيه,Рехания
6,ריחאנייה,06.11.2024,22:46:30,2024-11-06T22:47:00,1,ירי רקטות וטילים,1,49445,ריחאנייה,Rehaniya,ريحانيه,Рехания
7,ריחאנייה,02.11.2024,20:37:40,2024-11-02T20:38:00,1,ירי רקטות וטילים,1,48790,ריחאנייה,Rehaniya,ريحانيه,Рехания
8,ריחאנייה,30.10.2024,15:18:46,2024-10-30T15:19:00,1,ירי רקטות וטילים,1,48123,ריחאנייה,Rehaniya,ريحانيه,Рехания
9,ריחאנייה,29.10.2024,07:52:21,2024-10-29T07:52:00,1,ירי רקטות וטילים,1,47593,ריחאנייה,Rehaniya,ريحانيه,Рехания
10,ריחאנייה,24.10.2024,10:53:20,2024-10-24T10:53:00,1,ירי רקטות וטילים,1,46954,ריחאנייה,Rehaniya,ريحانيه,Рехания
11,ריחאנייה,20.10.2024,12:30:59,2024-10-20T12:31:00,1,ירי רקטות וטילים,1,45690,ריחאנייה,Rehaniya,ريحانيه,Рехания
12,ריחאנייה,20.10.2024,12:30:01,2024-10-20T12:30:00,1,ירי רקטות וטילים,1,45665,ריחאנייה,Rehaniya,ريحانيه,Рехания
13,ריחאנייה,20.10.2024,12:29:20,2024-10-20T12:29:00,1,ירי רקטות וטילים,1,45654,ריחאנייה,Rehaniya,ريحانيه,Рехания
14,ריחאנייה,16.10.2024,01:39:42,2024-10-16T01:40:00,1,ירי רקטות וטילים,1,44798,ריחאנייה,Rehaniya,ريحانيه,Рехания
15,ריחאנייה,16.10.2024,01:38:59,2024-10-16T01:39:00,1,ירי רקטות וטילים,1,44786,ריחאנייה,Rehaniya,ريحانيه,Рехания
16,ריחאנייה,11.10.2024,16:31:54,2024-10-11T16:32:00,1,ירי רקטות וטילים,1,43587,ריחאנייה,Rehaniya,ريحانيه,Рехания
