,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,רינתיה,24.11.2024,12:52:33,2024-11-24T12:53:00,1,ירי רקטות וטילים,1,52128,רינתיה,Rinatya,رينتيه,Ринатия
1,רינתיה,12.11.2024,16:36:38,2024-11-12T16:37:00,1,ירי רקטות וטילים,1,50416,רינתיה,Rinatya,رينتيه,Ринатия
2,רינתיה,06.11.2024,16:17:26,2024-11-06T16:17:00,1,ירי רקטות וטילים,1,49388,רינתיה,Rinatya,رينتيه,Ринатия
3,רינתיה,06.11.2024,11:22:42,2024-11-06T11:23:00,1,ירי רקטות וטילים,1,49293,רינתיה,Rinatya,رينتيه,Ринатия
4,רינתיה,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42826,רינתיה,Rinatya,رينتيه,Ринатия
5,רינתיה,01.10.2024,19:39:37,2024-10-01T19:40:00,1,ירי רקטות וטילים,1,40273,רינתיה,Rinatya,رينتيه,Ринатия
6,רינתיה,28.09.2024,17:41:08,2024-09-28T17:41:00,1,ירי רקטות וטילים,1,39011,רינתיה,Rinatya,رينتيه,Ринатия
7,רינתיה,27.09.2024,00:40:30,2024-09-27T00:41:00,1,ירי רקטות וטילים,1,38019,רינתיה,Rinatya,رينتيه,Ринатия
8,רינתיה,15.09.2024,06:32:26,2024-09-15T06:32:00,1,ירי רקטות וטילים,1,36168,רינתיה,Rinatya,رينتيه,Ринатия
9,רינתיה,02.12.2023,22:02:47,2023-12-02T22:03:00,1,ירי רקטות וטילים,1,25990,רינתיה,Rinatya,رينتيه,Ринатия
10,רינתיה,20.11.2023,18:03:48,2023-11-20T18:04:00,1,ירי רקטות וטילים,1,25419,רינתיה,Rinatya,رينتيه,Ринатия
11,רינתיה,07.11.2023,21:01:23,2023-11-07T21:01:00,1,ירי רקטות וטילים,1,24726,רינתיה,Rinatya,رينتيه,Ринатия
12,רינתיה,02.11.2023,17:01:28,2023-11-02T17:01:00,1,ירי רקטות וטילים,1,24344,רינתיה,Rinatya,رينتيه,Ринатия
13,רינתיה,28.10.2023,18:10:41,2023-10-28T18:11:00,1,ירי רקטות וטילים,1,23847,רינתיה,Rinatya,رينتيه,Ринатия
14,רינתיה,24.10.2023,17:01:57,2023-10-24T17:02:00,1,ירי רקטות וטילים,1,23414,רינתיה,Rinatya,رينتيه,Ринатия
15,רינתיה,24.10.2023,15:32:03,2023-10-24T15:32:00,1,ירי רקטות וטילים,1,23317,רינתיה,Rinatya,رينتيه,Ринатия
16,רינתיה,24.10.2023,15:16:12,2023-10-24T15:16:00,1,ירי רקטות וטילים,1,23274,רינתיה,Rinatya,رينتيه,Ринатия
17,רינתיה,17.10.2023,22:00:26,2023-10-17T22:00:00,1,ירי רקטות וטילים,1,22782,רינתיה,Rinatya,رينتيه,Ринатия
18,רינתיה,17.10.2023,19:59:36,2023-10-17T20:00:00,1,ירי רקטות וטילים,1,22732,רינתיה,Rinatya,رينتيه,Ринатия
19,רינתיה,14.10.2023,21:02:19,2023-10-14T21:02:00,1,ירי רקטות וטילים,1,22287,רינתיה,Rinatya,رينتيه,Ринатия
