,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,רמות השבים,24.11.2024,12:53:48,2024-11-24T12:54:00,1,ירי רקטות וטילים,1,52156,רמות השבים,Ramot HaShavim,راموت هشفيم,Рамот ха-Шавим
1,רמות השבים,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51293,רמות השבים,Ramot HaShavim,راموت هشفيم,Рамот ха-Шавим
2,רמות השבים,13.11.2024,17:44:54,2024-11-13T17:45:00,1,ירי רקטות וטילים,1,50662,רמות השבים,Ramot HaShavim,راموت هشفيم,Рамот ха-Шавим
3,רמות השבים,12.11.2024,16:36:09,2024-11-12T16:36:00,1,ירי רקטות וטילים,1,50408,רמות השבים,Ramot HaShavim,راموت هشفيم,Рамот ха-Шавим
4,רמות השבים,06.11.2024,11:21:53,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49251,רמות השבים,Ramot HaShavim,راموت هشفيم,Рамот ха-Шавим
5,רמות השבים,02.11.2024,02:17:36,2024-11-02T02:18:00,1,ירי רקטות וטילים,1,48466,רמות השבים,Ramot HaShavim,راموت هشفيم,Рамот ха-Шавим
6,רמות השבים,23.10.2024,20:33:12,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46850,רמות השבים,Ramot HaShavim,راموت هشفيم,Рамот ха-Шавим
7,רמות השבים,14.10.2024,17:33:13,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44378,רמות השבים,Ramot HaShavim,راموت هشفيم,Рамот ха-Шавим
8,רמות השבים,07.10.2024,23:13:22,2024-10-07T23:13:00,1,ירי רקטות וטילים,1,42931,רמות השבים,Ramot HaShavim,راموت هشفيم,Рамот ха-Шавим
9,רמות השבים,07.10.2024,17:44:29,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42869,רמות השבים,Ramot HaShavim,راموت هشفيم,Рамот ха-Шавим
10,רמות השבים,01.10.2024,11:04:01,2024-10-01T11:04:00,1,ירי רקטות וטילים,1,39450,רמות השבים,Ramot HaShavim,راموت هشفيم,Рамот ха-Шавим
11,רמות השבים,21.12.2023,13:30:32,2023-12-21T13:31:00,1,ירי רקטות וטילים,1,26893,רמות השבים,Ramot HaShavim,راموت هشفيم,Рамот ха-Шавим
12,רמות השבים,20.11.2023,18:03:48,2023-11-20T18:04:00,1,ירי רקטות וטילים,1,25420,רמות השבים,Ramot HaShavim,راموت هشفيم,Рамот ха-Шавим
13,רמות השבים,29.10.2023,12:00:41,2023-10-29T12:01:00,1,ירי רקטות וטילים,1,23935,רמות השבים,Ramot HaShavim,راموت هشفيم,Рамот ха-Шавим
14,רמות השבים,09.10.2023,12:02:17,2023-10-09T12:02:00,1,ירי רקטות וטילים,1,20863,רמות השבים,Ramot HaShavim,راموت هشفيم,Рамот ха-Шавим
15,רמות השבים,07.10.2023,20:00:41,2023-10-07T20:01:00,1,ירי רקטות וטילים,1,20294,רמות השבים,Ramot HaShavim,راموت هشفيم,Рамот ха-Шавим
