,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,רמת גן - מערב,24.11.2024,12:52:43,2024-11-24T12:53:00,1,ירי רקטות וטילים,1,52136,רמת גן - מערב,Ramat Gan - West,رمات غان غرب,Рамат Ган - запад
1,רמת גן - מערב,18.11.2024,20:45:44,2024-11-18T20:46:00,1,ירי רקטות וטילים,1,51228,רמת גן - מערב,Ramat Gan - West,رمات غان غرب,Рамат Ган - запад
2,רמת גן - מערב,12.11.2024,16:35:06,2024-11-12T16:35:00,1,ירי רקטות וטילים,1,50376,רמת גן - מערב,Ramat Gan - West,رمات غان غرب,Рамат Ган - запад
3,רמת גן - מערב,06.11.2024,16:17:26,2024-11-06T16:17:00,1,ירי רקטות וטילים,1,49380,רמת גן - מערב,Ramat Gan - West,رمات غان غرب,Рамат Ган - запад
4,רמת גן - מערב,06.11.2024,11:21:54,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49229,רמת גן - מערב,Ramat Gan - West,رمات غان غرب,Рамат Ган - запад
5,רמת גן - מערב,23.10.2024,20:33:12,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46835,רמת גן - מערב,Ramat Gan - West,رمات غان غرب,Рамат Ган - запад
6,רמת גן - מערב,23.10.2024,08:03:00,2024-10-23T08:03:00,1,ירי רקטות וטילים,1,46504,רמת גן - מערב,Ramat Gan - West,رمات غان غرب,Рамат Ган - запад
7,רמת גן - מערב,22.10.2024,07:43:53,2024-10-22T07:44:00,1,ירי רקטות וטילים,1,46310,רמת גן - מערב,Ramat Gan - West,رمات غان غرب,Рамат Ган - запад
8,רמת גן - מערב,14.10.2024,17:33:13,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44351,רמת גן - מערב,Ramat Gan - West,رمات غان غرب,Рамат Ган - запад
9,רמת גן - מערב,07.10.2024,17:44:29,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42858,רמת גן - מערב,Ramat Gan - West,رمات غان غرب,Рамат Ган - запад
10,רמת גן - מערב,01.10.2024,11:04:01,2024-10-01T11:04:00,1,ירי רקטות וטילים,1,39448,רמת גן - מערב,Ramat Gan - West,رمات غان غرب,Рамат Ган - запад
