,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,רמת השרון,24.11.2024,12:53:58,2024-11-24T12:54:00,1,ירי רקטות וטילים,1,52159,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
1,רמת השרון,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51243,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
2,רמת השרון,12.11.2024,16:35:06,2024-11-12T16:35:00,1,ירי רקטות וטילים,1,50377,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
3,רמת השרון,06.11.2024,11:21:45,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49213,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
4,רמת השרון,23.10.2024,20:33:12,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46836,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
5,רמת השרון,23.10.2024,08:03:00,2024-10-23T08:03:00,1,ירי רקטות וטילים,1,46505,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
6,רמת השרון,22.10.2024,07:45:03,2024-10-22T07:45:00,1,ירי רקטות וטילים,1,46325,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
7,רמת השרון,14.10.2024,17:33:13,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44352,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
8,רמת השרון,11.10.2024,21:54:51,2024-10-11T21:55:00,2,חדירת כלי טיס עוין,6,43726,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
9,רמת השרון,07.10.2024,23:13:21,2024-10-07T23:13:00,1,ירי רקטות וטילים,1,42940,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
10,רמת השרון,07.10.2024,17:44:29,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42859,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
11,רמת השרון,01.10.2024,11:03:18,2024-10-01T11:03:00,1,ירי רקטות וטילים,1,39413,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
12,רמת השרון,26.05.2024,14:01:40,2024-05-26T14:02:00,1,ירי רקטות וטילים,1,31724,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
13,רמת השרון,26.05.2024,14:01:39,2024-05-26T14:02:00,1,ירי רקטות וטילים,1,31731,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
14,רמת השרון,21.12.2023,13:30:29,2023-12-21T13:30:00,1,ירי רקטות וטילים,1,26884,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
15,רמת השרון,20.11.2023,18:03:48,2023-11-20T18:04:00,1,ירי רקטות וטילים,1,25382,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
16,רמת השרון,17.11.2023,18:02:24,2023-11-17T18:02:00,1,ירי רקטות וטילים,1,25164,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
17,רמת השרון,10.11.2023,13:30:43,2023-11-10T13:31:00,1,ירי רקטות וטילים,1,24841,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
18,רמת השרון,07.11.2023,21:00:15,2023-11-07T21:00:00,1,ירי רקטות וטילים,1,24708,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
19,רמת השרון,05.11.2023,20:01:21,2023-11-05T20:01:00,1,ירי רקטות וטילים,1,24551,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
20,רמת השרון,31.10.2023,21:01:58,2023-10-31T21:02:00,1,ירי רקטות וטילים,1,24206,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
21,רמת השרון,31.10.2023,14:32:46,2023-10-31T14:33:00,1,ירי רקטות וטילים,1,24148,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
22,רמת השרון,29.10.2023,12:02:05,2023-10-29T12:02:00,1,ירי רקטות וטילים,1,23941,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
23,רמת השרון,26.10.2023,18:03:49,2023-10-26T18:04:00,1,ירי רקטות וטילים,1,23575,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
24,רמת השרון,24.10.2023,17:01:25,2023-10-24T17:01:00,1,ירי רקטות וטילים,1,23401,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
25,רמת השרון,15.10.2023,13:54:12,2023-10-15T13:54:00,1,ירי רקטות וטילים,1,22318,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
26,רמת השרון,14.10.2023,21:00:16,2023-10-14T21:00:00,1,ירי רקטות וטילים,1,22247,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
27,רמת השרון,10.10.2023,15:46:25,2023-10-10T15:46:00,1,ירי רקטות וטילים,1,21194,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
28,רמת השרון,09.10.2023,12:02:17,2023-10-09T12:02:00,1,ירי רקטות וטילים,1,20859,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
29,רמת השרון,07.10.2023,19:59:46,2023-10-07T20:00:00,1,ירי רקטות וטילים,1,20203,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
30,רמת השרון,07.10.2023,06:33:21,2023-10-07T06:33:00,1,ירי רקטות וטילים,1,16644,רמת השרון,Ramat HaSharon,رمات هشارون,Рамат ха-Шарон
