,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,רמת יוחנן,24.11.2024,18:12:22,2024-11-24T18:12:00,1,ירי רקטות וטילים,1,52382,רמת יוחנן,Ramat Yochana,رمات يوحانان,Рамат Йоханан
1,רמת יוחנן,23.11.2024,04:19:10,2024-11-23T04:19:00,1,ירי רקטות וטילים,1,51874,רמת יוחנן,Ramat Yochana,رمات يوحانان,Рамат Йоханан
2,רמת יוחנן,20.11.2024,06:41:27,2024-11-20T06:41:00,2,חדירת כלי טיס עוין,6,51569,רמת יוחנן,Ramat Yochana,رمات يوحانان,Рамат Йоханан
3,רמת יוחנן,11.11.2024,15:42:07,2024-11-11T15:42:00,1,ירי רקטות וטילים,1,50130,רמת יוחנן,Ramat Yochana,رمات يوحانان,Рамат Йоханан
4,רמת יוחנן,08.11.2024,15:18:46,2024-11-08T15:19:00,1,ירי רקטות וטילים,1,49708,רמת יוחנן,Ramat Yochana,رمات يوحانان,Рамат Йоханан
5,רמת יוחנן,03.11.2024,17:36:36,2024-11-03T17:37:00,2,חדירת כלי טיס עוין,6,48922,רמת יוחנן,Ramat Yochana,رمات يوحانان,Рамат Йоханан
6,רמת יוחנן,02.11.2024,11:05:17,2024-11-02T11:05:00,1,ירי רקטות וטילים,1,48609,רמת יוחנן,Ramat Yochana,رمات يوحانان,Рамат Йоханан
7,רמת יוחנן,02.11.2024,08:23:41,2024-11-02T08:24:00,2,חדירת כלי טיס עוין,6,48571,רמת יוחנן,Ramat Yochana,رمات يوحانان,Рамат Йоханан
8,רמת יוחנן,31.10.2024,21:23:44,2024-10-31T21:24:00,2,חדירת כלי טיס עוין,6,48364,רמת יוחנן,Ramat Yochana,رمات يوحانان,Рамат Йоханан
9,רמת יוחנן,31.10.2024,15:12:31,2024-10-31T15:13:00,1,ירי רקטות וטילים,1,48313,רמת יוחנן,Ramat Yochana,رمات يوحانان,Рамат Йоханан
10,רמת יוחנן,22.10.2024,04:52:55,2024-10-22T04:53:00,1,ירי רקטות וטילים,1,46244,רמת יוחנן,Ramat Yochana,رمات يوحانان,Рамат Йоханан
11,רמת יוחנן,21.10.2024,12:27:35,2024-10-21T12:28:00,1,ירי רקטות וטילים,1,45897,רמת יוחנן,Ramat Yochana,رمات يوحانان,Рамат Йоханан
12,רמת יוחנן,19.10.2024,10:22:42,2024-10-19T10:23:00,1,ירי רקטות וטילים,1,45387,רמת יוחנן,Ramat Yochana,رمات يوحانان,Рамат Йоханан
13,רמת יוחנן,17.10.2024,07:31:13,2024-10-17T07:31:00,1,ירי רקטות וטילים,1,45125,רמת יוחנן,Ramat Yochana,رمات يوحانان,Рамат Йоханан
14,רמת יוחנן,17.10.2024,07:28:17,2024-10-17T07:28:00,1,ירי רקטות וטילים,1,45087,רמת יוחנן,Ramat Yochana,رمات يوحانان,Рамат Йоханан
15,רמת יוחנן,15.10.2024,07:27:51,2024-10-15T07:28:00,1,ירי רקטות וטילים,1,44698,רמת יוחנן,Ramat Yochana,رمات يوحانان,Рамат Йоханан
16,רמת יוחנן,11.10.2024,17:22:02,2024-10-11T17:22:00,1,ירי רקטות וטילים,1,43635,רמת יוחנן,Ramat Yochana,رمات يوحانان,Рамат Йоханан
17,רמת יוחנן,09.10.2024,13:11:53,2024-10-09T13:12:00,1,ירי רקטות וטילים,1,43205,רמת יוחנן,Ramat Yochana,رمات يوحانان,Рамат Йоханан
18,רמת יוחנן,08.10.2024,12:44:33,2024-10-08T12:45:00,1,ירי רקטות וטילים,1,43074,רמת יוחנן,Ramat Yochana,رمات يوحانان,Рамат Йоханан
19,רמת יוחנן,05.10.2024,13:26:43,2024-10-05T13:27:00,1,ירי רקטות וטילים,1,42146,רמת יוחנן,Ramat Yochana,رمات يوحانان,Рамат Йоханан
20,רמת יוחנן,30.09.2024,19:54:06,2024-09-30T19:54:00,1,ירי רקטות וטילים,1,39372,רמת יוחנן,Ramat Yochana,رمات يوحانان,Рамат Йоханан
21,רמת יוחנן,29.09.2024,21:15:11,2024-09-29T21:15:00,1,ירי רקטות וטילים,1,39295,רמת יוחנן,Ramat Yochana,رمات يوحانان,Рамат Йоханан
22,רמת יוחנן,28.09.2024,09:01:02,2024-09-28T09:01:00,1,ירי רקטות וטילים,1,38521,רמת יוחנן,Ramat Yochana,رمات يوحانان,Рамат Йоханан
23,רמת יוחנן,24.09.2024,13:08:44,2024-09-24T13:09:00,1,ירי רקטות וטילים,1,37500,רמת יוחנן,Ramat Yochana,رمات يوحانان,Рамат Йоханан
24,רמת יוחנן,23.09.2024,17:41:37,2024-09-23T17:42:00,1,ירי רקטות וטילים,1,37183,רמת יוחנן,Ramat Yochana,رمات يوحانان,Рамат Йоханан
