,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,רעננה,24.11.2024,12:53:59,2024-11-24T12:54:00,1,ירי רקטות וטילים,1,52157,רעננה,Ra'anana,رعنانا,Раанана
1,רעננה,24.11.2024,07:27:22,2024-11-24T07:27:00,1,ירי רקטות וטילים,1,51995,רעננה,Ra'anana,رعنانا,Раанана
2,רעננה,19.11.2024,08:53:04,2024-11-19T08:53:00,1,ירי רקטות וטילים,1,51363,רעננה,Ra'anana,رعنانا,Раанана
3,רעננה,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51244,רעננה,Ra'anana,رعنانا,Раанана
4,רעננה,13.11.2024,17:44:52,2024-11-13T17:45:00,1,ירי רקטות וטילים,1,50646,רעננה,Ra'anana,رعنانا,Раанана
5,רעננה,12.11.2024,16:36:09,2024-11-12T16:36:00,1,ירי רקטות וטילים,1,50403,רעננה,Ra'anana,رعنانا,Раанана
6,רעננה,06.11.2024,11:21:53,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49232,רעננה,Ra'anana,رعنانا,Раанана
7,רעננה,02.11.2024,02:17:36,2024-11-02T02:18:00,1,ירי רקטות וטילים,1,48453,רעננה,Ra'anana,رعنانا,Раанана
8,רעננה,23.10.2024,20:33:12,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46837,רעננה,Ra'anana,رعنانا,Раанана
9,רעננה,23.10.2024,08:04:16,2024-10-23T08:04:00,1,ירי רקטות וטילים,1,46553,רעננה,Ra'anana,رعنانا,Раанана
10,רעננה,14.10.2024,17:33:13,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44353,רעננה,Ra'anana,رعنانا,Раанана
11,רעננה,07.10.2024,23:14:19,2024-10-07T23:14:00,1,ירי רקטות וטילים,1,42945,רעננה,Ra'anana,رعنانا,Раанана
12,רעננה,07.10.2024,17:44:29,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42860,רעננה,Ra'anana,رعنانا,Раанана
13,רעננה,01.10.2024,11:03:18,2024-10-01T11:03:00,1,ירי רקטות וטילים,1,39414,רעננה,Ra'anana,رعنانا,Раанана
14,רעננה,26.05.2024,14:00:22,2024-05-26T14:00:00,1,ירי רקטות וטילים,1,31716,רעננה,Ra'anana,رعنانا,Раанана
15,רעננה,21.12.2023,13:30:32,2023-12-21T13:31:00,1,ירי רקטות וטילים,1,26888,רעננה,Ra'anana,رعنانا,Раанана
16,רעננה,20.11.2023,18:03:48,2023-11-20T18:04:00,1,ירי רקטות וטילים,1,25383,רעננה,Ra'anana,رعنانا,Раанана
17,רעננה,07.11.2023,21:00:15,2023-11-07T21:00:00,1,ירי רקטות וטילים,1,24709,רעננה,Ra'anana,رعنانا,Раанана
18,רעננה,31.10.2023,14:31:22,2023-10-31T14:31:00,1,ירי רקטות וטילים,1,24140,רעננה,Ra'anana,رعنانا,Раанана
19,רעננה,29.10.2023,12:00:41,2023-10-29T12:01:00,1,ירי רקטות וטילים,1,23931,רעננה,Ra'anana,رعنانا,Раанана
20,רעננה,24.10.2023,17:01:25,2023-10-24T17:01:00,1,ירי רקטות וטילים,1,23402,רעננה,Ra'anana,رعنانا,Раанана
21,רעננה,09.10.2023,12:00:49,2023-10-09T12:01:00,1,ירי רקטות וטילים,1,20835,רעננה,Ra'anana,رعنانا,Раанана
22,רעננה,07.10.2023,20:00:41,2023-10-07T20:01:00,1,ירי רקטות וטילים,1,20288,רעננה,Ra'anana,رعنانا,Раанана
23,רעננה,07.10.2023,06:33:21,2023-10-07T06:33:00,1,ירי רקטות וטילים,1,16645,רעננה,Ra'anana,رعنانا,Раанана
