,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,רקפת,24.11.2024,18:09:22,2024-11-24T18:09:00,1,ירי רקטות וטילים,1,52346,רקפת,Rakefet,ركيفت,Ракефет
1,רקפת,19.11.2024,09:50:20,2024-11-19T09:50:00,1,ירי רקטות וטילים,1,51401,רקפת,Rakefet,ركيفت,Ракефет
2,רקפת,11.11.2024,12:08:06,2024-11-11T12:08:00,1,ירי רקטות וטילים,1,50049,רקפת,Rakefet,ركيفت,Ракефет
3,רקפת,02.11.2024,13:57:32,2024-11-02T13:58:00,1,ירי רקטות וטילים,1,48682,רקפת,Rakefet,ركيفت,Ракефет
4,רקפת,01.11.2024,13:36:06,2024-11-01T13:36:00,1,ירי רקטות וטילים,1,48421,רקפת,Rakefet,ركيفت,Ракефет
5,רקפת,27.10.2024,12:32:03,2024-10-27T12:32:00,1,ירי רקטות וטילים,1,47380,רקפת,Rakefet,ركيفت,Ракефет
6,רקפת,21.10.2024,12:28:43,2024-10-21T12:29:00,1,ירי רקטות וטילים,1,46010,רקפת,Rakefet,ركيفت,Ракефет
7,רקפת,17.10.2024,03:28:33,2024-10-17T03:29:00,1,ירי רקטות וטילים,1,45036,רקפת,Rakefet,ركيفت,Ракефет
8,רקפת,14.10.2024,14:33:01,2024-10-14T14:33:00,1,ירי רקטות וטילים,1,44293,רקפת,Rakefet,ركيفت,Ракефет
9,רקפת,13.10.2024,14:02:06,2024-10-13T14:02:00,1,ירי רקטות וטילים,1,44019,רקפת,Rakefet,ركيفت,Ракефет
10,רקפת,11.10.2024,17:22:19,2024-10-11T17:22:00,1,ירי רקטות וטילים,1,43652,רקפת,Rakefet,ركيفت,Ракефет
11,רקפת,05.10.2024,16:44:43,2024-10-05T16:45:00,1,ירי רקטות וטילים,1,42235,רקפת,Rakefet,ركيفت,Ракефет
12,רקפת,04.10.2024,13:00:13,2024-10-04T13:00:00,1,ירי רקטות וטילים,1,42002,רקפת,Rakefet,ركيفت,Ракефет
13,רקפת,03.10.2024,16:31:24,2024-10-03T16:31:00,1,ירי רקטות וטילים,1,41803,רקפת,Rakefet,ركيفت,Ракефет
14,רקפת,28.09.2024,10:43:27,2024-09-28T10:43:00,1,ירי רקטות וטילים,1,38819,רקפת,Rakefet,ركيفت,Ракефет
15,רקפת,28.09.2024,09:35:21,2024-09-28T09:35:00,1,ירי רקטות וטילים,1,38580,רקפת,Rakefet,ركيفت,Ракефет
16,רקפת,28.09.2024,07:59:03,2024-09-28T07:59:00,1,ירי רקטות וטילים,1,38242,רקפת,Rakefet,ركيفت,Ракефет
17,רקפת,24.09.2024,15:12:32,2024-09-24T15:13:00,1,ירי רקטות וטילים,1,37603,רקפת,Rakefet,ركيفت,Ракефет
18,רקפת,23.06.2024,11:25:42,2024-06-23T11:26:00,1,ירי רקטות וטילים,1,33291,רקפת,Rakefet,ركيفت,Ракефет
19,רקפת,13.10.2023,15:02:31,2023-10-13T15:03:00,1,ירי רקטות וטילים,1,21976,רקפת,Rakefet,ركيفت,Ракефет
20,רקפת,11.10.2023,18:35:13,2023-10-11T18:35:00,2,חדירת כלי טיס עוין,6,21654,רקפת,Rakefet,ركيفت,Ракефет
