,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,שאר ישוב,24.11.2024,15:34:48,2024-11-24T15:35:00,1,ירי רקטות וטילים,1,52290,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
1,שאר ישוב,10.11.2024,00:45:17,2024-11-10T00:45:00,2,חדירת כלי טיס עוין,6,49883,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
2,שאר ישוב,06.11.2024,15:00:34,2024-11-06T15:01:00,1,ירי רקטות וטילים,1,49339,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
3,שאר ישוב,29.10.2024,20:23:30,2024-10-29T20:24:00,1,ירי רקטות וטילים,1,47952,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
4,שאר ישוב,29.10.2024,07:51:17,2024-10-29T07:51:00,2,חדירת כלי טיס עוין,6,47587,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
5,שאר ישוב,26.10.2024,16:04:10,2024-10-26T16:04:00,1,ירי רקטות וטילים,1,47267,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
6,שאר ישוב,26.10.2024,16:03:33,2024-10-26T16:04:00,1,ירי רקטות וטילים,1,47264,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
7,שאר ישוב,24.10.2024,16:48:02,2024-10-24T16:48:00,1,ירי רקטות וטילים,1,47016,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
8,שאר ישוב,24.10.2024,16:46:47,2024-10-24T16:47:00,2,חדירת כלי טיס עוין,6,47015,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
9,שאר ישוב,24.10.2024,16:40:53,2024-10-24T16:41:00,2,חדירת כלי טיס עוין,6,46990,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
10,שאר ישוב,22.10.2024,16:16:50,2024-10-22T16:17:00,1,ירי רקטות וטילים,1,46375,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
11,שאר ישוב,20.10.2024,18:40:06,2024-10-20T18:40:00,1,ירי רקטות וטילים,1,45809,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
12,שאר ישוב,16.10.2024,00:10:38,2024-10-16T00:11:00,1,ירי רקטות וטילים,1,44779,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
13,שאר ישוב,15.10.2024,18:50:59,2024-10-15T18:51:00,1,ירי רקטות וטילים,1,44758,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
14,שאר ישוב,12.10.2024,16:48:59,2024-10-12T16:49:00,1,ירי רקטות וטילים,1,43828,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
15,שאר ישוב,08.10.2024,17:54:32,2024-10-08T17:55:00,2,חדירת כלי טיס עוין,6,43107,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
16,שאר ישוב,07.10.2024,16:09:21,2024-10-07T16:09:00,1,ירי רקטות וטילים,1,42617,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
17,שאר ישוב,05.10.2024,14:56:58,2024-10-05T14:57:00,1,ירי רקטות וטילים,1,42216,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
18,שאר ישוב,05.10.2024,14:56:21,2024-10-05T14:56:00,1,ירי רקטות וטילים,1,42210,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
19,שאר ישוב,02.10.2024,08:01:15,2024-10-02T08:01:00,1,ירי רקטות וטילים,1,41509,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
20,שאר ישוב,30.09.2024,11:12:27,2024-09-30T11:12:00,1,ירי רקטות וטילים,1,39320,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
21,שאר ישוב,27.09.2024,15:49:09,2024-09-27T15:49:00,1,ירי רקטות וטילים,1,38141,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
22,שאר ישוב,24.09.2024,10:50:43,2024-09-24T10:51:00,1,ירי רקטות וטילים,1,37482,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
23,שאר ישוב,16.09.2024,14:19:21,2024-09-16T14:19:00,1,ירי רקטות וטילים,1,36280,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
24,שאר ישוב,15.09.2024,18:13:03,2024-09-15T18:13:00,2,חדירת כלי טיס עוין,6,36267,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
25,שאר ישוב,15.09.2024,18:12:02,2024-09-15T18:12:00,2,חדירת כלי טיס עוין,6,36264,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
26,שאר ישוב,15.09.2024,16:03:34,2024-09-15T16:04:00,1,ירי רקטות וטילים,1,36258,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
27,שאר ישוב,14.09.2024,14:11:19,2024-09-14T14:11:00,1,ירי רקטות וטילים,1,36114,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
28,שאר ישוב,13.09.2024,18:56:39,2024-09-13T18:57:00,1,ירי רקטות וטילים,1,36068,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
29,שאר ישוב,08.09.2024,18:58:06,2024-09-08T18:58:00,2,חדירת כלי טיס עוין,6,35901,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
30,שאר ישוב,08.09.2024,05:35:33,2024-09-08T05:36:00,1,ירי רקטות וטילים,1,35886,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
31,שאר ישוב,03.09.2024,15:52:43,2024-09-03T15:53:00,2,חדירת כלי טיס עוין,6,35748,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
32,שאר ישוב,29.08.2024,14:00:36,2024-08-29T14:01:00,1,ירי רקטות וטילים,1,35640,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
33,שאר ישוב,27.08.2024,19:27:00,2024-08-27T19:27:00,2,חדירת כלי טיס עוין,6,35619,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
34,שאר ישוב,25.08.2024,06:41:54,2024-08-25T06:42:00,1,ירי רקטות וטילים,1,35544,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
35,שאר ישוב,25.08.2024,06:12:33,2024-08-25T06:13:00,1,ירי רקטות וטילים,1,35503,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
36,שאר ישוב,25.08.2024,06:11:39,2024-08-25T06:12:00,1,ירי רקטות וטילים,1,35499,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
37,שאר ישוב,20.08.2024,19:20:01,2024-08-20T19:20:00,2,חדירת כלי טיס עוין,6,35198,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
38,שאר ישוב,20.08.2024,19:18:59,2024-08-20T19:19:00,2,חדירת כלי טיס עוין,6,35195,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
39,שאר ישוב,20.08.2024,19:16:40,2024-08-20T19:17:00,2,חדירת כלי טיס עוין,6,35182,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
40,שאר ישוב,16.08.2024,22:47:52,2024-08-16T22:48:00,1,ירי רקטות וטילים,1,35071,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
41,שאר ישוב,07.08.2024,18:05:45,2024-08-07T18:06:00,2,חדירת כלי טיס עוין,6,34834,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
42,שאר ישוב,06.08.2024,18:26:32,2024-08-06T18:27:00,1,ירי רקטות וטילים,1,34795,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
43,שאר ישוב,03.08.2024,16:25:34,2024-08-03T16:26:00,1,ירי רקטות וטילים,1,34654,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
44,שאר ישוב,31.07.2024,07:29:15,2024-07-31T07:29:00,1,ירי רקטות וטילים,1,34617,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
45,שאר ישוב,30.07.2024,15:52:44,2024-07-30T15:53:00,2,חדירת כלי טיס עוין,6,34600,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
46,שאר ישוב,30.07.2024,15:49:43,2024-07-30T15:50:00,2,חדירת כלי טיס עוין,6,34577,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
47,שאר ישוב,30.07.2024,14:53:09,2024-07-30T14:53:00,1,ירי רקטות וטילים,1,34565,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
48,שאר ישוב,27.07.2024,17:24:10,2024-07-27T17:24:00,1,ירי רקטות וטילים,1,34508,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
49,שאר ישוב,27.07.2024,17:23:26,2024-07-27T17:23:00,1,ירי רקטות וטילים,1,34495,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
50,שאר ישוב,26.07.2024,13:04:52,2024-07-26T13:05:00,1,ירי רקטות וטילים,1,34463,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
51,שאר ישוב,22.07.2024,19:31:32,2024-07-22T19:32:00,2,חדירת כלי טיס עוין,6,34306,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
52,שאר ישוב,22.07.2024,07:41:20,2024-07-22T07:41:00,1,ירי רקטות וטילים,1,34281,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
53,שאר ישוב,21.07.2024,12:06:28,2024-07-21T12:06:00,1,ירי רקטות וטילים,1,34244,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
54,שאר ישוב,20.07.2024,19:37:26,2024-07-20T19:37:00,2,חדירת כלי טיס עוין,6,34221,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
55,שאר ישוב,20.07.2024,15:36:04,2024-07-20T15:36:00,1,ירי רקטות וטילים,1,34199,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
56,שאר ישוב,20.07.2024,11:57:38,2024-07-20T11:58:00,2,חדירת כלי טיס עוין,6,34197,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
57,שאר ישוב,10.07.2024,15:01:58,2024-07-10T15:02:00,1,ירי רקטות וטילים,1,33926,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
58,שאר ישוב,10.07.2024,15:01:20,2024-07-10T15:01:00,1,ירי רקטות וטילים,1,33922,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
59,שאר ישוב,07.07.2024,19:07:19,2024-07-07T19:07:00,1,ירי רקטות וטילים,1,33879,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
60,שאר ישוב,06.07.2024,08:27:59,2024-07-06T08:28:00,2,חדירת כלי טיס עוין,6,33818,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
61,שאר ישוב,06.07.2024,08:26:56,2024-07-06T08:27:00,1,ירי רקטות וטילים,1,33813,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
62,שאר ישוב,04.07.2024,10:43:36,2024-07-04T10:44:00,2,חדירת כלי טיס עוין,6,33657,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
63,שאר ישוב,04.07.2024,10:41:09,2024-07-04T10:41:00,2,חדירת כלי טיס עוין,6,33644,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
64,שאר ישוב,04.07.2024,10:40:57,2024-07-04T10:41:00,2,חדירת כלי טיס עוין,6,33637,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
65,שאר ישוב,04.07.2024,10:39:14,2024-07-04T10:39:00,2,חדירת כלי טיס עוין,6,33634,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
66,שאר ישוב,04.07.2024,10:32:38,2024-07-04T10:33:00,2,חדירת כלי טיס עוין,6,33614,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
67,שאר ישוב,03.07.2024,17:40:43,2024-07-03T17:41:00,1,ירי רקטות וטילים,1,33557,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
68,שאר ישוב,01.07.2024,10:33:29,2024-07-01T10:33:00,1,ירי רקטות וטילים,1,33511,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
69,שאר ישוב,30.06.2024,16:07:53,2024-06-30T16:08:00,2,חדירת כלי טיס עוין,6,33479,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
70,שאר ישוב,23.06.2024,06:47:47,2024-06-23T06:48:00,2,חדירת כלי טיס עוין,6,33280,שאר ישוב,Shear Yeshuv,شآر يشوف,Шаар Йешув
