,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,שדה נחמיה,24.11.2024,13:45:52,2024-11-24T13:46:00,1,ירי רקטות וטילים,1,52231,שדה נחמיה,Sdeh Nechemia,سديه ناحميه,Сдэ Нехемия
1,שדה נחמיה,24.11.2024,13:45:00,2024-11-24T13:45:00,1,ירי רקטות וטילים,1,52222,שדה נחמיה,Sdeh Nechemia,سديه ناحميه,Сдэ Нехемия
2,שדה נחמיה,24.11.2024,00:10:17,2024-11-24T00:10:00,1,ירי רקטות וטילים,1,51923,שדה נחמיה,Sdeh Nechemia,سديه ناحميه,Сдэ Нехемия
3,שדה נחמיה,14.11.2024,22:02:23,2024-11-14T22:02:00,1,ירי רקטות וטילים,1,50847,שדה נחמיה,Sdeh Nechemia,سديه ناحميه,Сдэ Нехемия
4,שדה נחמיה,13.11.2024,16:05:06,2024-11-13T16:05:00,1,ירי רקטות וטילים,1,50561,שדה נחמיה,Sdeh Nechemia,سديه ناحميه,Сдэ Нехемия
5,שדה נחמיה,12.11.2024,07:02:14,2024-11-12T07:02:00,1,ירי רקטות וטילים,1,50248,שדה נחמיה,Sdeh Nechemia,سديه ناحميه,Сдэ Нехемия
6,שדה נחמיה,08.11.2024,15:39:59,2024-11-08T15:40:00,2,חדירת כלי טיס עוין,6,49758,שדה נחמיה,Sdeh Nechemia,سديه ناحميه,Сдэ Нехемия
7,שדה נחמיה,01.11.2024,06:39:23,2024-11-01T06:39:00,1,ירי רקטות וטילים,1,48389,שדה נחמיה,Sdeh Nechemia,سديه ناحميه,Сдэ Нехемия
8,שדה נחמיה,28.10.2024,07:13:29,2024-10-28T07:13:00,1,ירי רקטות וטילים,1,47474,שדה נחמיה,Sdeh Nechemia,سديه ناحميه,Сдэ Нехемия
9,שדה נחמיה,24.10.2024,18:20:18,2024-10-24T18:20:00,2,חדירת כלי טיס עוין,6,47040,שדה נחמיה,Sdeh Nechemia,سديه ناحميه,Сдэ Нехемия
10,שדה נחמיה,24.10.2024,16:46:14,2024-10-24T16:46:00,2,חדירת כלי טיס עוין,6,47012,שדה נחמיה,Sdeh Nechemia,سديه ناحميه,Сдэ Нехемия
11,שדה נחמיה,11.10.2024,10:47:25,2024-10-11T10:47:00,1,ירי רקטות וטילים,1,43511,שדה נחמיה,Sdeh Nechemia,سديه ناحميه,Сдэ Нехемия
