,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,שדי חמד,24.11.2024,18:31:06,2024-11-24T18:31:00,1,ירי רקטות וטילים,1,52410,שדי חמד,Sdei Hemed,سديه حيمد,Сдей Хемед
1,שדי חמד,24.11.2024,12:53:34,2024-11-24T12:54:00,1,ירי רקטות וטילים,1,52146,שדי חמד,Sdei Hemed,سديه حيمد,Сдей Хемед
2,שדי חמד,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51296,שדי חמד,Sdei Hemed,سديه حيمد,Сдей Хемед
3,שדי חמד,08.11.2024,15:19:59,2024-11-08T15:20:00,1,ירי רקטות וטילים,1,49747,שדי חמד,Sdei Hemed,سديه حيمد,Сдей Хемед
4,שדי חמד,06.11.2024,11:21:53,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49252,שדי חמד,Sdei Hemed,سديه حيمد,Сдей Хемед
5,שדי חמד,02.11.2024,02:17:36,2024-11-02T02:18:00,1,ירי רקטות וטילים,1,48467,שדי חמד,Sdei Hemed,سديه حيمد,Сдей Хемед
6,שדי חמד,23.10.2024,20:33:13,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46820,שדי חמד,Sdei Hemed,سديه حيمد,Сдей Хемед
7,שדי חמד,14.10.2024,17:33:13,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44381,שדי חמד,Sdei Hemed,سديه حيمد,Сдей Хемед
8,שדי חמד,07.10.2024,23:13:22,2024-10-07T23:13:00,1,ירי רקטות וטילים,1,42932,שדי חמד,Sdei Hemed,سديه حيمد,Сдей Хемед
9,שדי חמד,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42827,שדי חמד,Sdei Hemed,سديه حيمد,Сдей Хемед
10,שדי חמד,01.10.2024,18:37:32,2024-10-01T18:38:00,1,ירי רקטות וטילים,1,39639,שדי חמד,Sdei Hemed,سديه حيمد,Сдей Хемед
11,שדי חמד,01.10.2024,11:03:35,2024-10-01T11:04:00,1,ירי רקטות וטילים,1,39433,שדי חמד,Sdei Hemed,سديه حيمد,Сдей Хемед
12,שדי חמד,26.05.2024,14:00:12,2024-05-26T14:00:00,1,ירי רקטות וטילים,1,31714,שדי חמד,Sdei Hemed,سديه حيمد,Сдей Хемед
13,שדי חמד,31.10.2023,14:36:39,2023-10-31T14:37:00,1,ירי רקטות וטילים,1,24156,שדי חמד,Sdei Hemed,سديه حيمد,Сдей Хемед
14,שדי חמד,14.10.2023,21:01:04,2023-10-14T21:01:00,1,ירי רקטות וטילים,1,22265,שדי חמד,Sdei Hemed,سديه حيمد,Сдей Хемед
15,שדי חמד,07.10.2023,20:00:37,2023-10-07T20:01:00,1,ירי רקטות וטילים,1,20279,שדי חמד,Sdei Hemed,سديه حيمد,Сдей Хемед
