,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,שומרה,24.11.2024,18:09:46,2024-11-24T18:10:00,1,ירי רקטות וטילים,1,52350,שומרה,Shomera,شومره,Шомера
1,שומרה,24.11.2024,15:44:27,2024-11-24T15:44:00,1,ירי רקטות וטילים,1,52305,שומרה,Shomera,شومره,Шомера
2,שומרה,24.11.2024,14:37:11,2024-11-24T14:37:00,1,ירי רקטות וטילים,1,52265,שומרה,Shomera,شومره,Шомера
3,שומרה,24.11.2024,08:44:34,2024-11-24T08:45:00,1,ירי רקטות וטילים,1,52053,שומרה,Shomera,شومره,Шомера
4,שומרה,24.11.2024,08:43:58,2024-11-24T08:44:00,1,ירי רקטות וטילים,1,52042,שומרה,Shomera,شومره,Шомера
5,שומרה,24.11.2024,06:25:39,2024-11-24T06:26:00,2,חדירת כלי טיס עוין,6,51953,שומרה,Shomera,شومره,Шомера
6,שומרה,24.11.2024,06:22:08,2024-11-24T06:22:00,2,חדירת כלי טיס עוין,6,51944,שומרה,Shomera,شومره,Шомера
7,שומרה,22.11.2024,15:45:24,2024-11-22T15:45:00,1,ירי רקטות וטילים,1,51749,שומרה,Shomera,شومره,Шомера
8,שומרה,22.11.2024,13:36:54,2024-11-22T13:37:00,1,ירי רקטות וטילים,1,51719,שומרה,Shomera,شومره,Шомера
9,שומרה,18.11.2024,11:48:16,2024-11-18T11:48:00,1,ירי רקטות וטילים,1,51158,שומרה,Shomera,شومره,Шомера
10,שומרה,13.11.2024,12:15:01,2024-11-13T12:15:00,1,ירי רקטות וטילים,1,50489,שומרה,Shomera,شومره,Шомера
11,שומרה,12.11.2024,15:06:41,2024-11-12T15:07:00,1,ירי רקטות וטילים,1,50332,שומרה,Shomera,شومره,Шомера
12,שומרה,11.11.2024,13:35:21,2024-11-11T13:35:00,1,ירי רקטות וטילים,1,50100,שומרה,Shomera,شومره,Шомера
13,שומרה,11.11.2024,12:08:16,2024-11-11T12:08:00,1,ירי רקטות וטילים,1,50069,שומרה,Shomera,شومره,Шомера
14,שומרה,11.11.2024,11:54:26,2024-11-11T11:54:00,1,ירי רקטות וטילים,1,50002,שומרה,Shomera,شومره,Шомера
15,שומרה,11.11.2024,10:29:58,2024-11-11T10:30:00,1,ירי רקטות וטילים,1,49991,שומרה,Shomera,شومره,Шомера
16,שומרה,10.11.2024,12:38:57,2024-11-10T12:39:00,1,ירי רקטות וטילים,1,49909,שומרה,Shomera,شومره,Шомера
17,שומרה,07.11.2024,16:15:57,2024-11-07T16:16:00,1,ירי רקטות וטילים,1,49554,שומרה,Shomera,شومره,Шомера
18,שומרה,07.11.2024,16:15:15,2024-11-07T16:15:00,1,ירי רקטות וטילים,1,49541,שומרה,Shomera,شومره,Шомера
19,שומרה,07.11.2024,16:14:39,2024-11-07T16:15:00,1,ירי רקטות וטילים,1,49527,שומרה,Shomera,شومره,Шомера
20,שומרה,07.11.2024,13:41:49,2024-11-07T13:42:00,1,ירי רקטות וטילים,1,49452,שומרה,Shomera,شومره,Шомера
21,שומרה,06.11.2024,23:11:43,2024-11-06T23:12:00,1,ירי רקטות וטילים,1,49448,שומרה,Shomera,شومره,Шомера
22,שומרה,03.11.2024,07:29:39,2024-11-03T07:30:00,1,ירי רקטות וטילים,1,48809,שומרה,Shomera,شومره,Шомера
23,שומרה,01.11.2024,13:36:23,2024-11-01T13:36:00,1,ירי רקטות וטילים,1,48424,שומרה,Shomera,شومره,Шомера
24,שומרה,01.11.2024,08:35:24,2024-11-01T08:35:00,1,ירי רקטות וטילים,1,48400,שומרה,Shomera,شومره,Шомера
25,שומרה,31.10.2024,15:18:51,2024-10-31T15:19:00,1,ירי רקטות וטילים,1,48326,שומרה,Shomera,شومره,Шомера
26,שומרה,29.10.2024,15:31:41,2024-10-29T15:32:00,1,ירי רקטות וטילים,1,47937,שומרה,Shomera,شومره,Шомера
27,שומרה,29.10.2024,10:38:38,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47796,שומרה,Shomera,شومره,Шомера
28,שומרה,29.10.2024,10:38:36,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47805,שומרה,Shomera,شومره,Шомера
29,שומרה,28.10.2024,17:10:41,2024-10-28T17:11:00,1,ירי רקטות וטילים,1,47549,שומרה,Shomera,شومره,Шомера
30,שומרה,28.10.2024,17:09:42,2024-10-28T17:10:00,1,ירי רקטות וטילים,1,47545,שומרה,Shomera,شومره,Шомера
31,שומרה,28.10.2024,15:39:41,2024-10-28T15:40:00,1,ירי רקטות וטילים,1,47533,שומרה,Shomera,شومره,Шомера
32,שומרה,25.10.2024,14:47:06,2024-10-25T14:47:00,1,ירי רקטות וטילים,1,47119,שומרה,Shomera,شومره,Шомера
33,שומרה,25.10.2024,12:26:27,2024-10-25T12:26:00,1,ירי רקטות וטילים,1,47115,שומרה,Shomera,شومره,Шомера
34,שומרה,22.10.2024,16:43:28,2024-10-22T16:43:00,1,ירי רקטות וטילים,1,46382,שומרה,Shomera,شومره,Шомера
35,שומרה,22.10.2024,14:11:49,2024-10-22T14:12:00,1,ירי רקטות וטילים,1,46366,שומרה,Shomera,شومره,Шомера
36,שומרה,21.10.2024,16:10:19,2024-10-21T16:10:00,1,ירי רקטות וטילים,1,46161,שומרה,Shomera,شومره,Шомера
37,שומרה,21.10.2024,15:44:25,2024-10-21T15:44:00,1,ירי רקטות וטילים,1,46156,שומרה,Shomera,شومره,Шомера
38,שומרה,19.10.2024,18:28:38,2024-10-19T18:29:00,1,ירי רקטות וטילים,1,45513,שומרה,Shomera,شومره,Шомера
39,שומרה,19.10.2024,12:27:21,2024-10-19T12:27:00,1,ירי רקטות וטילים,1,45482,שומרה,Shomera,شومره,Шомера
40,שומרה,19.10.2024,12:20:47,2024-10-19T12:21:00,1,ירי רקטות וטילים,1,45441,שומרה,Shomera,شومره,Шомера
41,שומרה,18.10.2024,15:02:27,2024-10-18T15:02:00,1,ירי רקטות וטילים,1,45264,שומרה,Shomera,شومره,Шомера
42,שומרה,18.10.2024,14:40:29,2024-10-18T14:40:00,1,ירי רקטות וטילים,1,45262,שומרה,Shomera,شومره,Шомера
43,שומרה,18.10.2024,10:13:38,2024-10-18T10:14:00,1,ירי רקטות וטילים,1,45250,שומרה,Shomera,شومره,Шомера
44,שומרה,17.10.2024,07:29:33,2024-10-17T07:30:00,1,ירי רקטות וטילים,1,45120,שומרה,Shomera,شومره,Шомера
45,שומרה,13.10.2024,19:01:13,2024-10-13T19:01:00,1,ירי רקטות וטילים,1,44134,שומרה,Shomera,شومره,Шомера
46,שומרה,13.10.2024,15:23:30,2024-10-13T15:24:00,1,ירי רקטות וטילים,1,44071,שומרה,Shomera,شومره,Шомера
47,שומרה,13.10.2024,15:22:53,2024-10-13T15:23:00,1,ירי רקטות וטילים,1,44068,שומרה,Shomera,شومره,Шомера
48,שומרה,13.10.2024,15:19:12,2024-10-13T15:19:00,1,ירי רקטות וטילים,1,44064,שומרה,Shomera,شومره,Шомера
49,שומרה,13.10.2024,15:17:51,2024-10-13T15:18:00,1,ירי רקטות וטילים,1,44061,שומרה,Shomera,شومره,Шомера
50,שומרה,13.10.2024,14:54:25,2024-10-13T14:54:00,1,ירי רקטות וטילים,1,44059,שומרה,Shomera,شومره,Шомера
51,שומרה,13.10.2024,07:05:40,2024-10-13T07:06:00,1,ירי רקטות וטילים,1,43916,שומרה,Shomera,شومره,Шомера
52,שומרה,13.10.2024,06:17:49,2024-10-13T06:18:00,1,ירי רקטות וטילים,1,43885,שומרה,Shomera,شومره,Шомера
53,שומרה,13.10.2024,06:08:41,2024-10-13T06:09:00,1,ירי רקטות וטילים,1,43882,שומרה,Shomera,شومره,Шомера
54,שומרה,13.10.2024,05:48:57,2024-10-13T05:49:00,1,ירי רקטות וטילים,1,43881,שומרה,Shomera,شومره,Шомера
55,שומרה,12.10.2024,02:13:07,2024-10-12T02:13:00,1,ירי רקטות וטילים,1,43734,שומרה,Shomera,شومره,Шомера
56,שומרה,11.10.2024,15:20:19,2024-10-11T15:20:00,1,ירי רקטות וטילים,1,43528,שומרה,Shomera,شومره,Шомера
