,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,שומרת,24.11.2024,13:01:10,2024-11-24T13:01:00,1,ירי רקטות וטילים,1,52176,שומרת,Shomrat,شومرات,Шомрат
1,שומרת,22.11.2024,21:11:40,2024-11-22T21:12:00,2,חדירת כלי טיס עוין,6,51839,שומרת,Shomrat,شومرات,Шомрат
2,שומרת,20.11.2024,16:19:24,2024-11-20T16:19:00,1,ירי רקטות וטילים,1,51597,שומרת,Shomrat,شومرات,Шомрат
3,שומרת,17.11.2024,10:12:43,2024-11-17T10:13:00,1,ירי רקטות וטילים,1,51086,שומרת,Shomrat,شومرات,Шомрат
4,שומרת,16.11.2024,14:44:57,2024-11-16T14:45:00,1,ירי רקטות וטילים,1,51017,שומרת,Shomrat,شومرات,Шомрат
5,שומרת,13.11.2024,14:53:54,2024-11-13T14:54:00,2,חדירת כלי טיס עוין,6,50525,שומרת,Shomrat,شومرات,Шомрат
6,שומרת,07.11.2024,13:47:13,2024-11-07T13:47:00,1,ירי רקטות וטילים,1,49475,שומרת,Shomrat,شومرات,Шомрат
7,שומרת,03.11.2024,17:26:17,2024-11-03T17:26:00,2,חדירת כלי טיס עוין,6,48897,שומרת,Shomrat,شومرات,Шомрат
8,שומרת,02.11.2024,16:22:01,2024-11-02T16:22:00,2,חדירת כלי טיס עוין,6,48762,שומרת,Shomrat,شومرات,Шомрат
9,שומרת,02.11.2024,12:45:36,2024-11-02T12:46:00,1,ירי רקטות וטילים,1,48664,שומרת,Shomrat,شومرات,Шомрат
10,שומרת,02.11.2024,11:05:37,2024-11-02T11:06:00,1,ירי רקטות וטילים,1,48630,שומרת,Shomrat,شومرات,Шомрат
11,שומרת,02.11.2024,08:14:13,2024-11-02T08:14:00,2,חדירת כלי טיס עוין,6,48536,שומרת,Shomrat,شومرات,Шомрат
12,שומרת,30.10.2024,17:38:01,2024-10-30T17:38:00,2,חדירת כלי טיס עוין,6,48210,שומרת,Shomrat,شومرات,Шомрат
13,שומרת,30.10.2024,17:26:51,2024-10-30T17:27:00,2,חדירת כלי טיס עוין,6,48152,שומרת,Shomrat,شومرات,Шомрат
14,שומרת,26.10.2024,04:06:29,2024-10-26T04:06:00,2,חדירת כלי טיס עוין,6,47190,שומרת,Shomrat,شومرات,Шомрат
