,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,שלומי,24.11.2024,16:32:19,2024-11-24T16:32:00,1,ירי רקטות וטילים,1,52323,שלומי,Shlomi,شلومي,Шломи
1,שלומי,24.11.2024,13:04:14,2024-11-24T13:04:00,1,ירי רקטות וטילים,1,52199,שלומי,Shlomi,شلومي,Шломи
2,שלומי,24.11.2024,13:03:32,2024-11-24T13:04:00,1,ירי רקטות וטילים,1,52187,שלומי,Shlomi,شلومي,Шломи
3,שלומי,24.11.2024,13:00:35,2024-11-24T13:01:00,1,ירי רקטות וטילים,1,52167,שלומי,Shlomi,شلومي,Шломи
4,שלומי,24.11.2024,10:49:36,2024-11-24T10:50:00,1,ירי רקטות וטילים,1,52082,שלומי,Shlomi,شلومي,Шломи
5,שלומי,23.11.2024,11:06:19,2024-11-23T11:06:00,1,ירי רקטות וטילים,1,51885,שלומי,Shlomi,شلومي,Шломи
6,שלומי,22.11.2024,21:04:34,2024-11-22T21:05:00,2,חדירת כלי טיס עוין,6,51798,שלומי,Shlomi,شلومي,Шломи
7,שלומי,22.11.2024,21:03:32,2024-11-22T21:04:00,2,חדירת כלי טיס עוין,6,51796,שלומי,Shlomi,شلومي,Шломи
8,שלומי,22.11.2024,21:01:46,2024-11-22T21:02:00,2,חדירת כלי טיס עוין,6,51791,שלומי,Shlomi,شلومي,Шломи
9,שלומי,21.11.2024,06:31:52,2024-11-21T06:32:00,2,חדירת כלי טיס עוין,6,51642,שלומי,Shlomi,شلومي,Шломи
10,שלומי,20.11.2024,16:50:35,2024-11-20T16:51:00,1,ירי רקטות וטילים,1,51621,שלומי,Shlomi,شلومي,Шломи
11,שלומי,20.11.2024,16:19:24,2024-11-20T16:19:00,1,ירי רקטות וטילים,1,51596,שלומי,Shlomi,شلومي,Шломи
12,שלומי,20.11.2024,06:31:14,2024-11-20T06:31:00,2,חדירת כלי טיס עוין,6,51544,שלומי,Shlomi,شلومي,Шломи
13,שלומי,20.11.2024,06:26:10,2024-11-20T06:26:00,2,חדירת כלי טיס עוין,6,51527,שלומי,Shlomi,شلومي,Шломи
14,שלומי,18.11.2024,17:02:52,2024-11-18T17:03:00,2,חדירת כלי טיס עוין,6,51194,שלומי,Shlomi,شلومي,Шломи
15,שלומי,14.11.2024,16:23:09,2024-11-14T16:23:00,1,ירי רקטות וטילים,1,50762,שלומי,Shlomi,شلومي,Шломи
16,שלומי,14.11.2024,14:23:32,2024-11-14T14:24:00,1,ירי רקטות וטילים,1,50742,שלומי,Shlomi,شلومي,Шломи
17,שלומי,13.11.2024,14:49:22,2024-11-13T14:49:00,2,חדירת כלי טיס עוין,6,50509,שלומי,Shlomi,شلومي,Шломи
18,שלומי,13.11.2024,10:36:16,2024-11-13T10:36:00,2,חדירת כלי טיס עוין,6,50470,שלומי,Shlomi,شلومي,Шломи
19,שלומי,13.11.2024,05:15:54,2024-11-13T05:16:00,2,חדירת כלי טיס עוין,6,50454,שלומי,Shlomi,شلومي,Шломи
20,שלומי,13.11.2024,05:14:48,2024-11-13T05:15:00,2,חדירת כלי טיס עוין,6,50449,שלומי,Shlomi,شلومي,Шломи
21,שלומי,12.11.2024,16:29:56,2024-11-12T16:30:00,1,ירי רקטות וטילים,1,50343,שלומי,Shlomi,شلومي,Шломи
22,שלומי,12.11.2024,13:52:26,2024-11-12T13:52:00,2,חדירת כלי טיס עוין,6,50303,שלומי,Shlomi,شلومي,Шломи
23,שלומי,12.11.2024,09:20:41,2024-11-12T09:21:00,2,חדירת כלי טיס עוין,6,50255,שלומי,Shlomi,شلومي,Шломи
24,שלומי,11.11.2024,18:16:50,2024-11-11T18:17:00,2,חדירת כלי טיס עוין,6,50235,שלומי,Shlomi,شلومي,Шломи
25,שלומי,11.11.2024,18:15:28,2024-11-11T18:15:00,2,חדירת כלי טיס עוין,6,50227,שלומי,Shlomi,شلومي,Шломи
26,שלומי,11.11.2024,18:14:20,2024-11-11T18:14:00,2,חדירת כלי טיס עוין,6,50224,שלומי,Shlomi,شلومي,Шломи
27,שלומי,11.11.2024,15:40:49,2024-11-11T15:41:00,1,ירי רקטות וטילים,1,50123,שלומי,Shlomi,شلومي,Шломи
28,שלומי,10.11.2024,11:08:10,2024-11-10T11:08:00,1,ירי רקטות וטילים,1,49906,שלומי,Shlomi,شلومي,Шломи
29,שלומי,09.11.2024,13:57:10,2024-11-09T13:57:00,1,ירי רקטות וטילים,1,49850,שלומי,Shlomi,شلومي,Шломи
30,שלומי,09.11.2024,13:03:44,2024-11-09T13:04:00,1,ירי רקטות וטילים,1,49842,שלומי,Shlomi,شلومي,Шломи
31,שלומי,09.11.2024,12:42:23,2024-11-09T12:42:00,1,ירי רקטות וטילים,1,49832,שלומי,Shlomi,شلومي,Шломи
32,שלומי,08.11.2024,21:23:52,2024-11-08T21:24:00,2,חדירת כלי טיס עוין,6,49789,שלומי,Shlomi,شلومي,Шломи
33,שלומי,08.11.2024,06:45:16,2024-11-08T06:45:00,1,ירי רקטות וטילים,1,49596,שלומי,Shlomi,شلومي,Шломи
34,שלומי,08.11.2024,06:44:04,2024-11-08T06:44:00,1,ירי רקטות וטילים,1,49592,שלומי,Shlomi,شلومي,Шломи
35,שלומי,07.11.2024,13:47:06,2024-11-07T13:47:00,1,ירי רקטות וטילים,1,49469,שלומי,Shlomi,شلومي,Шломи
36,שלומי,05.11.2024,17:18:59,2024-11-05T17:19:00,1,ירי רקטות וטילים,1,49109,שלומי,Shlomi,شلومي,Шломи
37,שלומי,04.11.2024,11:02:02,2024-11-04T11:02:00,1,ירי רקטות וטילים,1,48994,שלומי,Shlomi,شلومي,Шломи
38,שלומי,04.11.2024,11:00:50,2024-11-04T11:01:00,1,ירי רקטות וטילים,1,48987,שלומי,Shlomi,شلومي,Шломи
39,שלומי,04.11.2024,11:00:13,2024-11-04T11:00:00,1,ירי רקטות וטילים,1,48976,שלומי,Shlomi,شلومي,Шломи
40,שלומי,03.11.2024,11:11:45,2024-11-03T11:12:00,1,ירי רקטות וטילים,1,48856,שלומי,Shlomi,شلومي,Шломи
41,שלומי,03.11.2024,09:02:20,2024-11-03T09:02:00,1,ירי רקטות וטילים,1,48844,שלומי,Shlomi,شلومي,Шломи
42,שלומי,03.11.2024,09:01:41,2024-11-03T09:02:00,1,ירי רקטות וטילים,1,48840,שלומי,Shlomi,شلومي,Шломи
43,שלומי,03.11.2024,09:00:25,2024-11-03T09:00:00,1,ירי רקטות וטילים,1,48832,שלומי,Shlomi,شلومي,Шломи
44,שלומי,02.11.2024,16:16:52,2024-11-02T16:17:00,2,חדירת כלי טיס עוין,6,48745,שלומי,Shlomi,شلومي,Шломи
45,שלומי,02.11.2024,15:54:15,2024-11-02T15:54:00,1,ירי רקטות וטילים,1,48724,שלומי,Shlomi,شلومي,Шломи
46,שלומי,02.11.2024,15:53:35,2024-11-02T15:54:00,1,ירי רקטות וטילים,1,48709,שלומי,Shlomi,شلومي,Шломи
47,שלומי,02.11.2024,07:15:17,2024-11-02T07:15:00,1,ירי רקטות וטילים,1,48508,שלומי,Shlomi,شلومي,Шломи
48,שלומי,30.10.2024,18:19:04,2024-10-30T18:19:00,1,ירי רקטות וטילים,1,48234,שלומי,Shlomi,شلومي,Шломи
49,שלומי,30.10.2024,17:31:32,2024-10-30T17:32:00,2,חדירת כלי טיס עוין,6,48179,שלומי,Shlomi,شلومي,Шломи
50,שלומי,30.10.2024,17:29:47,2024-10-30T17:30:00,2,חדירת כלי טיס עוין,6,48163,שלומי,Shlomi,شلومي,Шломи
51,שלומי,30.10.2024,08:10:07,2024-10-30T08:10:00,2,חדירת כלי טיס עוין,6,48065,שלומי,Shlomi,شلومي,Шломи
52,שלומי,30.10.2024,05:39:32,2024-10-30T05:40:00,2,חדירת כלי טיס עוין,6,47968,שלומי,Shlomi,شلومي,Шломи
53,שלומי,29.10.2024,17:03:40,2024-10-29T17:04:00,1,ירי רקטות וטילים,1,47944,שלומי,Shlomi,شلومي,Шломи
54,שלומי,29.10.2024,12:18:53,2024-10-29T12:19:00,2,חדירת כלי טיס עוין,6,47921,שלומי,Shlomi,شلومي,Шломи
55,שלומי,29.10.2024,12:18:51,2024-10-29T12:19:00,2,חדירת כלי טיס עוין,6,47918,שלומי,Shlomi,شلومي,Шломи
56,שלומי,29.10.2024,12:18:49,2024-10-29T12:19:00,2,חדירת כלי טיס עוין,6,47919,שלומי,Shlomi,شلومي,Шломи
57,שלומי,29.10.2024,12:18:47,2024-10-29T12:19:00,2,חדירת כלי טיס עוין,6,47920,שלומי,Shlomi,شلومي,Шломи
58,שלומי,29.10.2024,12:18:45,2024-10-29T12:19:00,2,חדירת כלי טיס עוין,6,47916,שלומי,Shlomi,شلومي,Шломи
59,שלומי,29.10.2024,12:18:43,2024-10-29T12:19:00,2,חדירת כלי טיס עוין,6,47917,שלומי,Shlomi,شلومي,Шломи
60,שלומי,29.10.2024,12:18:41,2024-10-29T12:19:00,2,חדירת כלי טיס עוין,6,47914,שלומי,Shlomi,شلومي,Шломи
61,שלומי,29.10.2024,12:18:39,2024-10-29T12:19:00,2,חדירת כלי טיס עוין,6,47915,שלומי,Shlomi,شلومي,Шломи
62,שלומי,28.10.2024,14:34:36,2024-10-28T14:35:00,1,ירי רקטות וטילים,1,47514,שלומי,Shlomi,شلومي,Шломи
63,שלומי,28.10.2024,07:29:46,2024-10-28T07:30:00,2,חדירת כלי טיס עוין,6,47489,שלומי,Shlomi,شلومي,Шломи
64,שלומי,28.10.2024,07:29:33,2024-10-28T07:30:00,2,חדירת כלי טיס עוין,6,47482,שלומי,Shlomi,شلومي,Шломи
65,שלומי,28.10.2024,07:26:15,2024-10-28T07:26:00,2,חדירת כלי טיס עוין,6,47476,שלומי,Shlomi,شلومي,Шломи
66,שלומי,27.10.2024,14:51:47,2024-10-27T14:52:00,2,חדירת כלי טיס עוין,6,47424,שלומי,Shlomi,شلومي,Шломи
67,שלומי,27.10.2024,14:37:47,2024-10-27T14:38:00,1,ירי רקטות וטילים,1,47414,שלומי,Shlomi,شلومي,Шломи
68,שלומי,27.10.2024,01:17:33,2024-10-27T01:18:00,2,חדירת כלי טיס עוין,6,47322,שלומי,Shlomi,شلومي,Шломи
69,שלומי,27.10.2024,01:15:36,2024-10-27T01:16:00,2,חדירת כלי טיס עוין,6,47320,שלומי,Shlomi,شلومي,Шломи
70,שלומי,26.10.2024,13:19:57,2024-10-26T13:20:00,2,חדירת כלי טיס עוין,6,47238,שלומי,Shlomi,شلومي,Шломи
71,שלומי,26.10.2024,12:24:10,2024-10-26T12:24:00,1,ירי רקטות וטילים,1,47215,שלומי,Shlomi,شلومي,Шломи
72,שלומי,26.10.2024,04:35:01,2024-10-26T04:35:00,2,חדירת כלי טיס עוין,6,47194,שלומי,Shlomi,شلومي,Шломи
73,שלומי,24.10.2024,17:23:11,2024-10-24T17:23:00,2,חדירת כלי טיס עוין,6,47022,שלומי,Shlomi,شلومي,Шломи
74,שלומי,24.10.2024,09:53:09,2024-10-24T09:53:00,1,ירי רקטות וטילים,1,46913,שלומי,Shlomi,شلومي,Шломи
75,שלומי,23.10.2024,16:13:06,2024-10-23T16:13:00,1,ירי רקטות וטילים,1,46646,שלומי,Shlomi,شلومي,Шломи
76,שלומי,22.10.2024,18:16:51,2024-10-22T18:17:00,2,חדירת כלי טיס עוין,6,46398,שלומי,Shlomi,شلومي,Шломи
77,שלומי,21.10.2024,16:26:18,2024-10-21T16:26:00,1,ירי רקטות וטילים,1,46167,שלומי,Shlomi,شلومي,Шломи
78,שלומי,20.10.2024,11:12:15,2024-10-20T11:12:00,1,ירי רקטות וטילים,1,45640,שלומי,Shlomi,شلومي,Шломи
79,שלומי,20.10.2024,11:11:38,2024-10-20T11:12:00,1,ירי רקטות וטילים,1,45634,שלומי,Shlomi,شلومي,Шломи
80,שלומי,20.10.2024,11:11:03,2024-10-20T11:11:00,1,ירי רקטות וטילים,1,45620,שלומי,Shlomi,شلومي,Шломи
81,שלומי,20.10.2024,11:10:28,2024-10-20T11:10:00,1,ירי רקטות וטילים,1,45608,שלומי,Shlomi,شلومي,Шломи
82,שלומי,20.10.2024,11:09:50,2024-10-20T11:10:00,1,ירי רקטות וטילים,1,45589,שלומי,Shlomi,شلومي,Шломи
83,שלומי,19.10.2024,15:39:40,2024-10-19T15:40:00,2,חדירת כלי טיס עוין,6,45493,שלומי,Shlomi,شلومي,Шломи
84,שלומי,19.10.2024,10:36:53,2024-10-19T10:37:00,1,ירי רקטות וטילים,1,45436,שלומי,Shlomi,شلومي,Шломи
85,שלומי,19.10.2024,10:36:17,2024-10-19T10:36:00,1,ירי רקטות וטילים,1,45431,שלומי,Shlomi,شلومي,Шломи
86,שלומי,19.10.2024,10:35:42,2024-10-19T10:36:00,1,ירי רקטות וטילים,1,45420,שלומי,Shlomi,شلومي,Шломи
87,שלומי,19.10.2024,10:35:07,2024-10-19T10:35:00,1,ירי רקטות וטילים,1,45404,שלומי,Shlomi,شلومي,Шломи
88,שלומי,18.10.2024,16:22:44,2024-10-18T16:23:00,1,ירי רקטות וטילים,1,45273,שלומי,Shlomi,شلومي,Шломи
89,שלומי,16.10.2024,18:43:21,2024-10-16T18:43:00,2,חדירת כלי טיס עוין,6,44883,שלומי,Shlomi,شلومي,Шломи
90,שלומי,16.10.2024,18:43:12,2024-10-16T18:43:00,2,חדירת כלי טיס עוין,6,44884,שלומי,Shlomi,شلومي,Шломи
91,שלומי,16.10.2024,18:42:10,2024-10-16T18:42:00,2,חדירת כלי טיס עוין,6,44873,שלומי,Shlomi,شلومي,Шломи
92,שלומי,15.10.2024,20:56:33,2024-10-15T20:57:00,1,ירי רקטות וטילים,1,44771,שלומי,Shlomi,شلومي,Шломи
93,שלומי,13.10.2024,19:02:53,2024-10-13T19:03:00,1,ירי רקטות וטילים,1,44149,שלומי,Shlomi,شلومي,Шломи
94,שלומי,13.10.2024,19:01:13,2024-10-13T19:01:00,1,ירי רקטות וטילים,1,44135,שלומי,Shlomi,شلومي,Шломи
95,שלומי,11.10.2024,18:07:20,2024-10-11T18:07:00,1,ירי רקטות וטילים,1,43713,שלומי,Shlomi,شلومي,Шломи
96,שלומי,11.10.2024,17:23:41,2024-10-11T17:24:00,1,ירי רקטות וטילים,1,43694,שלומי,Shlomi,شلومي,Шломи
97,שלומי,11.10.2024,15:02:44,2024-10-11T15:03:00,1,ירי רקטות וטילים,1,43527,שלומי,Shlomi,شلومي,Шломи
98,שלומי,10.10.2024,20:04:20,2024-10-10T20:04:00,1,ירי רקטות וטילים,1,43476,שלומי,Shlomi,شلومي,Шломи
99,שלומי,09.10.2024,16:48:24,2024-10-09T16:48:00,1,ירי רקטות וטילים,1,43340,שלומי,Shlomi,شلومي,Шломи
100,שלומי,09.10.2024,07:37:20,2024-10-09T07:37:00,1,ירי רקטות וטילים,1,43153,שלומי,Shlomi,شلومي,Шломи
101,שלומי,09.10.2024,07:36:44,2024-10-09T07:37:00,1,ירי רקטות וטילים,1,43150,שלומי,Shlomi,شلومي,Шломи
102,שלומי,09.10.2024,04:54:34,2024-10-09T04:55:00,1,ירי רקטות וטילים,1,43147,שלומי,Shlomi,شلومي,Шломи
103,שלומי,09.10.2024,04:53:38,2024-10-09T04:54:00,1,ירי רקטות וטילים,1,43142,שלומי,Shlomi,شلومي,Шломи
104,שלומי,08.10.2024,07:55:31,2024-10-08T07:56:00,1,ירי רקטות וטילים,1,43003,שלומי,Shlomi,شلومي,Шломи
105,שלומי,08.10.2024,00:20:19,2024-10-08T00:20:00,1,ירי רקטות וטילים,1,42984,שלומי,Shlomi,شلومي,Шломи
106,שלומי,08.10.2024,00:09:25,2024-10-08T00:09:00,1,ירי רקטות וטילים,1,42981,שלומי,Shlomi,شلومي,Шломи
107,שלומי,07.10.2024,02:48:53,2024-10-07T02:49:00,1,ירי רקטות וטילים,1,42465,שלומי,Shlomi,شلومي,Шломи
108,שלומי,06.10.2024,13:49:35,2024-10-06T13:50:00,1,ירי רקטות וטילים,1,42345,שלומי,Shlomi,شلومي,Шломи
109,שלומי,06.10.2024,13:48:59,2024-10-06T13:49:00,1,ירי רקטות וטילים,1,42338,שלומי,Shlomi,شلومي,Шломи
110,שלומי,04.10.2024,13:04:08,2024-10-04T13:04:00,1,ירי רקטות וטילים,1,42023,שלומי,Shlomi,شلومي,Шломи
111,שלומי,03.10.2024,13:09:35,2024-10-03T13:10:00,1,ירי רקטות וטילים,1,41771,שלומי,Shlomi,شلومي,Шломи
112,שלומי,03.10.2024,11:40:51,2024-10-03T11:41:00,2,חדירת כלי טיס עוין,6,41742,שלומי,Shlomi,شلومي,Шломи
113,שלומי,03.10.2024,11:31:35,2024-10-03T11:32:00,1,ירי רקטות וטילים,1,41739,שלומי,Shlomi,شلومي,Шломи
