,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,שפר,24.11.2024,14:24:07,2024-11-24T14:24:00,1,ירי רקטות וטילים,1,52243,שפר,Shefer,شيفر,Шефер
1,שפר,04.11.2024,00:00:37,2024-11-04T00:01:00,1,ירי רקטות וטילים,1,48950,שפר,Shefer,شيفر,Шефер
2,שפר,02.11.2024,12:37:34,2024-11-02T12:38:00,1,ירי רקטות וטילים,1,48647,שפר,Shefer,شيفر,Шефер
3,שפר,17.10.2024,03:28:33,2024-10-17T03:29:00,1,ירי רקטות וטילים,1,45016,שפר,Shefer,شيفر,Шефер
4,שפר,09.10.2024,16:45:33,2024-10-09T16:46:00,1,ירי רקטות וטילים,1,43326,שפר,Shefer,شيفر,Шефер
5,שפר,01.10.2024,19:52:24,2024-10-01T19:52:00,1,ירי רקטות וטילים,1,41180,שפר,Shefer,شيفر,Шефер
6,שפר,28.09.2024,09:36:21,2024-09-28T09:36:00,1,ירי רקטות וטילים,1,38672,שפר,Shefer,شيفر,Шефер
7,שפר,28.09.2024,08:01:08,2024-09-28T08:01:00,1,ירי רקטות וטילים,1,38349,שפר,Shefer,شيفر,Шефер
8,שפר,26.09.2024,18:26:12,2024-09-26T18:26:00,1,ירי רקטות וטילים,1,37975,שפר,Shefer,شيفر,Шефер
9,שפר,26.09.2024,16:08:18,2024-09-26T16:08:00,1,ירי רקטות וטילים,1,37946,שפר,Shefer,شيفر,Шефер
10,שפר,26.09.2024,16:07:36,2024-09-26T16:08:00,1,ירי רקטות וטילים,1,37935,שפר,Shefer,شيفر,Шефер
11,שפר,26.09.2024,16:06:56,2024-09-26T16:07:00,1,ירי רקטות וטילים,1,37925,שפר,Shefer,شيفر,Шефер
12,שפר,10.08.2024,19:43:53,2024-08-10T19:44:00,2,חדירת כלי טיס עוין,6,34941,שפר,Shefer,شيفر,Шефер
13,שפר,07.07.2024,13:02:39,2024-07-07T13:03:00,1,ירי רקטות וטילים,1,33857,שפר,Shefer,شيفر,Шефер
14,שפר,12.06.2024,10:01:35,2024-06-12T10:02:00,1,ירי רקטות וטילים,1,32739,שפר,Shefer,شيفر,Шефер
15,שפר,23.01.2024,10:50:05,2024-01-23T10:50:00,1,ירי רקטות וטילים,1,27830,שפר,Shefer,شيفر,Шефер
16,שפר,06.01.2024,08:07:25,2024-01-06T08:07:00,2,חדירת כלי טיס עוין,6,27392,שפר,Shefer,شيفر,Шефер
