,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,שפרעם,24.11.2024,18:12:22,2024-11-24T18:12:00,1,ירי רקטות וטילים,1,52388,שפרעם,Shfaram,شفاعمرو,Шфарам
1,שפרעם,24.11.2024,18:09:11,2024-11-24T18:09:00,1,ירי רקטות וטילים,1,52334,שפרעם,Shfaram,شفاعمرو,Шфарам
2,שפרעם,22.11.2024,15:35:35,2024-11-22T15:36:00,1,ירי רקטות וטילים,1,51743,שפרעם,Shfaram,شفاعمرو,Шфарам
3,שפרעם,18.11.2024,18:27:27,2024-11-18T18:27:00,1,ירי רקטות וטילים,1,51200,שפרעם,Shfaram,شفاعمرو,Шфарам
4,שפרעם,16.11.2024,10:47:16,2024-11-16T10:47:00,1,ירי רקטות וטילים,1,50990,שפרעם,Shfaram,شفاعمرو,Шфарам
5,שפרעם,11.11.2024,15:42:44,2024-11-11T15:43:00,1,ירי רקטות וטילים,1,50151,שפרעם,Shfaram,شفاعمرو,Шфарам
6,שפרעם,08.11.2024,15:19:36,2024-11-08T15:20:00,1,ירי רקטות וטילים,1,49732,שפרעם,Shfaram,شفاعمرو,Шфарам
7,שפרעם,02.11.2024,11:05:11,2024-11-02T11:05:00,1,ירי רקטות וטילים,1,48603,שפרעם,Shfaram,شفاعمرو,Шфарам
8,שפרעם,02.11.2024,09:16:32,2024-11-02T09:17:00,1,ירי רקטות וטילים,1,48580,שפרעם,Shfaram,شفاعمرو,Шфарам
9,שפרעם,02.11.2024,07:15:19,2024-11-02T07:15:00,1,ירי רקטות וטילים,1,48506,שפרעם,Shfaram,شفاعمرو,Шфарам
10,שפרעם,31.10.2024,15:12:25,2024-10-31T15:12:00,1,ירי רקטות וטילים,1,48311,שפרעם,Shfaram,شفاعمرو,Шфарам
11,שפרעם,22.10.2024,04:52:55,2024-10-22T04:53:00,1,ירי רקטות וטילים,1,46259,שפרעם,Shfaram,شفاعمرو,Шфарам
12,שפרעם,21.10.2024,12:28:43,2024-10-21T12:29:00,1,ירי רקטות וטילים,1,46014,שפרעם,Shfaram,شفاعمرو,Шфарам
13,שפרעם,19.10.2024,10:23:02,2024-10-19T10:23:00,1,ירי רקטות וטילים,1,45397,שפרעם,Shfaram,شفاعمرو,Шфарам
14,שפרעם,17.10.2024,07:31:13,2024-10-17T07:31:00,1,ירי רקטות וטילים,1,45165,שפרעם,Shfaram,شفاعمرو,Шфарам
15,שפרעם,17.10.2024,07:28:17,2024-10-17T07:28:00,1,ירי רקטות וטילים,1,45089,שפרעם,Shfaram,شفاعمرو,Шфарам
16,שפרעם,17.10.2024,03:26:16,2024-10-17T03:26:00,1,ירי רקטות וטילים,1,44949,שפרעם,Shfaram,شفاعمرو,Шфарам
17,שפרעם,11.10.2024,17:21:45,2024-10-11T17:22:00,1,ירי רקטות וטילים,1,43628,שפרעם,Shfaram,شفاعمرو,Шфарам
18,שפרעם,11.10.2024,16:31:01,2024-10-11T16:31:00,1,ירי רקטות וטילים,1,43564,שפרעם,Shfaram,شفاعمرو,Шфарам
19,שפרעם,08.10.2024,12:12:19,2024-10-08T12:12:00,1,ירי רקטות וטילים,1,43039,שפרעם,Shfaram,شفاعمرو,Шфарам
20,שפרעם,03.10.2024,21:48:20,2024-10-03T21:48:00,1,ירי רקטות וטילים,1,41846,שפרעם,Shfaram,شفاعمرو,Шфарам
21,שפרעם,01.10.2024,16:10:52,2024-10-01T16:11:00,1,ירי רקטות וטילים,1,39503,שפרעם,Shfaram,شفاعمرو,Шфарам
22,שפרעם,30.09.2024,19:53:51,2024-09-30T19:54:00,1,ירי רקטות וטילים,1,39369,שפרעם,Shfaram,شفاعمرو,Шфарам
23,שפרעם,29.09.2024,21:15:11,2024-09-29T21:15:00,1,ירי רקטות וטילים,1,39306,שפרעם,Shfaram,شفاعمرو,Шфарам
24,שפרעם,28.09.2024,09:35:21,2024-09-28T09:35:00,1,ירי רקטות וטילים,1,38582,שפרעם,Shfaram,شفاعمرو,Шфарам
25,שפרעם,28.09.2024,09:01:02,2024-09-28T09:01:00,1,ירי רקטות וטילים,1,38538,שפרעם,Shfaram,شفاعمرو,Шфарам
26,שפרעם,28.09.2024,08:04:00,2024-09-28T08:04:00,1,ירי רקטות וטילים,1,38437,שפרעם,Shfaram,شفاعمرو,Шфарам
27,שפרעם,28.09.2024,07:59:15,2024-09-28T07:59:00,1,ירי רקטות וטילים,1,38261,שפרעם,Shfaram,شفاعمرو,Шфарам
