,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,שתולה,24.11.2024,15:44:27,2024-11-24T15:44:00,1,ירי רקטות וטילים,1,52306,שתולה,Shtula,شتولا,Штула
1,שתולה,24.11.2024,14:54:52,2024-11-24T14:55:00,1,ירי רקטות וטילים,1,52269,שתולה,Shtula,شتولا,Штула
2,שתולה,24.11.2024,14:37:11,2024-11-24T14:37:00,1,ירי רקטות וטילים,1,52266,שתולה,Shtula,شتولا,Штула
3,שתולה,24.11.2024,08:44:22,2024-11-24T08:44:00,1,ירי רקטות וטילים,1,52047,שתולה,Shtula,شتولا,Штула
4,שתולה,22.11.2024,12:45:28,2024-11-22T12:45:00,1,ירי רקטות וטילים,1,51717,שתולה,Shtula,شتولا,Штула
5,שתולה,19.11.2024,16:58:35,2024-11-19T16:59:00,1,ירי רקטות וטילים,1,51504,שתולה,Shtula,شتولا,Штула
6,שתולה,19.11.2024,11:24:42,2024-11-19T11:25:00,1,ירי רקטות וטילים,1,51479,שתולה,Shtula,شتولا,Штула
7,שתולה,19.11.2024,09:50:08,2024-11-19T09:50:00,1,ירי רקטות וטילים,1,51392,שתולה,Shtula,شتولا,Штула
8,שתולה,13.11.2024,12:15:01,2024-11-13T12:15:00,1,ירי רקטות וטילים,1,50490,שתולה,Shtula,شتولا,Штула
9,שתולה,12.11.2024,15:06:47,2024-11-12T15:07:00,1,ירי רקטות וטילים,1,50333,שתולה,Shtula,شتولا,Штула
10,שתולה,11.11.2024,13:55:30,2024-11-11T13:56:00,1,ירי רקטות וטילים,1,50116,שתולה,Shtula,شتولا,Штула
11,שתולה,11.11.2024,13:35:22,2024-11-11T13:35:00,1,ירי רקטות וטילים,1,50098,שתולה,Shtula,شتولا,Штула
12,שתולה,11.11.2024,12:08:07,2024-11-11T12:08:00,1,ירי רקטות וטילים,1,50068,שתולה,Shtula,شتولا,Штула
13,שתולה,11.11.2024,11:58:34,2024-11-11T11:59:00,1,ירי רקטות וטילים,1,50005,שתולה,Shtula,شتولا,Штула
14,שתולה,10.11.2024,12:38:55,2024-11-10T12:39:00,1,ירי רקטות וטילים,1,49911,שתולה,Shtula,شتولا,Штула
15,שתולה,07.11.2024,13:41:13,2024-11-07T13:41:00,1,ירי רקטות וטילים,1,49451,שתולה,Shtula,شتولا,Штула
16,שתולה,06.11.2024,23:11:44,2024-11-06T23:12:00,1,ירי רקטות וטילים,1,49446,שתולה,Shtula,شتولا,Штула
17,שתולה,01.11.2024,08:35:29,2024-11-01T08:35:00,1,ירי רקטות וטילים,1,48401,שתולה,Shtula,شتولا,Штула
18,שתולה,31.10.2024,15:18:51,2024-10-31T15:19:00,1,ירי רקטות וטילים,1,48327,שתולה,Shtula,شتولا,Штула
19,שתולה,31.10.2024,12:21:50,2024-10-31T12:22:00,1,ירי רקטות וטילים,1,48277,שתולה,Shtula,شتولا,Штула
20,שתולה,28.10.2024,17:09:40,2024-10-28T17:10:00,1,ירי רקטות וטילים,1,47544,שתולה,Shtula,شتولا,Штула
21,שתולה,28.10.2024,15:39:47,2024-10-28T15:40:00,1,ירי רקטות וטילים,1,47534,שתולה,Shtula,شتولا,Штула
22,שתולה,23.10.2024,18:25:22,2024-10-23T18:25:00,1,ירי רקטות וטילים,1,46810,שתולה,Shtula,شتولا,Штула
23,שתולה,23.10.2024,18:22:19,2024-10-23T18:22:00,1,ירי רקטות וטילים,1,46809,שתולה,Shtula,شتولا,Штула
24,שתולה,23.10.2024,17:23:35,2024-10-23T17:24:00,1,ירי רקטות וטילים,1,46802,שתולה,Shtula,شتولا,Штула
25,שתולה,22.10.2024,14:12:44,2024-10-22T14:13:00,1,ירי רקטות וטילים,1,46367,שתולה,Shtula,شتولا,Штула
