,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,תחנת רכבת ראש העין,24.11.2024,18:31:06,2024-11-24T18:31:00,1,ירי רקטות וטילים,1,52411,תחנת רכבת ראש העין,Rosh HaAyin train station,محطة القطار روش هعاين,ЖД станция Рош Айн
1,תחנת רכבת ראש העין,24.11.2024,12:52:23,2024-11-24T12:52:00,1,ירי רקטות וטילים,1,52115,תחנת רכבת ראש העין,Rosh HaAyin train station,محطة القطار روش هعاين,ЖД станция Рош Айн
2,תחנת רכבת ראש העין,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51297,תחנת רכבת ראש העין,Rosh HaAyin train station,محطة القطار روش هعاين,ЖД станция Рош Айн
3,תחנת רכבת ראש העין,08.11.2024,15:19:21,2024-11-08T15:19:00,1,ירי רקטות וטילים,1,49725,תחנת רכבת ראש העין,Rosh HaAyin train station,محطة القطار روش هعاين,ЖД станция Рош Айн
4,תחנת רכבת ראש העין,06.11.2024,11:21:53,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49253,תחנת רכבת ראש העין,Rosh HaAyin train station,محطة القطار روش هعاين,ЖД станция Рош Айн
5,תחנת רכבת ראש העין,23.10.2024,20:33:13,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46821,תחנת רכבת ראש העין,Rosh HaAyin train station,محطة القطار روش هعاين,ЖД станция Рош Айн
6,תחנת רכבת ראש העין,14.10.2024,17:33:13,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44382,תחנת רכבת ראש העין,Rosh HaAyin train station,محطة القطار روش هعاين,ЖД станция Рош Айн
7,תחנת רכבת ראש העין,07.10.2024,23:13:22,2024-10-07T23:13:00,1,ירי רקטות וטילים,1,42933,תחנת רכבת ראש העין,Rosh HaAyin train station,محطة القطار روش هعاين,ЖД станция Рош Айн
8,תחנת רכבת ראש העין,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42828,תחנת רכבת ראש העין,Rosh HaAyin train station,محطة القطار روش هعاين,ЖД станция Рош Айн
9,תחנת רכבת ראש העין,01.10.2024,18:37:32,2024-10-01T18:38:00,1,ירי רקטות וטילים,1,39640,תחנת רכבת ראש העין,Rosh HaAyin train station,محطة القطار روش هعاين,ЖД станция Рош Айн
10,תחנת רכבת ראש העין,01.10.2024,11:03:35,2024-10-01T11:04:00,1,ירי רקטות וטילים,1,39434,תחנת רכבת ראש העין,Rosh HaAyin train station,محطة القطار روش هعاين,ЖД станция Рош Айн
11,תחנת רכבת ראש העין,05.11.2023,20:01:21,2023-11-05T20:01:00,1,ירי רקטות וטילים,1,24560,תחנת רכבת ראש העין,Rosh HaAyin train station,محطة القطار روش هعاين,ЖД станция Рош Айн
12,תחנת רכבת ראש העין,28.10.2023,18:10:46,2023-10-28T18:11:00,1,ירי רקטות וטילים,1,23855,תחנת רכבת ראש העין,Rosh HaAyin train station,محطة القطار روش هعاين,ЖД станция Рош Айн
13,תחנת רכבת ראש העין,07.10.2023,20:00:37,2023-10-07T20:01:00,1,ירי רקטות וטילים,1,20280,תחנת רכבת ראש העין,Rosh HaAyin train station,محطة القطار روش هعاين,ЖД станция Рош Айн
