,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,תל אביב - עבר הירקון,24.11.2024,12:52:43,2024-11-24T12:53:00,1,ירי רקטות וטילים,1,52132,תל אביב - עבר הירקון,Tel Aviv - Across the Yarkon,تل أبيب هيركون,Тель Авив - Север После Ярко
1,תל אביב - עבר הירקון,18.11.2024,20:45:44,2024-11-18T20:46:00,1,ירי רקטות וטילים,1,51216,תל אביב - עבר הירקון,Tel Aviv - Across the Yarkon,تل أبيب هيركون,Тель Авив - Север После Ярко
2,תל אביב - עבר הירקון,12.11.2024,16:35:06,2024-11-12T16:35:00,1,ירי רקטות וטילים,1,50364,תל אביב - עבר הירקון,Tel Aviv - Across the Yarkon,تل أبيب هيركون,Тель Авив - Север После Ярко
3,תל אביב - עבר הירקון,06.11.2024,11:21:45,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49210,תל אביב - עבר הירקון,Tel Aviv - Across the Yarkon,تل أبيب هيركون,Тель Авив - Север После Ярко
4,תל אביב - עבר הירקון,23.10.2024,20:33:12,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46822,תל אביב - עבר הירקון,Tel Aviv - Across the Yarkon,تل أبيب هيركون,Тель Авив - Север После Ярко
5,תל אביב - עבר הירקון,23.10.2024,08:03:00,2024-10-23T08:03:00,1,ירי רקטות וטילים,1,46501,תל אביב - עבר הירקון,Tel Aviv - Across the Yarkon,تل أبيب هيركون,Тель Авив - Север После Ярко
6,תל אביב - עבר הירקון,22.10.2024,07:43:33,2024-10-22T07:44:00,1,ירי רקטות וטילים,1,46285,תל אביב - עבר הירקון,Tel Aviv - Across the Yarkon,تل أبيب هيركون,Тель Авив - Север После Ярко
7,תל אביב - עבר הירקון,14.10.2024,17:33:13,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44344,תל אביב - עבר הירקון,Tel Aviv - Across the Yarkon,تل أبيب هيركون,Тель Авив - Север После Ярко
8,תל אביב - עבר הירקון,07.10.2024,23:13:21,2024-10-07T23:13:00,1,ירי רקטות וטילים,1,42937,תל אביב - עבר הירקון,Tel Aviv - Across the Yarkon,تل أبيب هيركون,Тель Авив - Север После Ярко
9,תל אביב - עבר הירקון,07.10.2024,17:44:29,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42853,תל אביב - עבר הירקון,Tel Aviv - Across the Yarkon,تل أبيب هيركون,Тель Авив - Север После Ярко
10,תל אביב - עבר הירקון,01.10.2024,11:03:18,2024-10-01T11:03:00,1,ירי רקטות וטילים,1,39410,תל אביב - עבר הירקון,Tel Aviv - Across the Yarkon,تل أبيب هيركون,Тель Авив - Север После Ярко
11,תל אביב - עבר הירקון,27.09.2024,00:40:30,2024-09-27T00:41:00,1,ירי רקטות וטילים,1,37983,תל אביב - עבר הירקון,Tel Aviv - Across the Yarkon,تل أبيب هيركون,Тель Авив - Север После Ярко
