,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,תל חי,24.11.2024,08:08:05,2024-11-24T08:08:00,1,ירי רקטות וטילים,1,52035,תל חי,Tel Hai,تل حاي,Тель Хай
1,תל חי,24.11.2024,00:10:26,2024-11-24T00:10:00,1,ירי רקטות וטילים,1,51928,תל חי,Tel Hai,تل حاي,Тель Хай
2,תל חי,23.11.2024,16:18:18,2024-11-23T16:18:00,1,ירי רקטות וטילים,1,51911,תל חי,Tel Hai,تل حاي,Тель Хай
3,תל חי,23.11.2024,00:06:45,2024-11-23T00:07:00,1,ירי רקטות וטילים,1,51866,תל חי,Tel Hai,تل حاي,Тель Хай
4,תל חי,22.11.2024,14:32:27,2024-11-22T14:32:00,1,ירי רקטות וטילים,1,51729,תל חי,Tel Hai,تل حاي,Тель Хай
5,תל חי,21.11.2024,12:48:35,2024-11-21T12:49:00,1,ירי רקטות וטילים,1,51670,תל חי,Tel Hai,تل حاي,Тель Хай
6,תל חי,21.11.2024,08:38:59,2024-11-21T08:39:00,1,ירי רקטות וטילים,1,51656,תל חי,Tel Hai,تل حاي,Тель Хай
7,תל חי,20.11.2024,15:35:00,2024-11-20T15:35:00,1,ירי רקטות וטילים,1,51587,תל חי,Tel Hai,تل حاي,Тель Хай
8,תל חי,20.11.2024,00:37:28,2024-11-20T00:37:00,1,ירי רקטות וטילים,1,51526,תל חי,Tel Hai,تل حاي,Тель Хай
9,תל חי,19.11.2024,16:53:01,2024-11-19T16:53:00,2,חדירת כלי טיס עוין,6,51497,תל חי,Tel Hai,تل حاي,Тель Хай
10,תל חי,16.11.2024,20:45:47,2024-11-16T20:46:00,1,ירי רקטות וטילים,1,51062,תל חי,Tel Hai,تل حاي,Тель Хай
11,תל חי,14.11.2024,22:02:23,2024-11-14T22:02:00,1,ירי רקטות וטילים,1,50843,תל חי,Tel Hai,تل حاي,Тель Хай
12,תל חי,14.11.2024,16:44:11,2024-11-14T16:44:00,1,ירי רקטות וטילים,1,50768,תל חי,Tel Hai,تل حاي,Тель Хай
13,תל חי,12.11.2024,12:18:19,2024-11-12T12:18:00,1,ירי רקטות וטילים,1,50291,תל חי,Tel Hai,تل حاي,Тель Хай
14,תל חי,12.11.2024,07:02:17,2024-11-12T07:02:00,1,ירי רקטות וטילים,1,50246,תל חי,Tel Hai,تل حاي,Тель Хай
15,תל חי,10.11.2024,09:13:17,2024-11-10T09:13:00,1,ירי רקטות וטילים,1,49893,תל חי,Tel Hai,تل حاي,Тель Хай
16,תל חי,09.11.2024,06:58:59,2024-11-09T06:59:00,1,ירי רקטות וטילים,1,49803,תל חי,Tel Hai,تل حاي,Тель Хай
17,תל חי,06.11.2024,09:01:35,2024-11-06T09:02:00,1,ירי רקטות וטילים,1,49130,תל חי,Tel Hai,تل حاي,Тель Хай
18,תל חי,01.11.2024,06:39:44,2024-11-01T06:40:00,1,ירי רקטות וטילים,1,48394,תל חי,Tel Hai,تل حاي,Тель Хай
19,תל חי,30.10.2024,21:43:31,2024-10-30T21:44:00,1,ירי רקטות וטילים,1,48238,תל חי,Tel Hai,تل حاي,Тель Хай
20,תל חי,30.10.2024,08:55:22,2024-10-30T08:55:00,1,ירי רקטות וטילים,1,48078,תל חי,Tel Hai,تل حاي,Тель Хай
21,תל חי,30.10.2024,02:44:40,2024-10-30T02:45:00,1,ירי רקטות וטילים,1,47958,תל חי,Tel Hai,تل حاي,Тель Хай
22,תל חי,29.10.2024,14:50:59,2024-10-29T14:51:00,1,ירי רקטות וטילים,1,47931,תל חי,Tel Hai,تل حاي,Тель Хай
23,תל חי,29.10.2024,08:54:00,2024-10-29T08:54:00,2,חדירת כלי טיס עוין,6,47603,תל חי,Tel Hai,تل حاي,Тель Хай
24,תל חי,28.10.2024,07:13:11,2024-10-28T07:13:00,1,ירי רקטות וטילים,1,47472,תל חי,Tel Hai,تل حاي,Тель Хай
25,תל חי,27.10.2024,13:58:35,2024-10-27T13:59:00,1,ירי רקטות וטילים,1,47407,תל חי,Tel Hai,تل حاي,Тель Хай
26,תל חי,26.10.2024,08:41:21,2024-10-26T08:41:00,2,חדירת כלי טיס עוין,6,47201,תל חי,Tel Hai,تل حاي,Тель Хай
27,תל חי,25.10.2024,17:43:51,2024-10-25T17:44:00,1,ירי רקטות וטילים,1,47155,תל חי,Tel Hai,تل حاي,Тель Хай
28,תל חי,25.10.2024,17:23:29,2024-10-25T17:23:00,1,ירי רקטות וטילים,1,47148,תל חי,Tel Hai,تل حاي,Тель Хай
29,תל חי,24.10.2024,18:17:51,2024-10-24T18:18:00,2,חדירת כלי טיס עוין,6,47033,תל חי,Tel Hai,تل حاي,Тель Хай
30,תל חי,23.10.2024,18:18:09,2024-10-23T18:18:00,1,ירי רקטות וטילים,1,46808,תל חי,Tel Hai,تل حاي,Тель Хай
31,תל חי,23.10.2024,11:17:11,2024-10-23T11:17:00,1,ירי רקטות וטילים,1,46598,תל חי,Tel Hai,تل حاي,Тель Хай
32,תל חי,23.10.2024,11:15:25,2024-10-23T11:15:00,1,ירי רקטות וטילים,1,46593,תל חי,Tel Hai,تل حاي,Тель Хай
33,תל חי,22.10.2024,17:54:12,2024-10-22T17:54:00,1,ירי רקטות וטילים,1,46387,תל חי,Tel Hai,تل حاي,Тель Хай
34,תל חי,22.10.2024,09:58:14,2024-10-22T09:58:00,1,ירי רקטות וטילים,1,46328,תל חי,Tel Hai,تل حاي,Тель Хай
35,תל חי,22.10.2024,00:26:52,2024-10-22T00:27:00,1,ירי רקטות וטילים,1,46193,תל חי,Tel Hai,تل حاي,Тель Хай
36,תל חי,21.10.2024,16:52:12,2024-10-21T16:52:00,1,ירי רקטות וטילים,1,46171,תל חי,Tel Hai,تل حاي,Тель Хай
37,תל חי,21.10.2024,10:52:03,2024-10-21T10:52:00,1,ירי רקטות וטילים,1,45883,תל חי,Tel Hai,تل حاي,Тель Хай
38,תל חי,20.10.2024,19:45:30,2024-10-20T19:46:00,1,ירי רקטות וטילים,1,45834,תל חי,Tel Hai,تل حاي,Тель Хай
39,תל חי,20.10.2024,19:02:57,2024-10-20T19:03:00,1,ירי רקטות וטילים,1,45825,תל חי,Tel Hai,تل حاي,Тель Хай
40,תל חי,20.10.2024,19:01:52,2024-10-20T19:02:00,1,ירי רקטות וטילים,1,45822,תל חי,Tel Hai,تل حاي,Тель Хай
41,תל חי,20.10.2024,19:01:17,2024-10-20T19:01:00,1,ירי רקטות וטילים,1,45815,תל חי,Tel Hai,تل حاي,Тель Хай
42,תל חי,20.10.2024,03:33:41,2024-10-20T03:34:00,1,ירי רקטות וטילים,1,45543,תל חי,Tel Hai,تل حاي,Тель Хай
43,תל חי,19.10.2024,17:40:34,2024-10-19T17:41:00,1,ירי רקטות וטילים,1,45507,תל חי,Tel Hai,تل حاي,Тель Хай
44,תל חי,18.10.2024,16:03:03,2024-10-18T16:03:00,1,ירי רקטות וטילים,1,45272,תל חי,Tel Hai,تل حاي,Тель Хай
45,תל חי,18.10.2024,13:45:09,2024-10-18T13:45:00,1,ירי רקטות וטילים,1,45260,תל חי,Tel Hai,تل حاي,Тель Хай
46,תל חי,17.10.2024,00:02:59,2024-10-17T00:03:00,1,ירי רקטות וטילים,1,44912,תל חי,Tel Hai,تل حاي,Тель Хай
47,תל חי,13.10.2024,21:23:26,2024-10-13T21:23:00,1,ירי רקטות וטילים,1,44156,תל חי,Tel Hai,تل حاي,Тель Хай
48,תל חי,13.10.2024,12:57:31,2024-10-13T12:58:00,1,ירי רקטות וטילים,1,44008,תל חי,Tel Hai,تل حاي,Тель Хай
49,תל חי,12.10.2024,23:27:52,2024-10-12T23:28:00,1,ירי רקטות וטילים,1,43863,תל חי,Tel Hai,تل حاي,Тель Хай
50,תל חי,12.10.2024,16:59:01,2024-10-12T16:59:00,1,ירי רקטות וטילים,1,43838,תל חי,Tel Hai,تل حاي,Тель Хай
51,תל חי,11.10.2024,16:52:09,2024-10-11T16:52:00,1,ירי רקטות וטילים,1,43613,תל חי,Tel Hai,تل حاي,Тель Хай
52,תל חי,10.10.2024,14:13:08,2024-10-10T14:13:00,1,ירי רקטות וטילים,1,43411,תל חי,Tel Hai,تل حاي,Тель Хай
53,תל חי,10.10.2024,13:57:20,2024-10-10T13:57:00,1,ירי רקטות וטילים,1,43403,תל חי,Tel Hai,تل حاي,Тель Хай
54,תל חי,10.10.2024,13:56:44,2024-10-10T13:57:00,1,ירי רקטות וטילים,1,43396,תל חי,Tel Hai,تل حاي,Тель Хай
55,תל חי,10.10.2024,11:19:18,2024-10-10T11:19:00,1,ירי רקטות וטילים,1,43388,תל חי,Tel Hai,تل حاي,Тель Хай
56,תל חי,10.10.2024,11:14:36,2024-10-10T11:15:00,1,ירי רקטות וטילים,1,43382,תל חי,Tel Hai,تل حاي,Тель Хай
57,תל חי,10.10.2024,10:02:42,2024-10-10T10:03:00,1,ירי רקטות וטילים,1,43374,תל חי,Tel Hai,تل حاي,Тель Хай
58,תל חי,10.10.2024,10:01:56,2024-10-10T10:02:00,1,ירי רקטות וטילים,1,43364,תל חי,Tel Hai,تل حاي,Тель Хай
59,תל חי,09.10.2024,14:16:19,2024-10-09T14:16:00,1,ירי רקטות וטילים,1,43218,תל חי,Tel Hai,تل حاي,Тель Хай
60,תל חי,09.10.2024,12:58:01,2024-10-09T12:58:00,1,ירי רקטות וטילים,1,43193,תל חי,Tel Hai,تل حاي,Тель Хай
61,תל חי,08.10.2024,16:32:39,2024-10-08T16:33:00,1,ירי רקטות וטילים,1,43089,תל חי,Tel Hai,تل حاي,Тель Хай
62,תל חי,07.10.2024,21:36:41,2024-10-07T21:37:00,1,ירי רקטות וטילים,1,42898,תל חי,Tel Hai,تل حاي,Тель Хай
63,תל חי,07.10.2024,16:13:49,2024-10-07T16:14:00,1,ירי רקטות וטילים,1,42620,תל חי,Tel Hai,تل حاي,Тель Хай
64,תל חי,07.10.2024,16:09:21,2024-10-07T16:09:00,1,ירי רקטות וטילים,1,42615,תל חי,Tel Hai,تل حاي,Тель Хай
65,תל חי,07.10.2024,14:47:20,2024-10-07T14:47:00,1,ירי רקטות וטילים,1,42589,תל חי,Tel Hai,تل حاي,Тель Хай
66,תל חי,06.10.2024,23:33:22,2024-10-06T23:33:00,1,ירי רקטות וטילים,1,42436,תל חי,Tel Hai,تل حاي,Тель Хай
67,תל חי,06.10.2024,20:14:48,2024-10-06T20:15:00,1,ירי רקטות וטילים,1,42387,תל חי,Tel Hai,تل حاي,Тель Хай
68,תל חי,04.10.2024,20:40:23,2024-10-04T20:40:00,1,ירי רקטות וטילים,1,42087,תל חי,Tel Hai,تل حاي,Тель Хай
69,תל חי,04.10.2024,18:04:02,2024-10-04T18:04:00,1,ירי רקטות וטילים,1,42065,תל חי,Tel Hai,تل حاي,Тель Хай
70,תל חי,04.10.2024,18:03:24,2024-10-04T18:03:00,1,ירי רקטות וטילים,1,42059,תל חי,Tel Hai,تل حاي,Тель Хай
71,תל חי,03.10.2024,17:26:03,2024-10-03T17:26:00,1,ירי רקטות וטילים,1,41817,תל חי,Tel Hai,تل حاي,Тель Хай
72,תל חי,03.10.2024,09:09:24,2024-10-03T09:09:00,1,ירי רקטות וטילים,1,41704,תל חי,Tel Hai,تل حاي,Тель Хай
73,תל חי,02.10.2024,14:50:10,2024-10-02T14:50:00,1,ירי רקטות וטילים,1,41616,תל חי,Tel Hai,تل حاي,Тель Хай
74,תל חי,02.10.2024,08:35:54,2024-10-02T08:36:00,1,ירי רקטות וטילים,1,41527,תל חי,Tel Hai,تل حاي,Тель Хай
75,תל חי,02.10.2024,08:00:55,2024-10-02T08:01:00,1,ירי רקטות וטילים,1,41512,תל חי,Tel Hai,تل حاي,Тель Хай
76,תל חי,01.10.2024,20:09:02,2024-10-01T20:09:00,1,ירי רקטות וטילים,1,41476,תל חי,Tel Hai,تل حاي,Тель Хай
77,תל חי,30.09.2024,17:36:59,2024-09-30T17:37:00,1,ירי רקטות וטילים,1,39367,תל חי,Tel Hai,تل حاي,Тель Хай
78,תל חי,25.09.2024,01:47:53,2024-09-25T01:48:00,1,ירי רקטות וטילים,1,37739,תל חי,Tel Hai,تل حاي,Тель Хай
79,תל חי,24.09.2024,09:44:09,2024-09-24T09:44:00,1,ירי רקטות וטילים,1,37470,תל חי,Tel Hai,تل حاي,Тель Хай
80,תל חי,24.09.2024,09:43:14,2024-09-24T09:43:00,1,ירי רקטות וטילים,1,37462,תל חי,Tel Hai,تل حاي,Тель Хай
81,תל חי,24.09.2024,09:42:38,2024-09-24T09:43:00,1,ירי רקטות וטילים,1,37457,תל חי,Tel Hai,تل حاي,Тель Хай
82,תל חי,24.09.2024,09:42:02,2024-09-24T09:42:00,1,ירי רקטות וטילים,1,37452,תל חי,Tel Hai,تل حاي,Тель Хай
83,תל חי,23.09.2024,09:35:09,2024-09-23T09:35:00,2,חדירת כלי טיס עוין,6,36971,תל חי,Tel Hai,تل حاي,Тель Хай
84,תל חי,22.09.2024,12:16:09,2024-09-22T12:16:00,2,חדירת כלי טיס עוין,6,36903,תל חי,Tel Hai,تل حاي,Тель Хай
85,תל חי,22.09.2024,12:14:26,2024-09-22T12:14:00,2,חדירת כלי טיס עוין,6,36888,תל חי,Tel Hai,تل حاي,Тель Хай
86,תל חי,21.09.2024,13:59:47,2024-09-21T14:00:00,1,ירי רקטות וטילים,1,36505,תל חי,Tel Hai,تل حاي,Тель Хай
87,תל חי,20.09.2024,17:08:02,2024-09-20T17:08:00,2,חדירת כלי טיס עוין,6,36495,תל חי,Tel Hai,تل حاي,Тель Хай
88,תל חי,18.09.2024,16:44:18,2024-09-18T16:44:00,1,ירי רקטות וטילים,1,36373,תל חי,Tel Hai,تل حاي,Тель Хай
89,תל חי,18.09.2024,16:39:53,2024-09-18T16:40:00,1,ירי רקטות וטילים,1,36365,תל חי,Tel Hai,تل حاي,Тель Хай
90,תל חי,18.09.2024,16:39:13,2024-09-18T16:39:00,1,ירי רקטות וטילים,1,36358,תל חי,Tel Hai,تل حاي,Тель Хай
91,תל חי,16.09.2024,17:12:23,2024-09-16T17:12:00,1,ירי רקטות וטילים,1,36285,תל חי,Tel Hai,تل حاي,Тель Хай
92,תל חי,15.09.2024,07:51:56,2024-09-15T07:52:00,2,חדירת כלי טיס עוין,6,36244,תל חי,Tel Hai,تل حاي,Тель Хай
93,תל חי,09.09.2024,08:12:03,2024-09-09T08:12:00,1,ירי רקטות וטילים,1,35920,תל חי,Tel Hai,تل حاي,Тель Хай
94,תל חי,08.09.2024,18:58:04,2024-09-08T18:58:00,2,חדירת כלי טיס עוין,6,35902,תל חי,Tel Hai,تل حاي,Тель Хай
95,תל חי,08.09.2024,02:34:36,2024-09-08T02:35:00,1,ירי רקטות וטילים,1,35874,תל חי,Tel Hai,تل حاي,Тель Хай
96,תל חי,04.09.2024,19:58:32,2024-09-04T19:59:00,1,ירי רקטות וטילים,1,35799,תל חי,Tel Hai,تل حاي,Тель Хай
97,תל חי,04.09.2024,12:00:24,2024-09-04T12:00:00,1,ירי רקטות וטילים,1,35771,תל חי,Tel Hai,تل حاي,Тель Хай
98,תל חי,04.09.2024,11:59:39,2024-09-04T12:00:00,1,ירי רקטות וטילים,1,35760,תל חי,Tel Hai,تل حاي,Тель Хай
99,תל חי,04.09.2024,11:50:55,2024-09-04T11:51:00,1,ירי רקטות וטילים,1,35756,תל חי,Tel Hai,تل حاي,Тель Хай
100,תל חי,03.09.2024,15:52:43,2024-09-03T15:53:00,2,חדירת כלי טיס עוין,6,35743,תל חי,Tel Hai,تل حاي,Тель Хай
101,תל חי,31.08.2024,14:32:05,2024-08-31T14:32:00,2,חדירת כלי טיס עוין,6,35673,תל חי,Tel Hai,تل حاي,Тель Хай
102,תל חי,31.08.2024,14:31:18,2024-08-31T14:31:00,2,חדירת כלי טיס עוין,6,35661,תל חי,Tel Hai,تل حاي,Тель Хай
103,תל חי,28.08.2024,16:52:45,2024-08-28T16:53:00,1,ירי רקטות וטילים,1,35625,תל חי,Tel Hai,تل حاي,Тель Хай
104,תל חי,27.08.2024,19:26:36,2024-08-27T19:27:00,2,חדירת כלי טיס עוין,6,35614,תל חי,Tel Hai,تل حاي,Тель Хай
105,תל חי,25.08.2024,05:44:46,2024-08-25T05:45:00,1,ירי רקטות וטילים,1,35436,תל חי,Tel Hai,تل حاي,Тель Хай
106,תל חי,24.08.2024,10:23:20,2024-08-24T10:23:00,1,ירי רקטות וטילים,1,35370,תל חי,Tel Hai,تل حاي,Тель Хай
107,תל חי,23.08.2024,22:31:18,2024-08-23T22:31:00,1,ירי רקטות וטילים,1,35358,תל חי,Tel Hai,تل حاي,Тель Хай
108,תל חי,23.08.2024,20:00:55,2024-08-23T20:01:00,1,ירי רקטות וטילים,1,35348,תל חי,Tel Hai,تل حاي,Тель Хай
109,תל חי,22.08.2024,09:40:35,2024-08-22T09:41:00,1,ירי רקטות וטילים,1,35297,תל חי,Tel Hai,تل حاي,Тель Хай
110,תל חי,20.08.2024,19:18:41,2024-08-20T19:19:00,2,חדירת כלי טיס עוין,6,35194,תל חי,Tel Hai,تل حاي,Тель Хай
111,תל חי,20.08.2024,19:14:22,2024-08-20T19:14:00,2,חדירת כלי טיס עוין,6,35177,תל חי,Tel Hai,تل حاي,Тель Хай
112,תל חי,18.08.2024,15:20:59,2024-08-18T15:21:00,1,ירי רקטות וטילים,1,35100,תל חי,Tel Hai,تل حاي,Тель Хай
113,תל חי,13.08.2024,10:19:05,2024-08-13T10:19:00,2,חדירת כלי טיס עוין,6,34969,תל חי,Tel Hai,تل حاي,Тель Хай
114,תל חי,09.08.2024,12:30:26,2024-08-09T12:30:00,1,ירי רקטות וטילים,1,34863,תל חי,Tel Hai,تل حاي,Тель Хай
115,תל חי,09.08.2024,11:45:06,2024-08-09T11:45:00,1,ירי רקטות וטילים,1,34861,תל חי,Tel Hai,تل حاي,Тель Хай
116,תל חי,06.08.2024,19:02:10,2024-08-06T19:02:00,1,ירי רקטות וטילים,1,34809,תל חי,Tel Hai,تل حاي,Тель Хай
117,תל חי,06.08.2024,19:01:32,2024-08-06T19:02:00,1,ירי רקטות וטילים,1,34804,תל חי,Tel Hai,تل حاي,Тель Хай
118,תל חי,06.08.2024,19:00:33,2024-08-06T19:01:00,1,ירי רקטות וטילים,1,34800,תל חי,Tel Hai,تل حاي,Тель Хай
119,תל חי,06.08.2024,11:38:50,2024-08-06T11:39:00,1,ירי רקטות וטילים,1,34743,תל חי,Tel Hai,تل حاي,Тель Хай
120,תל חי,05.08.2024,02:19:12,2024-08-05T02:19:00,2,חדירת כלי טיס עוין,6,34702,תל חי,Tel Hai,تل حاي,Тель Хай
121,תל חי,04.08.2024,00:25:01,2024-08-04T00:25:00,1,ירי רקטות וטילים,1,34665,תל חי,Tel Hai,تل حاي,Тель Хай
122,תל חי,30.07.2024,19:20:45,2024-07-30T19:21:00,1,ירי רקטות וטילים,1,34613,תל חי,Tel Hai,تل حاي,Тель Хай
