,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,תלמי אלעזר,24.11.2024,18:11:16,2024-11-24T18:11:00,1,ירי רקטות וטילים,1,52364,תלמי אלעזר,Talmei Elazar,تلمي إليعيزر,Тальмей Элиэзер
1,תלמי אלעזר,19.11.2024,08:53:58,2024-11-19T08:54:00,1,ירי רקטות וטילים,1,51379,תלמי אלעזר,Talmei Elazar,تلمي إليعيزر,Тальмей Элиэзер
2,תלמי אלעזר,13.11.2024,17:44:26,2024-11-13T17:44:00,1,ירי רקטות וטילים,1,50625,תלמי אלעזר,Talmei Elazar,تلمي إليعيزر,Тальмей Элиэзер
3,תלמי אלעזר,07.11.2024,15:03:00,2024-11-07T15:03:00,1,ירי רקטות וטילים,1,49495,תלמי אלעזר,Talmei Elazar,تلمي إليعيزر,Тальмей Элиэзер
4,תלמי אלעזר,05.11.2024,06:37:43,2024-11-05T06:38:00,1,ירי רקטות וטילים,1,49018,תלמי אלעזר,Talmei Elazar,تلمي إليعيزر,Тальмей Элиэзер
5,תלמי אלעזר,03.11.2024,08:58:55,2024-11-03T08:59:00,1,ירי רקטות וטילים,1,48821,תלמי אלעזר,Talmei Elazar,تلمي إليعيزر,Тальмей Элиэзер
6,תלמי אלעזר,30.10.2024,17:56:19,2024-10-30T17:56:00,2,חדירת כלי טיס עוין,6,48225,תלמי אלעזר,Talmei Elazar,تلمي إليعيزر,Тальмей Элиэзер
7,תלמי אלעזר,23.10.2024,16:36:07,2024-10-23T16:36:00,1,ירי רקטות וטילים,1,46658,תלמי אלעזר,Talmei Elazar,تلمي إليعيزر,Тальмей Элиэзер
8,תלמי אלעזר,21.10.2024,15:43:19,2024-10-21T15:43:00,1,ירי רקטות וטילים,1,46067,תלמי אלעזר,Talmei Elazar,تلمي إليعيزر,Тальмей Элиэзер
9,תלמי אלעזר,15.10.2024,07:25:26,2024-10-15T07:25:00,1,ירי רקטות וטילים,1,44635,תלמי אלעזר,Talmei Elazar,تلمي إليعيزر,Тальмей Элиэзер
10,תלמי אלעזר,14.10.2024,17:33:27,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44428,תלמי אלעזר,Talmei Elazar,تلمي إليعيزر,Тальмей Элиэзер
11,תלמי אלעזר,14.10.2024,17:14:59,2024-10-14T17:15:00,1,ירי רקטות וטילים,1,44335,תלמי אלעזר,Talmei Elazar,تلمي إليعيزر,Тальмей Элиэзер
12,תלמי אלעזר,13.10.2024,19:00:34,2024-10-13T19:01:00,1,ירי רקטות וטילים,1,44119,תלמי אלעזר,Talmei Elazar,تلمي إليعيزر,Тальмей Элиэзер
13,תלמי אלעזר,12.10.2024,13:06:40,2024-10-12T13:07:00,1,ירי רקטות וטילים,1,43769,תלמי אלעזר,Talmei Elazar,تلمي إليعيزر,Тальмей Элиэзер
14,תלמי אלעזר,09.10.2024,08:27:08,2024-10-09T08:27:00,1,ירי רקטות וטילים,1,43159,תלמי אלעזר,Talmei Elazar,تلمي إليعيزر,Тальмей Элиэзер
15,תלמי אלעזר,06.10.2024,08:28:23,2024-10-06T08:28:00,1,ירי רקטות וטילים,1,42297,תלמי אלעזר,Talmei Elazar,تلمي إليعيزر,Тальмей Элиэзер
16,תלמי אלעזר,04.10.2024,10:49:50,2024-10-04T10:50:00,1,ירי רקטות וטילים,1,41933,תלמי אלעזר,Talmei Elazar,تلمي إليعيزر,Тальмей Элиэзер
17,תלמי אלעזר,01.10.2024,18:37:30,2024-10-01T18:38:00,1,ירי רקטות וטילים,1,39650,תלמי אלעזר,Talmei Elazar,تلمي إليعيزر,Тальмей Элиэзер
18,תלמי אלעזר,25.09.2024,06:31:13,2024-09-25T06:31:00,1,ירי רקטות וטילים,1,37749,תלמי אלעזר,Talmei Elazar,تلمي إليعيزر,Тальмей Элиэзер
19,תלמי אלעזר,09.10.2023,12:01:48,2023-10-09T12:02:00,1,ירי רקטות וטילים,1,20850,תלמי אלעזר,Talmei Elazar,تلمي إليعيزر,Тальмей Элиэзер
20,תלמי אלעזר,07.10.2023,20:03:18,2023-10-07T20:03:00,1,ירי רקטות וטילים,1,20387,תלמי אלעזר,Talmei Elazar,تلمي إليعيزر,Тальмей Элиэзер
21,תלמי אלעזר,07.10.2023,20:00:24,2023-10-07T20:00:00,1,ירי רקטות וטילים,1,20224,תלמי אלעזר,Talmei Elazar,تلمي إليعيزر,Тальмей Элиэзер
22,תלמי אלעזר,07.10.2023,10:33:17,2023-10-07T10:33:00,1,ירי רקטות וטילים,1,19577,תלמי אלעזר,Talmei Elazar,تلمي إليعيزر,Тальмей Элиэзер
23,תלמי אלעזר,07.10.2023,08:54:53,2023-10-07T08:55:00,1,ירי רקטות וטילים,1,18502,תלמי אלעזר,Talmei Elazar,تلمي إليعيزر,Тальмей Элиэзер
