,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,תעשיון חצב,24.11.2024,18:31:06,2024-11-24T18:31:00,1,ירי רקטות וטילים,1,52412,תעשיון חצב,Hatzav Industrial Zone,تعسيون حاتساف,Промзона Хацав
1,תעשיון חצב,06.11.2024,11:22:19,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49280,תעשיון חצב,Hatzav Industrial Zone,تعسيون حاتساف,Промзона Хацав
2,תעשיון חצב,07.10.2024,23:13:30,2024-10-07T23:14:00,1,ירי רקטות וטילים,1,42943,תעשיון חצב,Hatzav Industrial Zone,تعسيون حاتساف,Промзона Хацав
3,תעשיון חצב,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42829,תעשיון חצב,Hatzav Industrial Zone,تعسيون حاتساف,Промзона Хацав
4,תעשיון חצב,01.10.2024,19:39:37,2024-10-01T19:40:00,1,ירי רקטות וטילים,1,40275,תעשיון חצב,Hatzav Industrial Zone,تعسيون حاتساف,Промзона Хацав
5,תעשיון חצב,01.10.2024,18:37:32,2024-10-01T18:38:00,1,ירי רקטות וטילים,1,39641,תעשיון חצב,Hatzav Industrial Zone,تعسيون حاتساف,Промзона Хацав
6,תעשיון חצב,28.09.2024,17:41:08,2024-09-28T17:41:00,1,ירי רקטות וטילים,1,39012,תעשיון חצב,Hatzav Industrial Zone,تعسيون حاتساف,Промзона Хацав
7,תעשיון חצב,15.09.2024,06:32:26,2024-09-15T06:32:00,1,ירי רקטות וטילים,1,36170,תעשיון חצב,Hatzav Industrial Zone,تعسيون حاتساف,Промзона Хацав
8,תעשיון חצב,20.11.2023,18:03:48,2023-11-20T18:04:00,1,ירי רקטות וטילים,1,25422,תעשיון חצב,Hatzav Industrial Zone,تعسيون حاتساف,Промзона Хацав
9,תעשיון חצב,02.11.2023,17:01:17,2023-11-02T17:01:00,1,ירי רקטות וטילים,1,24338,תעשיון חצב,Hatzav Industrial Zone,تعسيون حاتساف,Промзона Хацав
10,תעשיון חצב,28.10.2023,18:10:54,2023-10-28T18:11:00,1,ירי רקטות וטילים,1,23859,תעשיון חצב,Hatzav Industrial Zone,تعسيون حاتساف,Промзона Хацав
11,תעשיון חצב,25.10.2023,21:31:15,2023-10-25T21:31:00,1,ירי רקטות וטילים,1,23485,תעשיון חצב,Hatzav Industrial Zone,تعسيون حاتساف,Промзона Хацав
12,תעשיון חצב,24.10.2023,15:32:03,2023-10-24T15:32:00,1,ירי רקטות וטילים,1,23318,תעשיון חצב,Hatzav Industrial Zone,تعسيون حاتساف,Промзона Хацав
13,תעשיון חצב,24.10.2023,15:17:09,2023-10-24T15:17:00,1,ירי רקטות וטילים,1,23292,תעשיון חצב,Hatzav Industrial Zone,تعسيون حاتساف,Промзона Хацав
14,תעשיון חצב,17.10.2023,19:59:36,2023-10-17T20:00:00,1,ירי רקטות וטילים,1,22733,תעשיון חצב,Hatzav Industrial Zone,تعسيون حاتساف,Промзона Хацав
15,תעשיון חצב,14.10.2023,21:02:19,2023-10-14T21:02:00,1,ירי רקטות וטילים,1,22288,תעשיון חצב,Hatzav Industrial Zone,تعسيون حاتساف,Промзона Хацав
